formula,formula_pretty,a,b,c,alpha,beta,gamma,volume,space_group,num_sites
PrScS3,Pr4 S12 Sc4,7.11,6.49,9.53,90.0,90.0,90.0,439.751367,Pna2_1,20
CeScS3,Ce4 S12 Sc4,7.1618,9.5621,6.5065,90.0,90.0,90.0,445.57714258056996,Pnma,20
GdScS3,Gd4 S12 Sc4,7.0361,9.4574,6.3833,90.0,90.0,90.0,424.765286053262,Pnma,20
TbScS3,S12 Sc4 Tb4,7.03,6.37,9.48,90.0,90.0,90.0,424.524828,Pna2_1,20
BaHfS3,Ba4 Hf4 S12,7.002,9.915,6.995,90.0,90.0,90.0,485.6266858499999,Pnma,20
EuHfS3,Eu4 Hf4 S12,7.057,9.678,6.661,90.0,90.0,90.0,454.9306200060001,Pnma,20
BaZrS3,Ba4 S12 Zr4,7.0599,9.9813,7.0251,90.0,90.0,90.0,495.0375802847369,Pnma,20
LaScS3,La4 S12 Sc4,7.18,6.53,9.6,90.0,90.0,90.0,450.09984,Pna2_1,20
EuZrS3,Eu4 S12 Zr4,7.107,9.719,6.671,90.0,90.0,90.0,460.785536043,Pnma,20
SmScS3,S12 Sc4 Sm4,7.07,6.43,9.5,90.0,90.0,90.0,431.87095,Pna2_1,20
DyScS3,Dy4 S12 Sc4,7.03,6.36,9.45,90.0,90.0,90.0,422.51706,Pna2_1,20
