# FEAT_ID     Score                   Feature Expression
0             105.022711412018339     (((chi_AX_ratio + nB) / (log_rA_rB_ratio * nB)) + ((log_rA_rB_ratio / chi_AX_ratio) / rB_rX_ratio))
1             106.080359035694315     (((chi_AX_ratio - log_rA_rB_ratio) + (chi_AX_ratio * rB_rX_ratio)) * ((chi_AX_ratio / nB) - (log_rA_rB_ratio * nB)))
2             107.020918213364894     (((chi_AX_ratio^2) - (log_rA_rB_ratio - rB_rX_ratio)) * ((1.0 / log_rA_rB_ratio) - (rB_rX_ratio + nB)))
3             107.048402913988724     (((log_rA_rB_ratio / chi_AX_ratio) / (rB_rX_ratio - nB)) - ((rB_rX_ratio / log_rA_rB_ratio) + (1.0 / rB_rX_ratio)))
4             109.016701544244        (((chi_BX_ratio * chi_AX_ratio) - (log_rA_rB_ratio - rB_rX_ratio)) - ((chi_BX_ratio * chi_AX_ratio) / (log_rA_rB_ratio * nB)))
5             109.035827314170774     (((chi_AX_ratio + log_rA_rB_ratio) / (chi_AX_ratio * rB_rX_ratio)) - ((nB / log_rA_rB_ratio) / (rB_rX_ratio - nB)))
6             110.021096913630174     (((chi_BX_ratio * chi_AX_ratio) - (log_rA_rB_ratio - rB_rX_ratio)) * ((1.0 / log_rA_rB_ratio) - (rB_rX_ratio + nB)))
7             110.120593822014683     (((chi_BX_ratio * rB_rX_ratio) + (chi_AX_ratio - log_rA_rB_ratio)) * ((log_rA_rB_ratio * nB) - (1.0 / nB)))
8             111.018470025505621     (((chi_AX_ratio - log_rA_rB_ratio) + (chi_AX_ratio + rB_rX_ratio)) - ((chi_AX_ratio^2) / (log_rA_rB_ratio * nB)))
9             111.089093687873117     (((chi_BX_ratio / log_rA_rB_ratio) + (log_rA_rB_ratio / rB_rX_ratio)) - ((chi_AX_ratio^2) * (chi_AX_ratio * nB)))
10            112.021587720126476     (((chi_BX_ratio * rB_rX_ratio) + (chi_AX_ratio - log_rA_rB_ratio)) * ((1.0 / log_rA_rB_ratio) - (rB_rX_ratio + nB)))
11            112.07654121345854      (((chi_BX_ratio / log_rA_rB_ratio) + (log_rA_rB_ratio / rB_rX_ratio)) - ((chi_BX_ratio * nB) * (chi_AX_ratio^2)))
12            113.003876649615734     (((chi_AX_ratio / log_rA_rB_ratio) / (log_rA_rB_ratio * nB)) + ((log_rA_rB_ratio / chi_AX_ratio) / (chi_AX_ratio * rB_rX_ratio)))
13            113.062910387502086     (((log_rA_rB_ratio / chi_AX_ratio) + (rB_rX_ratio / log_rA_rB_ratio)) - ((nB / rB_rX_ratio) / (rB_rX_ratio - nB)))
14            113.089108169021543     (((chi_BX_ratio * rB_rX_ratio) + (chi_AX_ratio - log_rA_rB_ratio)) * ((chi_AX_ratio / nB) - (log_rA_rB_ratio * nB)))
15            113.120196227097352     (((chi_AX_ratio - log_rA_rB_ratio) + (chi_AX_ratio * rB_rX_ratio)) * ((log_rA_rB_ratio * nB) - (1.0 / nB)))
16            113.13894228013001      (((chi_BX_ratio - log_rA_rB_ratio) + (chi_AX_ratio * rB_rX_ratio)) * ((log_rA_rB_ratio * nB) - (1.0 / nB)))
17            114.020901850242197     (((chi_BX_ratio * chi_AX_ratio) / (log_rA_rB_ratio * nB)) - ((chi_BX_ratio - log_rA_rB_ratio) + (chi_AX_ratio + rB_rX_ratio)))
18            114.116295293835478     (((chi_BX_ratio + rB_rX_ratio) * (chi_AX_ratio * log_rA_rB_ratio)) - ((chi_BX_ratio / nB) + (chi_AX_ratio * log_rA_rB_ratio)))
19            114.157097407268623     (((chi_BX_ratio * log_rA_rB_ratio) * (chi_BX_ratio^2)) - ((chi_BX_ratio + rB_rX_ratio) / (rB_rX_ratio * nB)))
20            115.003069308187577     (((chi_AX_ratio / log_rA_rB_ratio) / (log_rA_rB_ratio * nB)) + ((log_rA_rB_ratio + rB_rX_ratio) / (chi_AX_ratio * rB_rX_ratio)))
21            115.017169759199618     (((chi_AX_ratio^2) - (log_rA_rB_ratio - rB_rX_ratio)) - ((chi_AX_ratio^2) / (log_rA_rB_ratio * nB)))
22            115.033085211943899     (((log_rA_rB_ratio / chi_AX_ratio) + (rB_rX_ratio / log_rA_rB_ratio)) * ((nB / rB_rX_ratio) / (rB_rX_ratio - nB)))
23            115.035466616134784     (((chi_AX_ratio + log_rA_rB_ratio) / (chi_AX_ratio * rB_rX_ratio)) + ((chi_AX_ratio + nB) / (log_rA_rB_ratio * nB)))
24            115.092187005308176     (((chi_BX_ratio * chi_AX_ratio) * (chi_BX_ratio * nB)) - ((chi_BX_ratio / log_rA_rB_ratio) + (log_rA_rB_ratio / rB_rX_ratio)))
25            115.113849773145006     (((chi_BX_ratio * log_rA_rB_ratio) * (chi_BX_ratio + rB_rX_ratio)) - ((chi_BX_ratio * log_rA_rB_ratio) + (chi_BX_ratio / nB)))
26            115.209863303532245     (((rB_rX_ratio / nB) * (rB_rX_ratio - nB)) / ((log_rA_rB_ratio / chi_AX_ratio) + (rB_rX_ratio / log_rA_rB_ratio)))
27            115.209863303532245     (((chi_AX_ratio / nB) * (rB_rX_ratio - nB)) / ((chi_AX_ratio / log_rA_rB_ratio) + (log_rA_rB_ratio / rB_rX_ratio)))
28            116.018207394514477     (((chi_BX_ratio * chi_AX_ratio) + (chi_AX_ratio - log_rA_rB_ratio)) - ((chi_BX_ratio * chi_AX_ratio) / (log_rA_rB_ratio * nB)))
29            116.022586096673734     (((chi_AX_ratio - log_rA_rB_ratio) + (chi_AX_ratio * rB_rX_ratio)) * ((1.0 / log_rA_rB_ratio) - (rB_rX_ratio + nB)))
30            116.026979245563894     (((chi_BX_ratio + nB) / (log_rA_rB_ratio * nB)) + ((log_rA_rB_ratio / chi_AX_ratio) / rB_rX_ratio))
31            116.132609290974713     (((chi_BX_ratio * log_rA_rB_ratio) * (chi_BX_ratio - rB_rX_ratio)) - ((chi_BX_ratio / rB_rX_ratio) / (chi_BX_ratio + nB)))
32            117.011177042049752     (((chi_BX_ratio * chi_AX_ratio) - log_rA_rB_ratio) - ((chi_BX_ratio / log_rA_rB_ratio) / nB))
33            117.019850575550265     (((chi_BX_ratio / log_rA_rB_ratio) + (log_rA_rB_ratio / chi_AX_ratio)) / ((chi_BX_ratio + rB_rX_ratio) - (chi_AX_ratio / nB)))
34            117.021714218453724     (((chi_BX_ratio * chi_AX_ratio) / (log_rA_rB_ratio * nB)) - ((chi_BX_ratio^2) - (log_rA_rB_ratio - rB_rX_ratio)))
35            117.035848522918783     (((chi_BX_ratio + rB_rX_ratio) - (log_rA_rB_ratio - rB_rX_ratio)) - ((chi_BX_ratio / nB) + (rB_rX_ratio / log_rA_rB_ratio)))
36            117.091388270702993     (((chi_AX_ratio - log_rA_rB_ratio) + (chi_AX_ratio * rB_rX_ratio)) * ((log_rA_rB_ratio * nB) / (chi_BX_ratio + rB_rX_ratio)))
37            117.119840588906982     (((chi_AX_ratio - log_rA_rB_ratio) + (chi_AX_ratio * rB_rX_ratio)) * ((log_rA_rB_ratio * nB) - (rB_rX_ratio / nB)))
38            117.168791515774288     (((chi_BX_ratio * log_rA_rB_ratio) * (chi_BX_ratio^2)) - ((chi_BX_ratio / rB_rX_ratio) / nB))
39            117.176601985817058     (((chi_BX_ratio / rB_rX_ratio) / nB) - ((chi_BX_ratio^2) * (chi_AX_ratio * log_rA_rB_ratio)))
40            117.216650833562198     (((chi_BX_ratio * nB) * (chi_AX_ratio * log_rA_rB_ratio)) - ((log_rA_rB_ratio^2) + chi_BX_ratio))
41            118.014387198705307     (((chi_AX_ratio / log_rA_rB_ratio) - (chi_AX_ratio - log_rA_rB_ratio)) - ((chi_AX_ratio - log_rA_rB_ratio) * (rB_rX_ratio * nB)))
42            118.018289364068551     (((chi_BX_ratio * chi_AX_ratio) - (log_rA_rB_ratio / chi_AX_ratio)) + ((chi_BX_ratio / log_rA_rB_ratio) / (log_rA_rB_ratio - nB)))
43            118.038099989926764     (((chi_BX_ratio + nB) / (log_rA_rB_ratio * nB)) + ((chi_AX_ratio + log_rA_rB_ratio) / (chi_AX_ratio * rB_rX_ratio)))
44            118.04002428650648      (((chi_BX_ratio / nB) + (1.0 / rB_rX_ratio)) * ((log_rA_rB_ratio / chi_AX_ratio) + (rB_rX_ratio / log_rA_rB_ratio)))
45            118.07476519446584      (((1.0 / chi_AX_ratio) + (rB_rX_ratio / log_rA_rB_ratio)) + ((chi_AX_ratio + nB) / (rB_rX_ratio * nB)))
46            118.122277002684996     (((chi_AX_ratio^2) - (log_rA_rB_ratio - rB_rX_ratio)) * ((log_rA_rB_ratio * nB) - (1.0 / nB)))
47            119.021465925937605     (((chi_BX_ratio - log_rA_rB_ratio) * (log_rA_rB_ratio * nB)) - ((chi_BX_ratio / nB) / (chi_AX_ratio * log_rA_rB_ratio)))
48            119.037838472152089     (((chi_AX_ratio / log_rA_rB_ratio) + (log_rA_rB_ratio / rB_rX_ratio)) * ((1.0 / chi_AX_ratio) + (rB_rX_ratio / nB)))
49            119.040692089281208     (((log_rA_rB_ratio / rB_rX_ratio) / (chi_BX_ratio + chi_AX_ratio)) - ((nB / log_rA_rB_ratio) / (log_rA_rB_ratio - nB)))
50            119.040772177073677     (((chi_BX_ratio / log_rA_rB_ratio) + (log_rA_rB_ratio / rB_rX_ratio)) / ((chi_BX_ratio + chi_AX_ratio) - (chi_AX_ratio / nB)))
51            119.043367247371862     (((chi_AX_ratio + rB_rX_ratio) / (log_rA_rB_ratio * nB)) + ((log_rA_rB_ratio + rB_rX_ratio) / (chi_AX_ratio * rB_rX_ratio)))
52            119.048593762860676     (((chi_AX_ratio / nB) + (1.0 / log_rA_rB_ratio)) + ((log_rA_rB_ratio / chi_AX_ratio) / rB_rX_ratio))
53            119.057558992949168     (((chi_AX_ratio / log_rA_rB_ratio) + (1.0 / nB)) + ((log_rA_rB_ratio + rB_rX_ratio) / (chi_AX_ratio * rB_rX_ratio)))
54            119.067489445624531     (((chi_AX_ratio - log_rA_rB_ratio) * (log_rA_rB_ratio / chi_AX_ratio)) - ((log_rA_rB_ratio / nB) - log_rA_rB_ratio))
55            119.174484211022005     (((chi_BX_ratio + rB_rX_ratio) / (rB_rX_ratio * nB)) - ((chi_BX_ratio^2) * (chi_AX_ratio * log_rA_rB_ratio)))
56            120.00170221753136      (((chi_BX_ratio / log_rA_rB_ratio) - (1.0 / rB_rX_ratio)) - ((chi_BX_ratio / nB) / (log_rA_rB_ratio^2)))
57            120.01796398139922      (((chi_BX_ratio^2) + (chi_AX_ratio - log_rA_rB_ratio)) - ((chi_BX_ratio^2) / (log_rA_rB_ratio * nB)))
58            120.018730876651432     (((chi_BX_ratio / log_rA_rB_ratio) / (rB_rX_ratio - nB)) + ((chi_BX_ratio^2) - (1.0 / rB_rX_ratio)))
59            120.019931443881873     (((chi_BX_ratio * chi_AX_ratio) - (1.0 / rB_rX_ratio)) + ((chi_BX_ratio / log_rA_rB_ratio) / (rB_rX_ratio - nB)))
60            120.023270442298468     (((chi_BX_ratio - log_rA_rB_ratio) + (chi_AX_ratio * rB_rX_ratio)) * ((1.0 / log_rA_rB_ratio) - (rB_rX_ratio + nB)))
61            120.024408202122913     (((chi_BX_ratio + chi_AX_ratio) - (log_rA_rB_ratio / chi_AX_ratio)) * ((1.0 / log_rA_rB_ratio) - (rB_rX_ratio + nB)))
62            120.037119299399734     (((chi_AX_ratio / log_rA_rB_ratio) / (rB_rX_ratio - nB)) - ((log_rA_rB_ratio + rB_rX_ratio) / (chi_AX_ratio * rB_rX_ratio)))
63            120.040151449072468     (((rB_rX_ratio / log_rA_rB_ratio) - (rB_rX_ratio + nB)) * ((rB_rX_ratio^2) / (rB_rX_ratio + nB)))
64            120.04577458496567      (((log_rA_rB_ratio / chi_AX_ratio) + (1.0 / log_rA_rB_ratio)) - ((nB / rB_rX_ratio) / (rB_rX_ratio - nB)))
65            120.056207180125341     (((chi_AX_ratio * rB_rX_ratio) / (log_rA_rB_ratio * nB)) + ((rB_rX_ratio / chi_AX_ratio) + (1.0 / rB_rX_ratio)))
66            120.057214152869079     (((chi_BX_ratio / log_rA_rB_ratio) + (log_rA_rB_ratio / rB_rX_ratio)) - ((chi_BX_ratio * nB) * chi_BX_ratio))
67            121.014642470001277     (((chi_BX_ratio / log_rA_rB_ratio) + (log_rA_rB_ratio / chi_BX_ratio)) / ((chi_AX_ratio + rB_rX_ratio) - (chi_AX_ratio / nB)))
68            121.018366086478679     (((chi_BX_ratio / chi_AX_ratio) + (chi_AX_ratio / log_rA_rB_ratio)) - ((chi_BX_ratio - log_rA_rB_ratio) * (chi_AX_ratio * nB)))
69            121.022063452611249     (((chi_BX_ratio / nB) / (chi_AX_ratio * log_rA_rB_ratio)) + ((log_rA_rB_ratio / rB_rX_ratio) / (chi_BX_ratio + log_rA_rB_ratio)))
70            121.02408258905831      (((log_rA_rB_ratio^2) / (chi_AX_ratio^2)) + (1.0 / (log_rA_rB_ratio * nB)))
71            121.024634723496519     (((chi_BX_ratio / log_rA_rB_ratio) / (chi_AX_ratio + rB_rX_ratio)) + ((log_rA_rB_ratio / chi_BX_ratio) + (1.0 / nB)))
72            121.03393071198667      (((chi_BX_ratio * nB) * (chi_AX_ratio * log_rA_rB_ratio)) - ((chi_AX_ratio / log_rA_rB_ratio) + (log_rA_rB_ratio / rB_rX_ratio)))
73            121.03575549808528      (((chi_AX_ratio + nB) / (log_rA_rB_ratio * nB)) + ((log_rA_rB_ratio + rB_rX_ratio) / (chi_AX_ratio * rB_rX_ratio)))
74            121.040748618693158     (((chi_BX_ratio + nB) - (chi_AX_ratio / log_rA_rB_ratio)) * ((chi_AX_ratio - log_rA_rB_ratio) + (chi_AX_ratio * rB_rX_ratio)))
75            121.047928486931511     (((chi_BX_ratio + log_rA_rB_ratio) / (chi_AX_ratio * rB_rX_ratio)) - ((nB / log_rA_rB_ratio) / (rB_rX_ratio - nB)))
76            121.051088258588408     (((chi_BX_ratio / log_rA_rB_ratio) + (1.0 / rB_rX_ratio)) - ((chi_BX_ratio * nB) - (log_rA_rB_ratio / chi_AX_ratio)))
77            121.056459470161144     (((chi_AX_ratio - log_rA_rB_ratio) + (log_rA_rB_ratio * rB_rX_ratio)) * ((log_rA_rB_ratio / chi_AX_ratio) * (rB_rX_ratio + nB)))
78            121.09788223675281      (((chi_AX_ratio^2) - (log_rA_rB_ratio - rB_rX_ratio)) * ((chi_AX_ratio / nB) - (log_rA_rB_ratio * nB)))
79            121.102811757453409     (((chi_BX_ratio / log_rA_rB_ratio) + (log_rA_rB_ratio / rB_rX_ratio)) - ((chi_BX_ratio^2) * (chi_BX_ratio * nB)))
80            121.145380324348992     (((chi_AX_ratio - log_rA_rB_ratio) + (log_rA_rB_ratio * rB_rX_ratio)) * ((chi_AX_ratio - nB) * (log_rA_rB_ratio / nB)))
81            121.148373593517789     (((chi_BX_ratio * log_rA_rB_ratio) + (chi_AX_ratio / nB)) - ((chi_BX_ratio + rB_rX_ratio) * (chi_AX_ratio * log_rA_rB_ratio)))
82            121.208841533770865     (((log_rA_rB_ratio / nB) - chi_AX_ratio) / ((chi_AX_ratio / log_rA_rB_ratio) + (log_rA_rB_ratio - rB_rX_ratio)))
83            122.011520274739212     (((chi_BX_ratio - log_rA_rB_ratio) * (log_rA_rB_ratio + rB_rX_ratio)) - ((chi_BX_ratio - log_rA_rB_ratio) / (log_rA_rB_ratio * nB)))
84            122.014668334741089     (((chi_AX_ratio / log_rA_rB_ratio) + (log_rA_rB_ratio / chi_AX_ratio)) / ((chi_AX_ratio + rB_rX_ratio) - (chi_AX_ratio / nB)))
85            122.019305903854914     (((chi_AX_ratio - log_rA_rB_ratio) + (chi_AX_ratio^2)) - ((chi_AX_ratio^2) / (log_rA_rB_ratio * nB)))
86            122.019631941906908     (((chi_AX_ratio - log_rA_rB_ratio) + (rB_rX_ratio / nB)) * ((1.0 / log_rA_rB_ratio) - (rB_rX_ratio + nB)))
87            122.025247122730036     (((rB_rX_ratio / chi_AX_ratio) + (1.0 / rB_rX_ratio)) + (chi_AX_ratio / (log_rA_rB_ratio * nB)))
88            122.026324225011294     (((chi_BX_ratio / log_rA_rB_ratio) / (log_rA_rB_ratio + nB)) - ((chi_BX_ratio^2) - log_rA_rB_ratio))
89            122.030227390879531     (((rB_rX_ratio / log_rA_rB_ratio) / (rB_rX_ratio - nB)) + ((rB_rX_ratio^2) - (1.0 / rB_rX_ratio)))
90            122.033562803427515     (((chi_BX_ratio * chi_AX_ratio) - (log_rA_rB_ratio / chi_AX_ratio)) - ((chi_AX_ratio^2) / (log_rA_rB_ratio * nB)))
91            122.045218004109699     (((chi_BX_ratio * rB_rX_ratio) + (chi_AX_ratio - log_rA_rB_ratio)) * ((chi_BX_ratio + nB) - (chi_AX_ratio / log_rA_rB_ratio)))
92            122.04704399622554      (((chi_BX_ratio / log_rA_rB_ratio) - (chi_BX_ratio * nB)) + ((log_rA_rB_ratio / rB_rX_ratio) / (chi_AX_ratio + rB_rX_ratio)))
93            122.047747616304065     (((chi_AX_ratio / log_rA_rB_ratio) + (chi_AX_ratio - log_rA_rB_ratio)) + ((log_rA_rB_ratio + rB_rX_ratio) / (chi_AX_ratio * rB_rX_ratio)))
94            122.056077068460382     (((rB_rX_ratio / log_rA_rB_ratio) / (log_rA_rB_ratio - nB)) - ((nB / rB_rX_ratio) / (chi_AX_ratio + nB)))
95            122.070510551206539     (((chi_AX_ratio - log_rA_rB_ratio) * (log_rA_rB_ratio / chi_AX_ratio)) + ((log_rA_rB_ratio * rB_rX_ratio) - (rB_rX_ratio / nB)))
96            122.093573782456559     (((chi_BX_ratio * rB_rX_ratio) + (chi_AX_ratio - log_rA_rB_ratio)) * ((log_rA_rB_ratio * nB)^2))
97            122.130955645103782     (((chi_BX_ratio * log_rA_rB_ratio) * (chi_BX_ratio - rB_rX_ratio)) - ((chi_BX_ratio / rB_rX_ratio) / (chi_AX_ratio + nB)))
98            122.148599615289925     (((chi_BX_ratio / rB_rX_ratio) / (chi_BX_ratio + nB)) - ((chi_BX_ratio - rB_rX_ratio) * (chi_AX_ratio * log_rA_rB_ratio)))
99            122.197012541609894     (((chi_AX_ratio + rB_rX_ratio) - (chi_AX_ratio / nB)) / ((chi_AX_ratio / log_rA_rB_ratio) + (log_rA_rB_ratio / chi_AX_ratio)))
100           123.000667966936845     (((chi_AX_ratio - log_rA_rB_ratio) / (log_rA_rB_ratio * nB)) * ((1.0 / log_rA_rB_ratio) - (rB_rX_ratio + nB)))
101           123.019097640992669     (((chi_BX_ratio / log_rA_rB_ratio) / nB) + ((log_rA_rB_ratio / chi_AX_ratio) - chi_BX_ratio))
102           123.020479804616741     (((log_rA_rB_ratio - rB_rX_ratio) + (rB_rX_ratio / log_rA_rB_ratio)) / ((chi_AX_ratio + rB_rX_ratio) - (chi_AX_ratio / nB)))
103           123.024238220163454     (((chi_BX_ratio / log_rA_rB_ratio) / (log_rA_rB_ratio - nB)) + ((chi_BX_ratio^2) - (log_rA_rB_ratio / chi_AX_ratio)))
104           123.026273209673832     (((chi_AX_ratio / log_rA_rB_ratio) / (log_rA_rB_ratio + nB)) - ((chi_AX_ratio * rB_rX_ratio) - (log_rA_rB_ratio / chi_AX_ratio)))
