formula,index,target,source
AcC4H24I13N4Pb4X,"(4625, 6316, 33750, 36978)",1.6300001738087604,pvk
Ag0.22In0.22Zn1S2,"(54003, 54445)",2.3,chalc_semicon
Ag0.5Eu1Ge1S4,"(68193,)",2.14,chalc_semicon
Ag0.5Pb1Ge1S4,"(54423, 68194)",1.83,chalc_semicon
Ag0.5Pb1Ge1Se4,"(68195,)",1.51,chalc_semicon
Ag19Bi20Br120Cs40Ga,"(37457,)",1.8600001983339236,pvk
Ag19Bi20Br120Cs40Sn,"(7807,)",1.7300001844718749,pvk
Ag1Al1S2,"(66727, 66728, 66730)",3.13,chalc_semicon
Ag1Al1Se2,"(66785, 66786)",3.13,chalc_semicon
Ag1As1S2,"(67092, 67093, 67094, 67095, 67096, 67097, 67098, 67099, 67100)",2.203,chalc_semicon
Ag1As1Se2,"(66894, 66895, 66896)",1.4,chalc_semicon
Ag1B1S2,"(62190,)",3.16,chalc_semicon
Ag1B1Se2,"(51806,)",3.34,chalc_semicon
Ag1Bi1P2S6,"(68206,)",1.7,chalc_semicon
Ag1Bi1P2Se6,"(58307, 58308, 58309)",2.31,chalc_semicon
Ag1Bi1S2,"(52233, 58915, 59833)",1.2,chalc_semicon
Ag1Cd0.8Mn1Ga1S4,"(51925, 51926)",2.275,chalc_semicon
Ag1Cd2Ga1S4,"(51924,)",2.15,chalc_semicon
Ag1Cu0.25Zn0.75S1,"(58735,)",1.69,chalc_semicon
Ag1Cu1S1,"(57741, 58089, 58090)",1.05,chalc_semicon
Ag1Ga1Ge1S4,"(55860, 68666, 68667, 68668)",2.898,chalc_semicon
Ag1Ga1Ge3Se8,"(61816, 65709, 68669)",2.25,chalc_semicon
Ag1Ga1Ge5Se12,"(68670,)",2.14,chalc_semicon
Ag1Ga1In1S2,"(53615, 53617)",2.71,chalc_semicon
Ag1Ga1S2,"(51724, 52691, 53461, 53616, 53770, 54359, 54360, 54361, 54446, 55448, 55452, 55563, 55859, 56125, 56129, 56345, 56421, 56422, 56820, 57416, 57818, 57968, 58161, 58511, 58831, 58851, 58919, 59409, 59737, 59740, 59790, 60744, 61678, 62649, 66745, 66746, 66747, 66748, 66749, 66752, 66753, 66754, 66755, 66756, 66757, 66758, 66760)",2.71,chalc_semicon
Ag1Ga1Se2,"(51679, 53767, 55361, 55496, 55559, 56034, 57133, 57815, 57816, 57820, 57900, 57916, 58384, 65173, 65174, 66803, 66806, 66807, 66808, 66809, 66810, 66811, 66812, 66813, 66814, 66815, 66816, 66817, 66818, 66819)",1.8,chalc_semicon
Ag1Ga1Si1Se4,"(53764, 53766, 53768, 68564, 68565, 68566, 68567, 68568, 68569)",2.42,chalc_semicon
Ag1Ga2In3S8,"(56657,)",2.27,chalc_semicon
Ag1Ga2P1S6,"(68731,)",2.75,chalc_semicon
Ag1In0.5Al0.5S2,"(61111,)",2.31,chalc_semicon
Ag1In1Al1S2,"(61108,)",3.2,chalc_semicon
Ag1In1Cd1S2,"(56976,)",2.4,chalc_semicon
Ag1In1Ga1Se2,"(61072, 61073)",1.5575,chalc_semicon
Ag1In1P2S6,"(58422,)",2.43,chalc_semicon
Ag1In1S1,"(63685,)",1.61,chalc_semicon
Ag1In1S2,"(51639, 52450, 52537, 52673, 52931, 53089, 53511, 53950, 53951, 54019, 54213, 54297, 54298, 54299, 54300, 54426, 54567, 54581, 54582, 55009, 55010, 56660, 56745, 56894, 57076, 57212, 57433, 57473, 57590, 57652, 57819, 57859, 58151, 59517, 59872, 59985, 60112, 60766, 61109, 61688, 61689, 62055, 62056, 62057, 63501, 63502, 63773, 64351, 64527, 65450, 66775, 66776, 66777, 66778, 66779, 66780, 66781)",1.88,chalc_semicon
Ag1In1S3Zn1,"(54216, 56897)",3.91,chalc_semicon
Ag1In1S8,"(58152,)",1.27,chalc_semicon
Ag1In1Se2,"(51821, 52078, 52556, 53545, 57138, 57211, 57420, 57817, 58444, 59471, 61271, 61272, 66837, 66838, 66839, 66840, 66841, 66842, 66843, 66844, 66845, 66846, 66847)",1.2,chalc_semicon
Ag1In1Sn1S4,"(52672, 52674)",1.89,chalc_semicon
Ag1In2S4Cu1,"(56643,)",1.5,chalc_semicon
Ag1In5S8,"(51697, 51963, 52109, 52110, 52111, 52443, 52461, 52462, 52712, 53070, 54230, 54231, 55759, 58304, 60763, 61968, 61969, 61970, 62074, 65543, 66782, 66783, 66784)",1.78,chalc_semicon
Ag1In5Se8,"(58080, 58081, 61971)",1.1,chalc_semicon
Ag1Mn2Ga1S4,"(51927,)",2.275,chalc_semicon
Ag1Nb2P1S10,"(68155,)",1.78,chalc_semicon
Ag1Pb1Bi1S3,"(68079, 68080)",1.2,chalc_semicon
Ag1S1,"(58427, 65827, 65828, 65831, 65834, 65835, 65836, 65838, 65840, 65841)",1.3,chalc_semicon
Ag1Sb1S2,"(61480, 67124, 67125, 67126, 67127, 67128, 67129, 67130, 67131, 67132, 67133, 67134, 67135, 67136, 67138, 67139)",1.9,chalc_semicon
Ag1Sc1P2Se6,"(68318,)",1.55,chalc_semicon
Ag1Y1S2,"(64929, 64930)",3.16,chalc_semicon
Ag1Zn1P1S4,"(68697,)",2.76,chalc_semicon
Ag20Bi20CsI60,"(146, 996, 3902, 12947, 21509, 22506, 25016, 26989, 33570, 42874, 43018, 43911, 44256, 44788, 46575, 47417, 48435)",1.8600001983339236,pvk
Ag20Bi60Cs3I170,"(11168,)",1.8600001983339236,pvk
Ag2Ba6Sn4S16,"(68687, 68688)",1.48,chalc_semicon
Ag2Bi3I11,"(93, 2071, 39008)",1.9200002047317917,pvk
Ag2BiI5,"(14699, 14842, 15500, 18862, 20680, 21384, 28247, 49750, 50145)",1.8900002015328567,pvk
Ag2Cd1Ge1S4,"(68372,)",2.32,chalc_semicon
Ag2Cd1P2S6,"(68619, 68620)",2.271,chalc_semicon
Ag2Cd1Sn1S4,"(51680,)",1.94,chalc_semicon
Ag2CsI3Sb2,"(42983,)",1.9600002089970368,pvk
Ag2Ga2Si1S6,"(68626,)",2.35,chalc_semicon
Ag2Ga2Si1Se6,"(55285, 55286, 68729, 68730)",2.05,chalc_semicon
Ag2Ge1S3,"(65114, 68029)",2.0700000000000003,chalc_semicon
Ag2Hg1Sn1S4,"(51677,)",1.38,chalc_semicon
Ag2In5S8,"(51218,)",1.53,chalc_semicon
Ag2S1,"(51409, 51411, 52876, 53700, 54272, 54559, 54560, 54891, 54962, 55148, 55167, 55609, 55907, 56517, 57347, 57349, 57350, 57351, 57352, 57353, 57354, 58041, 58043, 58298, 58414, 58428, 58695, 59360, 59551, 59784, 59786, 59902, 59986, 60545, 60668, 60800, 60803, 61046, 62106, 62529, 62748, 63387, 63389, 63391, 64111, 64220, 64553, 66709, 66711)",1.1,chalc_semicon
Ag2S31,"(63223,)",1.1,chalc_semicon
Ag2S3Sn1,"(55552,)",2.22,chalc_semicon
Ag2Se1,"(51678, 60682, 61034, 61036, 61037, 65753)",1.55,chalc_semicon
Ag2Se1S1,"(53625,)",1.115,chalc_semicon
Ag2Se1Te1,"(64281, 64282, 64283)",1.535,chalc_semicon
Ag2Sn1S3,"(66957, 66958, 66959)",1.37,chalc_semicon
Ag2Zn1Si1S4,"(68371,)",3.28,chalc_semicon
Ag2Zn1Sn1S4,"(54039, 60093, 60467)",2.0,chalc_semicon
Ag38Bi750I2375,"(11089,)",1.8600001983339236,pvk
Ag3As1S3,"(67140, 67141, 67142, 67143, 67144, 67145, 67146, 67147, 67148, 67149, 67150, 67151)",2.098,chalc_semicon
Ag3As1Se3,"(67101, 67102, 67103, 67104, 67105, 67106, 67107, 67108)",2.1385,chalc_semicon
Ag3Bi2I9,"(12027, 31496, 42023, 46381)",1.8600001983339236,pvk
Ag3Bi80I230,"(27140,)",1.8600001983339236,pvk
Ag3BiBr6,"(32896,)",2.600000277240968,pvk
Ag3BiI6,"(1495, 4598, 20581, 50322)",1.8300001951349891,pvk
Ag3BiI9Sb,"(21123,)",1.9200002047317917,pvk
Ag3Ga3Si1Se1,"(57131,)",2.3,chalc_semicon
Ag3Ga3Si1Se8,"(53765, 57132, 57135, 68563)",2.3,chalc_semicon
Ag3Ge2S5Br1,"(68504,)",1.52,chalc_semicon
Ag3In5Se9,"(61274,)",1.22,chalc_semicon
Ag3Sb1S3,"(67152, 67153, 67154, 67155, 67156, 67157, 67158, 67159, 67160, 67167, 67168, 67169, 67170, 67171, 67172, 67173, 67174)",2.096,chalc_semicon
Ag4Ba6Sn4S16,"(68685, 68686)",2.1950000000000003,chalc_semicon
Ag4Bi5Br30Cs10Sn,"(31851,)",1.6800001791403176,pvk
Ag4S2,"(54345, 59456)",1.1,chalc_semicon
Ag51Bi1000I3500,"(42057,)",1.8600001983339236,pvk
Ag5Bi5Br2I18,"(9512,)",1.930000205798103,pvk
Ag5Bi5Br3I17,"(12450,)",1.9400002068644144,pvk
Ag5Bi5BrI19,"(2808,)",1.9200002047317917,pvk
Ag8Ge1S6,"(58085, 58087, 66945, 66946, 66947, 66948)",1.18,chalc_semicon
Ag8Sn1S6,"(51413, 57731, 57732, 57733, 60459, 60460, 60461, 60462, 60463, 60464)",1.325,chalc_semicon
Ag99Bi100Br600Cs200Cu,"(25433,)",2.2000002345885115,pvk
Ag9Bi10Br60Cs20Sn,"(30222,)",1.690000180206629,pvk
AgBi2CuI8,"(38702,)",1.780000189803432,pvk
AgBi2I7,"(6596, 9885, 11852, 14946, 18737, 22465, 28958, 29029, 41238)",1.8900002015328567,pvk
AgBiBr6C32Cs2H48N4,"(8953, 29758)",2.2000002345885115,pvk
AgBiBr6Cs,"(22077, 26127, 29810, 31749, 38486, 43086)",2.3900002548484283,pvk
AgBiBr6Cs2,"(2759, 2764, 3294, 3568, 4384, 5128, 5670, 5770, 9041, 9111, 9519, 11517, 13691, 13825, 15698, 16102, 16941, 17225, 17906, 17919, 18038, 18686, 19272, 20562, 21394, 21404, 21595, 21602, 22603, 22777, 23486, 23610, 23622, 25554, 27241, 28140, 28934, 28997, 32526, 33527, 33762, 35440, 36749, 36857, 36962, 37489, 38638, 39635, 40228, 42389, 44914, 45575, 46897, 47578, 47985, 49963, 50154)",2.2000002345885115,pvk
AgBiCu2I6,"(20215, 40801)",1.8050001924692103,pvk
AgBiI4,"(2200, 3231, 41869)",1.8600001983339236,pvk
AgBiS2,"(3071, 24290)",1.215000129556837,pvk
AgBr150C50H300N50Pb49,"(602, 3537, 4950, 15694, 18587, 18698, 32817)",2.300000245251625,pvk
AgBr300C100H600N100Pb99,"(6040, 8544, 12996, 25462, 30157, 31764, 43369, 46755)",2.300000245251625,pvk
AgBr30C10H60N10Pb9,"(316, 5182, 25838, 31095, 31138, 37224, 38782, 47610)",2.300000245251625,pvk
AgBr600C200H1200N200Pb199,"(322, 4791, 22709, 37851, 46472, 50310)",2.300000245251625,pvk
AgBr60C20H120N20Pb19,"(4165, 8946, 16148, 44885)",2.300000245251625,pvk
Al0.74Gd3Si0.7S7,"(68339,)",2.34,chalc_semicon
Al1In1Se1,"(62198,)",1.16,chalc_semicon
Al1N1Mo1Se2,"(58481,)",2.05,chalc_semicon
Al1N1W1Se2,"(58480,)",1.72,chalc_semicon
Al1Se4,"(60080,)",3.4,chalc_semicon
Al2S3,"(66132, 66133, 66134, 66135, 66136, 66137)",4.1,chalc_semicon
Al2Se3,"(58502, 66138, 66139, 66141, 66142)",3.1,chalc_semicon
Al3Cl12Sb7S8Br2,"(68871,)",2.03,chalc_semicon
Al3S20Ge7Rb3,"(68347,)",3.1,chalc_semicon
Al3Se20Ge7Rb3,"(68348,)",2.4,chalc_semicon
AlCCl4H6N,"(46838,)",2.800000298567196,pvk
As1S1I1,"(67695,)",2.05,chalc_semicon
As1Se1,"(66703, 66704)",1.2149999999999999,chalc_semicon
As1Se1I1,"(67696, 67697)",1.88,chalc_semicon
As2S3,"(51582, 51629, 55909, 58144, 59838, 62436, 62454, 62830, 62831, 62832, 66387, 66388, 66389, 66390, 66391, 66392, 66394, 66395, 66397, 66398)",2.425,chalc_semicon
As2S5,"(66701, 66702)",2.11,chalc_semicon
As2Se3,"(52660, 58356, 62428, 62429, 62437, 62438, 62439, 62453, 64166, 64985, 65547, 66401, 66402, 66403, 66404, 66405, 66406, 66407, 66408, 66409, 66410, 66412, 66413, 66414, 66415, 66416, 66417)",1.77,chalc_semicon
As35S65,"(51855, 51857)",2.145,chalc_semicon
As40S60,"(51744, 64962, 64963)",2.4,chalc_semicon
As40Se30S30,"(52205, 52208)",1.98,chalc_semicon
As40Se30Te30,"(52206, 52209)",1.59,chalc_semicon
As40Se60,"(52204, 52207, 65556, 65558)",1.835,chalc_semicon
As48S52,"(52638,)",2.33,chalc_semicon
As4S3,"(51856, 51858)",2.145,chalc_semicon
As4S4,"(66400,)",2.4,chalc_semicon
As50Se50,"(51761, 64737, 65557)",1.72,chalc_semicon
Au1Se1,"(60726,)",1.82,chalc_semicon
Au1Zn1S1,"(59074,)",3.54,chalc_semicon
Au2S1,"(56647, 56648, 64135)",1.95,chalc_semicon
AuBr3CH6N,"(21560,)",1.380000147150975,pvk
AuBr6Rb2Sc,"(40807,)",1.710000182339252,pvk
B1N1S2H1,"(62630,)",4.07,chalc_semicon
B1N2S1,"(64099,)",5.0,chalc_semicon
B1S1,"(56806, 56807, 56809)",4.085,chalc_semicon
B1S12,"(58339,)",2.6,chalc_semicon
B1S1C1F3,"(56581,)",3.0,chalc_semicon
B1S1C222,"(60143,)",3.21,chalc_semicon
B1S1F1N1,"(58839,)",3.08,chalc_semicon
B1S1N1,"(57067,)",3.37,chalc_semicon
B1S4Ba1Bi1,"(68344,)",2.34,chalc_semicon
B1S4Ba1Sb1,"(55172, 68343)",2.315,chalc_semicon
B1S6Ba3Sb1,"(68480,)",2.62,chalc_semicon
B1S6Bi0.5Ba3,"(68479,)",2.43,chalc_semicon
B1S6Sb0.5Ba3,"(55176, 68478)",3.01,chalc_semicon
B1S9,"(56808,)",3.51,chalc_semicon
B1Se1,"(55949,)",2.11,chalc_semicon
B1Y1S1,"(55682, 55683)",4.74,chalc_semicon
