material,exp_label,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,chi_AX_ratio,chi_BX_ratio,log_rA_rB_ratio,A,B,X,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X
PbZrS3,0.0,149.22,72.07,184.4,2,4,-2,2.33,1.33,2.58,0.3913043478260869,0.8097826086956521,-0.25,-1.25,-1.11,-2.11,0.2252252252252252,0.5924170616113744,0.7272801869294039,Pb,Zr,S,-3.4960777300000014,-3.6022224400000007,-7.00838179000003,-3.4960778500144083,-3.602222563658176,0.8145175879610062,-0.8830451593257576,-0.27140667131249985,-2.847077729734469,6.576348032711487,7.139550537079975,11.769320157021456,103.96,166.94,74.72999999999999,140.49,222.0,84.92999999999999,56.76,84.44,273.21
CsCdBr3,1.0,188.28,95.14,195.56,1,2,-1,0.79,1.69,2.96,0.4846938775510204,0.9591836734693876,-2.17,-1.27,-2.65,-1.75,0.8188679245283019,0.7257142857142858,0.6825650712294085,Cs,Cd,Br,-2.0859241200000014,-5.657022910000005,-7.858438990000018,-0.47924297645159664,-1.1571185497219154,0.05511027189184196,-0.5452966317296846,0.9482623915387753,-3.6781509272527466,3.8635765556284616,9.27193000127873,12.554312316975999,253.57,123.55,75.14,319.04,179.66,88.34,202.25,51.92,22.81
RbMnF3,1.0,172.2,82.83,133.15,1,2,-1,0.82,1.55,3.98,0.6240601503759398,1.2932330827067668,-3.16,-2.43,-2.62,-1.89,1.2061068702290076,1.2857142857142858,0.7286538690168551,Rb,Mn,F,-2.23129531,-4.411136790000002,-11.111416699999976,-0.6626547127478113,-0.936468712147378,1.1366816190203481,-0.5654554674099543,-1.152247272554489,-4.336301480858267,4.153592876586776,7.312724883033412,19.391595983680425,231.42,40.830000000000005,40.44,324.0,205.42,37.4,240.09999999999997,137.51,143.19
BaVSe3,0.0,161.04,58.44,198.14,2,4,-2,0.89,1.63,2.55,0.2929292929292929,0.8131313131313131,-1.6599999999999997,-0.92,-2.55,-1.81,0.6509803921568627,0.5082872928176796,1.0209613544380438,Ba,V,Se,-3.2293497700000002,-4.348428499999998,-6.510488250000024,-2.0224315294266337,-4.348428649274164,-0.21118754724970967,0.18154870422262356,-0.78074486180114,-2.730814399751447,5.363406047114364,7.169663669121636,10.84576444731508,219.67000000000002,148.18,79.97,266.14000000000004,205.66,95.78,131.01,47.59,23.97
PbLiCl3,0.0,149.22,75.66,180.61,2,1,-1,2.33,0.98,3.16,0.4198895027624309,0.8232044198895028,-0.8300000000000001,-2.18,-1.11,-2.46,0.7477477477477478,0.8861788617886179,0.673212965659128,Pb,Li,Cl,-3.4960777300000014,-2.8741409099999977,-8.594666479999974,-3.4960778500144083,-1.0207578250408813,0.019723560677076313,-0.8830451593257576,-0.7561139179561087,-3.9352299810896123,6.576348032711487,5.297381732850112,13.876021229339663,103.96,165.76,67.85000000000001,140.49,201.34,75.67,56.76,674.19,224.95000000000002
NdYbSe3,0.0,127.64,86.89,198.14,3,3,-2,1.14,1.1,2.55,0.4383838383838384,0.6414141414141414,-1.41,-1.4499999999999995,-2.3,-2.34,0.6130434782608696,0.6196581196581195,0.3805804647922866,Nd,Yb,Se,-2.1210724900000018,-3.076992080000003,-6.510488250000024,-2.1210725628128135,-1.0944533775707237,-0.21118754724970967,0.35862482534145484,0.47679991736050453,-2.730814399751447,5.776794692320843,6.531525574217345,10.84576444731508,200.25,173.83,79.97,272.22,248.89999999999998,95.78,117.44000000000001,112.50999999999999,23.97
CsTiBr3,0.0,188.28,85.67,195.56,1,2,-1,0.79,1.54,2.96,0.4387755102040816,0.9591836734693876,-2.17,-1.42,-2.65,-1.9,0.8188679245283019,0.7473684210526316,0.7820946665764414,Cs,Ti,Br,-2.0859241200000014,-4.219539480000003,-7.858438990000018,-0.47924297645159664,-4.219539624849625,0.05511027189184196,-0.5452966317296846,-0.3138992857783973,-3.6781509272527466,3.8635765556284616,7.119307230391988,12.554312316975999,253.57,154.67,75.14,319.04,206.03,88.34,202.25,51.94,22.81
RbVF3,1.0,172.2,79.35,133.15,1,2,-1,0.82,1.63,3.98,0.5939849624060151,1.2932330827067668,-3.16,-2.35,-2.62,-1.81,1.2061068702290076,1.298342541436464,0.7780466243464316,Rb,V,F,-2.23129531,-4.348428499999998,-11.111416699999976,-0.6626547127478113,-4.348428649274164,1.1366816190203481,-0.5654554674099543,-0.78074486180114,-4.336301480858267,4.153592876586776,7.169663669121636,19.391595983680425,231.42,148.18,40.44,324.0,205.66,37.4,240.09999999999997,47.59,143.19
AgCuF3,1.0,152.13,72.62,133.15,1,2,-1,1.93,1.9,3.98,0.5488721804511277,0.962406015037594,-2.05,-2.08,-1.51,-1.54,1.357615894039735,1.3506493506493507,0.561570822771226,Ag,Cu,F,-4.402160580000001,-4.608164319999999,-11.111416699999976,-0.24629308845482334,-0.6024405606807606,1.1366816190203481,-1.4755869046631138,-1.5474569751238811,-4.336301480858267,7.7559637802550805,8.147436993683963,19.391595983680425,132.41000000000003,120.22,40.44,190.44,203.01999999999998,37.4,54.86,31.900000000000002,143.19
CsFeCl3,0.0,188.28,78.4,180.61,1,2,-1,0.79,1.83,3.16,0.430939226519337,1.0386740331491713,-2.37,-1.33,-2.65,-1.61,0.8943396226415095,0.8260869565217391,0.8797331361403574,Cs,Fe,Cl,-2.0859241200000014,-4.431945739999999,-8.594666479999974,-0.47924297645159664,-0.812293287884647,0.019723560677076313,-0.5452966317296846,-1.3037382507616442,-3.9352299810896123,3.8635765556284616,7.470426106445764,13.876021229339663,253.57,133.01,67.85000000000001,319.04,193.65,75.67,202.25,38.15,224.95000000000002
