Composition,CL score,CL score std
Ba1 Zr1 S3,0.99068628013134,0.0237061680541887
Ba1 U1 S3,0.989047292470932,0.0160880729347312
Eu1 Sc1 S3,0.9877445751428604,0.0193608901403237
Ba1 Hf1 S3,0.9872083312273026,0.0250115251685669
Dy1 Sc1 S3,0.9849861258268356,0.0167599199454082
Ce1 Sc1 S3,0.9824541515111924,0.0309489375543145
Eu1 Zr1 S3,0.9813980263471604,0.0304792582302208
Gd1 Sc1 S3,0.980566132068634,0.0428428288780457
Sr1 Sn1 S3,0.980510709285736,0.0359928712470361
La1 Sc1 S3,0.975183838158846,0.0818118129941604
Ba1 U1 Se3,0.9750630819797516,0.0986662183618118
Eu1 Hf1 S3,0.9734013304114342,0.0669823231982585
Gd1 Zr1 S3,0.970947514846921,0.0911146697989623
Eu1 Tm1 S3,0.9588140269741416,0.1109846439784147
Tb1 Eu1 S3,0.9573265823721886,0.1061649389464037
Tb1 Sc1 S3,0.9562970453500748,0.0682207794616211
La1 Zr1 S3,0.9555832715332508,0.1142345942952473
La1 Tb1 S3,0.9551304619014264,0.0998483229624284
Dy1 Zr1 S3,0.949916318282485,0.1249323920033593
Eu1 Y1 S3,0.9444400417804718,0.108504586295884
La1 Tb1 Se3,0.9337648278474808,0.1354336359557574
Eu1 Dy1 S3,0.9316943210363388,0.1179775971340854
Pr1 Sc1 S3,0.9272111487388612,0.1795254816020944
Sr1 U1 S3,0.9261828302964568,0.1538688730955104
Ba1 Pr1 S3,0.9220239676535128,0.1660421522926282
Sm1 Zr1 S3,0.915478010708466,0.1821461577826748
Sm1 Lu1 S3,0.9140395222604276,0.1838783436661432
Sc1 U1 S3,0.911456849053502,0.1819017332063415
Ce1 Cd1 S3,0.9006391260866076,0.208281815875894
Ba1 Ce1 S3,0.8943371510505677,0.2000501127239567
Sm1 Sc1 S3,0.8797870871890336,0.2301988204899398
Eu1 U1 S3,0.8795629665255547,0.2232418705960838
Yb1 Sm1 S3,0.8272403161227703,0.2607713482955242
Dy1 In1 S3,0.8164025643467903,0.250658965703796
Sr1 U1 Se3,0.7867051882669329,0.2904925710587823
U1 In1 Se3,0.780317622157454,0.2908045736176904
Eu1 U1 Se3,0.7768224756373092,0.2885382158843059
Sr1 Pr1 S3,0.759933307445608,0.3090005154228585
Yb1 Eu1 S3,0.7475818630494178,0.2759835452965533
U1 In1 S3,0.741206506419403,0.3181479055810133
Al1 Sn1 Se3,0.7170837879969622,0.3259612320618167
Ca1 Ce1 S3,0.7028134969808161,0.3045890792706121
U1 Bi1 S3,0.6755477248731768,0.3605897676803827
Sr1 Ce1 S3,0.6647616331849713,0.3244373000220446
Pr1 U1 Se3,0.6447323716714163,0.3538757969673836
Yb1 Eu1 Se3,0.6065554574035923,0.3709870050525781
Ca1 U1 Se3,0.6005630993354134,0.3413253234728878
Hf1 Cu1 S3,0.5850119542898028,0.3437957093235633
Hf1 Cu1 Se3,0.5704393604057258,0.3599098409763412
Tb1 Zn1 S3,0.5601970707229339,0.3576784161986618
Sm1 U1 Se3,0.5309496672570821,0.3769379627791649
Zr1 Cu1 Se3,0.5180851111002266,0.3367617297109807
Ce1 U1 S3,0.4924737123763771,0.3669202184696687
Ce1 U1 Se3,0.2707180734688881,0.3474585409413144
