formula,Unnamed: 0,atoms,a,b,c,alpha,beta,gamma,volume,atomic_density,mass_density,bandgap,bandgap_sigma
LaScS3,0,"{'m_def': 'nomad.datamodel.metainfo.system.Atoms', 'm_def_id': 'a173e6190ff167bcf2edc9717d0e7a451abfa436', 'atomic_numbers': [57, 57, 57, 57, 21, 21, 21, 21, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16], 'labels': ['La', 'La', 'La', 'La', 'Sc', 'Sc', 'Sc', 'Sc', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S'], 'lattice_vectors': [[7.320400000000001e-10, 0.0, 0.0], [0.0, 9.622e-10, 0.0], [0.0, 0.0, 6.564e-10]], 'periodic': [True, True, True], 'positions': [[6.63521056e-10, 7.2165e-10, 2.3630400000000095e-11], [2.97501056e-10, 7.2165e-10, 3.045696e-10], [4.34538944e-10, 2.4055e-10, 3.518304000000001e-10], [6.851894400000002e-11, 2.4055e-10, 6.327696e-10], [0.0, 4.811e-10, 3.282e-10], [0.0, 0.0, 3.282e-10], [3.6602000000000005e-10, 0.0, 0.0], [3.6602000000000005e-10, 4.811e-10, 0.0], [5.941236640000001e-10, 5.975262000000005e-11, 5.3936388e-10], [5.941236640000001e-10, 4.213473799999999e-10, 5.3936388e-10], [2.2810366400000001e-10, 4.213473799999999e-10, 4.4523612000000004e-10], [5.039363360000001e-10, 9.024473799999999e-10, 2.1116388e-10], [1.3791633600000006e-10, 5.408526200000001e-10, 1.1703612e-10], [5.039363360000001e-10, 5.408526200000001e-10, 2.1116388e-10], [2.2810366400000001e-10, 5.975262000000005e-11, 4.4523612000000004e-10], [1.3791633600000006e-10, 9.024473799999999e-10, 1.1703612e-10], [7.047349080000001e-10, 2.4055e-10, 2.4575616000000004e-10], [3.3871490800000003e-10, 2.4055e-10, 8.244383999999996e-11], [3.9332509200000006e-10, 7.2165e-10, 5.7395616e-10], [2.730509200000001e-11, 7.2165e-10, 4.1064384000000004e-10]], 'species': [57, 57, 57, 57, 21, 21, 21, 21, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]}",7.320400000000001,9.622,6.564,90.0,90.0,90.0,462.3477380832002,0.0432574842539858,4.0233315792945294,2.0445196628570557,0.11439086496829987
BaSnS3,1,"{'m_def': 'nomad.datamodel.metainfo.system.Atoms', 'm_def_id': 'a173e6190ff167bcf2edc9717d0e7a451abfa436', 'atomic_numbers': [56, 56, 56, 56, 50, 50, 50, 50, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16], 'labels': ['Ba', 'Ba', 'Ba', 'Ba', 'Sn', 'Sn', 'Sn', 'Sn', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S'], 'lattice_vectors': [[7.4207e-10, 0.0, 0.0], [0.0, 1.10208e-09, 0.0], [0.0, 0.0, 6.8407e-10]], 'periodic': [True, True, True], 'positions': [[6.70163417e-10, 2.7552e-10, 2.4763334000000086e-11], [2.9912841700000004e-10, 2.7552e-10, 3.17271666e-10], [4.42941583e-10, 8.2656e-10, 3.667983340000001e-10], [7.1906583e-11, 8.2656e-10, 6.593066659999999e-10], [0.0, 5.5104e-10, 3.42035e-10], [0.0, 0.0, 3.42035e-10], [3.71035e-10, 0.0, 0.0], [3.71035e-10, 5.5104e-10, 0.0], [6.025608400000001e-10, 5.746245119999999e-10, 5.584063410000001e-10], [6.025608400000001e-10, 1.078495488e-09, 5.584063410000001e-10], [2.3152584e-10, 1.078495488e-09, 4.676986589999999e-10], [5.1054416e-10, 5.27455488e-10, 2.1637134100000002e-10], [1.3950916e-10, 2.3584511999999998e-11, 1.25663659e-10], [5.1054416e-10, 2.3584511999999998e-11, 2.1637134100000002e-10], [2.3152584e-10, 5.746245119999999e-10, 4.676986589999999e-10], [1.3950916e-10, 5.27455488e-10, 1.25663659e-10], [7.39324341e-10, 2.7552e-10, 4.0606395200000005e-10], [3.6828934100000003e-10, 2.7552e-10, 6.20041048e-10], [3.73780659e-10, 8.2656e-10, 6.402895200000001e-11], [2.7456590000000005e-12, 8.2656e-10, 2.78006048e-10]], 'species': [56, 56, 56, 56, 50, 50, 50, 50, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]}",7.4207,11.0208,6.8407,90.0,90.0,90.0,559.4464732657925,0.0357496220920817,4.181955023575213,1.6663562059402466,0.18603548407554626
ZrCdS3,2,"{'m_def': 'nomad.datamodel.metainfo.system.Atoms', 'm_def_id': 'a173e6190ff167bcf2edc9717d0e7a451abfa436', 'atomic_numbers': [40, 40, 40, 40, 48, 48, 48, 48, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16], 'labels': ['Zr', 'Zr', 'Zr', 'Zr', 'Cd', 'Cd', 'Cd', 'Cd', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S'], 'lattice_vectors': [[7.4207e-10, 0.0, 0.0], [0.0, 9.602e-10, 0.0], [0.0, 0.0, 6.6649e-10]], 'periodic': [True, True, True], 'positions': [[0.0, 4.801e-10, 0.0], [0.0, 0.0, 0.0], [3.71035e-10, 0.0, 3.33245e-10], [3.71035e-10, 4.801e-10, 3.33245e-10], [6.681598280000001e-10, 7.2015e-10, 3.165161010000001e-10], [2.9712482799999997e-10, 7.2015e-10, 1.6728898999999933e-11], [4.4494517200000003e-10, 2.4005e-10, 6.497611010000001e-10], [7.3910172e-11, 2.4005e-10, 3.49973899e-10], [6.14137132e-10, 5.982046000000003e-11, 4.4834782300000015e-10], [6.14137132e-10, 4.2027954000000004e-10, 4.4834782300000015e-10], [2.4310213200000003e-10, 4.2027954000000004e-10, 5.51387177e-10], [4.98967868e-10, 9.0037954e-10, 1.1510282300000002e-10], [1.27932868e-10, 5.3992046e-10, 2.1814217700000002e-10], [4.98967868e-10, 5.3992046e-10, 1.1510282300000002e-10], [2.4310213200000003e-10, 5.982046000000003e-11, 5.51387177e-10], [1.27932868e-10, 9.0037954e-10, 2.1814217700000002e-10], [7.143907890000001e-10, 2.4005e-10, 7.624645600000004e-11], [3.43355789e-10, 2.4005e-10, 2.56998544e-10], [3.9871421100000005e-10, 7.2015e-10, 4.0949145600000006e-10], [2.7679210999999992e-11, 7.2015e-10, 5.902435439999999e-10]], 'species': [40, 40, 40, 40, 48, 48, 48, 48, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]}",7.4207,9.602,6.6649,90.0,90.0,90.0,474.8978613748603,0.0421143189444961,4.193570614050693,1.9760422706604004,0.14642022550106049
TmEuS3,3,"{'m_def': 'nomad.datamodel.metainfo.system.Atoms', 'm_def_id': 'a173e6190ff167bcf2edc9717d0e7a451abfa436', 'atomic_numbers': [63, 63, 63, 63, 69, 69, 69, 69, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16], 'labels': ['Eu', 'Eu', 'Eu', 'Eu', 'Tm', 'Tm', 'Tm', 'Tm', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S'], 'lattice_vectors': [[7.3207e-10, 0.0, 0.0], [0.0, 9.822e-10, 0.0], [0.0, 0.0, 6.5149e-10]], 'periodic': [True, True, True], 'positions': [[6.66476528e-10, 7.366499999999999e-10, 6.2933934e-10], [3.00441528e-10, 7.366499999999999e-10, 3.4789566e-10], [4.316284720000001e-10, 2.4555e-10, 3.0359434e-10], [6.559347200000002e-11, 2.4555e-10, 2.2150660000000005e-11], [0.0, 4.911e-10, 3.25745e-10], [0.0, 0.0, 3.25745e-10], [3.66035e-10, 0.0, 0.0], [3.66035e-10, 4.911e-10, 0.0], [5.91146525e-10, 7.081662000000005e-11, 1.1661670999999996e-10], [5.91146525e-10, 4.202833799999999e-10, 1.1661670999999996e-10], [2.2511152500000003e-10, 4.202833799999999e-10, 2.0912829000000014e-10], [5.069584750000001e-10, 9.113833799999999e-10, 4.4236171e-10], [1.4092347500000004e-10, 5.619166200000001e-10, 5.3487329e-10], [5.069584750000001e-10, 5.619166200000001e-10, 4.4236171e-10], [2.2511152500000003e-10, 7.081662000000005e-11, 2.0912829000000014e-10], [1.4092347500000004e-10, 9.113833799999999e-10, 5.3487329e-10], [6.974430890000001e-10, 2.4555e-10, 4.1982015599999996e-10], [3.31408089e-10, 2.4555e-10, 5.574148440000001e-10], [4.00661911e-10, 7.366499999999999e-10, 9.407515599999998e-11], [3.4626911000000014e-11, 7.366499999999999e-10, 2.3166984400000003e-10]], 'species': [63, 63, 63, 63, 69, 69, 69, 69, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]}",7.3207,9.822,6.5149,90.0,90.0,90.0,468.4468184394597,0.0426942807865066,5.914008107844693,2.230107069015503,0.058153148740530014
UInS3,4,"{'m_def': 'nomad.datamodel.metainfo.system.Atoms', 'm_def_id': 'a173e6190ff167bcf2edc9717d0e7a451abfa436', 'atomic_numbers': [92, 92, 92, 92, 49, 49, 49, 49, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16], 'labels': ['U', 'U', 'U', 'U', 'In', 'In', 'In', 'In', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S'], 'lattice_vectors': [[7.320400000000001e-10, 0.0, 0.0], [0.0, 9.722e-10, 0.0], [0.0, 0.0, 6.3949e-10]], 'periodic': [True, True, True], 'positions': [[6.437559760000001e-10, 7.291499999999999e-10, 3.5549249100000005e-10], [2.77735976e-10, 7.291499999999999e-10, 6.03742509e-10], [4.5430402400000007e-10, 2.4305e-10, 3.574749100000004e-11], [8.828402400000001e-11, 2.4305e-10, 2.8399750899999993e-10], [0.0, 4.861e-10, 0.0], [0.0, 0.0, 0.0], [3.6602000000000005e-10, 0.0, 3.19745e-10], [3.6602000000000005e-10, 4.861e-10, 3.19745e-10], [6.059827120000001e-10, 7.029006000000003e-11, 2.1039220999999998e-10], [6.059827120000001e-10, 4.158099399999999e-10, 2.1039220999999998e-10], [2.39962712e-10, 4.158099399999999e-10, 1.0935279000000002e-10], [4.920772880000001e-10, 9.0190994e-10, 5.3013721e-10], [1.2605728800000004e-10, 5.5639006e-10, 4.290977900000001e-10], [4.920772880000001e-10, 5.5639006e-10, 5.3013721e-10], [2.39962712e-10, 7.029006000000003e-11, 1.0935279000000002e-10], [1.2605728800000004e-10, 9.0190994e-10, 4.290977900000001e-10], [7.047349080000001e-10, 2.4305e-10, 5.39985356e-10], [3.3871490800000003e-10, 2.430500000000001e-10, 4.1924964399999995e-10], [3.9332509200000006e-10, 7.291500000000001e-10, 2.20240356e-10], [2.730509200000001e-11, 7.291499999999999e-10, 9.950464399999998e-11]], 'species': [92, 92, 92, 92, 49, 49, 49, 49, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]}",7.320400000000001,9.722,6.394900000000002,90.0,90.0,90.0,455.1181827831201,0.0439446296733231,6.553476994284693,1.6519081592559814,0.28357216715812683
TbSmSe3,5,"{'m_def': 'nomad.datamodel.metainfo.system.Atoms', 'm_def_id': 'a173e6190ff167bcf2edc9717d0e7a451abfa436', 'atomic_numbers': [65, 65, 65, 65, 62, 62, 62, 62, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34], 'labels': ['Tb', 'Tb', 'Tb', 'Tb', 'Sm', 'Sm', 'Sm', 'Sm', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se'], 'lattice_vectors': [[7.4206e-10, 0.0, 0.0], [0.0, 1.00808e-09, 0.0], [0.0, 0.0, 7.141200000000001e-10]], 'periodic': [True, True, True], 'positions': [[0.0, 5.0404e-10, 3.5706000000000006e-10], [0.0, 0.0, 3.5706000000000006e-10], [3.7103e-10, 0.0, 0.0], [3.7103e-10, 5.0404e-10, 3.9641623317265846e-26], [6.705254160000001e-10, 2.5202e-10, 1.506793200000009e-11], [2.9949541600000004e-10, 2.5202e-10, 3.4199206799999995e-10], [4.425645840000001e-10, 7.560600000000001e-10, 3.721279320000001e-10], [7.153458400000001e-11, 7.560600000000001e-10, 6.99052068e-10], [6.0440787e-10, 5.65936112e-10, 5.879349960000001e-10], [6.0440787e-10, 9.46183888e-10, 5.879349960000001e-10], [2.3337787000000005e-10, 9.46183888e-10, 4.832450040000001e-10], [5.0868213e-10, 4.4214388800000006e-10, 2.3087499600000007e-10], [1.3765213e-10, 6.1896112e-11, 1.2618500400000002e-10], [5.0868213e-10, 6.1896112e-11, 2.3087499600000007e-10], [2.3337787000000005e-10, 5.65936112e-10, 4.832450040000001e-10], [1.3765213e-10, 4.4214388800000006e-10, 1.2618500400000002e-10], [7.022113780000001e-10, 7.560600000000001e-10, 2.45371632e-10], [3.3118137800000005e-10, 7.560600000000001e-10, 1.1168836800000008e-10], [4.1087862199999997e-10, 2.5202e-10, 6.024316320000001e-10], [3.9848622e-11, 2.5202e-10, 4.68748368e-10]], 'species': [65, 65, 65, 65, 62, 62, 62, 62, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34]}",7.4206,10.080800000000004,7.141200000000001,90.0,90.0,90.0,534.2016398885763,0.0374390464323014,6.790910652797942,1.67843759059906,0.07936344295740128
UEuSe3,6,"{'m_def': 'nomad.datamodel.metainfo.system.Atoms', 'm_def_id': 'a173e6190ff167bcf2edc9717d0e7a451abfa436', 'atomic_numbers': [63, 63, 63, 63, 92, 92, 92, 92, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34], 'labels': ['Eu', 'Eu', 'Eu', 'Eu', 'U', 'U', 'U', 'U', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se'], 'lattice_vectors': [[7.8206e-10, 0.0, 0.0], [0.0, 1.0021800000000002e-09, 0.0], [0.0, 0.0, 7.1417e-10]], 'periodic': [True, True, True], 'positions': [[7.20355466e-10, 2.5054500000000004e-10, 2.2282104000000006e-11], [3.2932546600000005e-10, 2.5054500000000004e-10, 3.3480289599999994e-10], [4.5273453399999994e-10, 7.516350000000002e-10, 3.7936710400000004e-10], [6.1704534e-11, 7.516350000000002e-10, 6.918878960000001e-10], [0.0, 5.010900000000001e-10, 3.57085e-10], [0.0, 0.0, 3.57085e-10], [3.9103e-10, 0.0, 0.0], [3.9103e-10, 5.010900000000001e-10, 0.0], [6.318262740000001e-10, 5.72645652e-10, 5.82976971e-10], [6.318262740000001e-10, 9.306243480000001e-10, 5.82976971e-10], [2.40796274e-10, 9.306243480000001e-10, 4.882780290000001e-10], [5.412637259999999e-10, 4.2953434800000007e-10, 2.2589197100000004e-10], [1.50233726e-10, 7.155565200000002e-11, 1.31193029e-10], [5.412637259999999e-10, 7.155565200000002e-11, 2.2589197100000004e-10], [2.40796274e-10, 5.72645652e-10, 4.882780290000001e-10], [1.50233726e-10, 4.2953434800000007e-10, 1.31193029e-10], [7.40063378e-10, 7.516350000000002e-10, 2.4538881200000003e-10], [3.4903337800000006e-10, 7.516350000000002e-10, 1.1169618800000007e-10], [4.33026622e-10, 2.5054500000000004e-10, 6.024738120000001e-10], [4.1996622e-11, 2.50545e-10, 4.68781188e-10]], 'species': [63, 63, 63, 63, 92, 92, 92, 92, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34, 34]}",7.8206,10.0218,7.1417,90.0,90.0,90.0,559.741372062636,0.0357307874640396,7.438770905689542,1.370116949081421,0.1348089873790741
SmScS3,7,"{'m_def': 'nomad.datamodel.metainfo.system.Atoms', 'm_def_id': 'a173e6190ff167bcf2edc9717d0e7a451abfa436', 'atomic_numbers': [62, 62, 62, 62, 21, 21, 21, 21, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16], 'labels': ['Sm', 'Sm', 'Sm', 'Sm', 'Sc', 'Sc', 'Sc', 'Sc', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S'], 'lattice_vectors': [[7.120400000000001e-10, 0.0, 0.0], [0.0, 9.502e-10, 0.0], [0.0, 0.0, 6.464000000000001e-10]], 'periodic': [True, True, True], 'positions': [[6.38272656e-10, 7.1265e-10, 6.176998400000001e-10], [2.82252656e-10, 7.1265e-10, 3.5190016000000004e-10], [4.2978734400000004e-10, 2.3755e-10, 2.9449984000000003e-10], [7.376734400000001e-11, 2.3755e-10, 2.8700160000000004e-11], [0.0, 4.751e-10, 3.2320000000000003e-10], [0.0, 0.0, 3.2320000000000003e-10], [3.5602000000000003e-10, 0.0, 0.0], [3.5602000000000003e-10, 4.751e-10, 0.0], [5.7995658e-10, 6.242814000000009e-11, 1.1551167999999998e-10], [5.7995658e-10, 4.1267186000000005e-10, 1.1551167999999998e-10], [2.2393658e-10, 4.1267186000000005e-10, 2.0768831999999997e-10], [4.8810342e-10, 8.877718600000001e-10, 4.3871168e-10], [1.3208342e-10, 5.375281400000001e-10, 5.308883200000001e-10], [4.8810342e-10, 5.375281400000001e-10, 4.3871168e-10], [2.2393658e-10, 6.242814000000009e-11, 2.0768831999999997e-10], [1.3208342e-10, 8.877718600000001e-10, 5.308883200000001e-10], [6.78360508e-10, 2.3755e-10, 4.1654016000000003e-10], [3.22340508e-10, 2.375500000000001e-10, 5.530598400000001e-10], [3.89699492e-10, 7.126500000000002e-10, 9.334015999999999e-11], [3.3679492e-11, 7.126499999999999e-10, 2.2985984000000006e-10]], 'species': [62, 62, 62, 62, 21, 21, 21, 21, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]}",7.120400000000002,9.502,6.464,90.0,90.0,90.0,437.3415757312003,0.0457308454302831,4.427342701943499,1.9888536930084229,0.11251785606145859
LuEuS3,8,"{'m_def': 'nomad.datamodel.metainfo.system.Atoms', 'm_def_id': 'a173e6190ff167bcf2edc9717d0e7a451abfa436', 'atomic_numbers': [63, 63, 63, 63, 71, 71, 71, 71, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16], 'labels': ['Eu', 'Eu', 'Eu', 'Eu', 'Lu', 'Lu', 'Lu', 'Lu', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S'], 'lattice_vectors': [[7.3207e-10, 0.0, 0.0], [0.0, 9.822e-10, 0.0], [0.0, 0.0, 6.5149e-10]], 'periodic': [True, True, True], 'positions': [[6.63548248e-10, 7.366499999999999e-10, 6.291438930000001e-10], [2.97513248e-10, 7.366499999999999e-10, 3.48091107e-10], [4.3455675200000003e-10, 2.4555e-10, 3.03398893e-10], [6.8521752e-11, 2.4555e-10, 2.2346107e-11], [0.0, 4.911e-10, 3.25745e-10], [0.0, 0.0, 3.25745e-10], [3.66035e-10, 0.0, 0.0], [3.66035e-10, 4.911e-10, 0.0], [5.91366146e-10, 6.787002000000016e-11, 1.1661670999999996e-10], [5.91366146e-10, 4.232299799999999e-10, 1.1661670999999996e-10], [2.2533114600000001e-10, 4.232299799999999e-10, 2.0912829000000014e-10], [5.067388540000001e-10, 9.1432998e-10, 4.4236171e-10], [1.40703854e-10, 5.589700200000001e-10, 5.3487329e-10], [5.067388540000001e-10, 5.589700200000001e-10, 4.4236171e-10], [2.2533114600000001e-10, 6.787002000000016e-11, 2.0912829000000014e-10], [1.40703854e-10, 9.1432998e-10, 5.3487329e-10], [6.974430890000001e-10, 2.4555e-10, 4.1982015599999996e-10], [3.31408089e-10, 2.4555e-10, 5.574148440000001e-10], [4.00661911e-10, 7.366499999999999e-10, 9.407515599999998e-11], [3.4626911000000014e-11, 7.366499999999999e-10, 2.3166984400000003e-10]], 'species': [63, 63, 63, 63, 71, 71, 71, 71, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]}",7.3207,9.822,6.5149,90.0,90.0,90.0,468.4468184394597,0.0426942807865066,5.999544830370825,1.9319045543670654,0.07520254701375961
CeInS3,9,"{'m_def': 'nomad.datamodel.metainfo.system.Atoms', 'm_def_id': 'a173e6190ff167bcf2edc9717d0e7a451abfa436', 'atomic_numbers': [58, 58, 58, 58, 49, 49, 49, 49, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16], 'labels': ['Ce', 'Ce', 'Ce', 'Ce', 'In', 'In', 'In', 'In', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S'], 'lattice_vectors': [[7.420200000000001e-10, 0.0, 0.0], [0.0, 9.902e-10, 0.0], [0.0, 0.0, 6.664100000000001e-10]], 'periodic': [True, True, True], 'positions': [[6.68114808e-10, 7.426499999999999e-10, 2.3990760000000024e-11], [2.97104808e-10, 7.426499999999999e-10, 3.0921424e-10], [4.4491519200000007e-10, 2.4755e-10, 3.5719576000000005e-10], [7.3905192e-11, 2.4755e-10, 6.4241924e-10], [0.0, 4.951e-10, 3.3320500000000004e-10], [0.0, 0.0, 3.3320500000000004e-10], [3.7101000000000005e-10, 0.0, 0.0], [3.7101000000000005e-10, 4.951e-10, 0.0], [6.03781674e-10, 6.149142000000004e-11, 5.48255507e-10], [6.03781674e-10, 4.3360857999999995e-10, 5.48255507e-10], [2.32771674e-10, 4.3360857999999995e-10, 4.51359493e-10], [5.092483260000001e-10, 9.287085799999999e-10, 2.15050507e-10], [1.38238326e-10, 5.565914200000001e-10, 1.18154493e-10], [5.092483260000001e-10, 5.565914200000001e-10, 2.15050507e-10], [2.32771674e-10, 6.149142000000004e-11, 4.51359493e-10], [1.38238326e-10, 9.287085799999999e-10, 1.18154493e-10], [7.14342654e-10, 2.4755e-10, 2.428398039999999e-10], [3.4333265400000004e-10, 2.4755e-10, 9.036519600000012e-11], [3.98687346e-10, 7.426499999999999e-10, 5.76044804e-10], [2.7677346000000004e-11, 7.426499999999999e-10, 4.235701960000001e-10]], 'species': [58, 58, 58, 58, 49, 49, 49, 49, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16]}",7.420200000000002,9.902,6.6641,90.0,90.0,90.0,489.6435506276401,0.0408460398883297,4.763166364457754,1.8827171325683594,0.10416174679994583
