material,HHI,SR,AR,Warning
BaSnS3,0.43861920208501176,0.25138237769246713,0.9994325379609544,
BaPrS3,0.782737734342092,0.44483549910687553,0.9994329718004339,
BaCeS3,0.782737734342092,0.44483549910687553,0.9993915401301519,
BaHfS3,0.4848783618667468,0.2538826841975744,0.9994374548083876,
BaZrS3,0.4848783618667468,0.2538826841975744,0.9993203181489515,
BaUS3,0.29528785074421093,0.16785225173924914,0.9994396240057846,"Warning: Not all elements found in HHI data for the compound BaUS3, the elements found are: ['Ba' 'S']"
BaUSe3,0.500880822848284,0.2811625161605636,0.9996926608821403,"Warning: Not all elements found in HHI data for the compound BaUSe3, the elements found are: ['Ba' 'Se']"
EuSnS3,0.7317016217087726,0.4158790880700836,0.9997383947939262,
PrEuS3,1.075820153965853,0.609332209484492,0.9997388286334057,
PrEuSe3,1.2814131260699257,0.7226424739058064,0.9999918655097614,
CeEuS3,1.075820153965853,0.609332209484492,0.9996973969631237,
CeEuSe3,1.2814131260699257,0.7226424739058064,0.9999504338394795,
YbEuS3,1.075820153965853,0.609332209484492,0.9997431670281997,
YbEuSe3,1.2814131260699257,0.7226424739058064,0.9999962039045553,
EuYS3,1.075820153965853,0.609332209484492,0.9997216196673898,
EuYSe3,1.2814131260699257,0.7226424739058064,0.9999746565437455,
EuDyS3,1.075820153965853,0.609332209484492,0.9997417208966016,
EuDySe3,1.2814131260699257,0.7226424739058064,0.9999947577729573,
EuTmS3,1.075820153965853,0.609332209484492,0.9997451048445408,
EuTmSe3,1.2814131260699257,0.7226424739058064,0.9999981417208965,
EuLuS3,1.075820153965853,0.609332209484492,0.9997449023861171,
EuLuSe3,1.2814131260699257,0.7226424739058064,0.9999979392624728,
EuScS3,0.5883702703679718,0.33234896211686565,0.9997295733911785,"Warning: Not all elements found in HHI data for the compound EuScS3, the elements found are: [list(['La', 'Ce', 'Pr', 'Nd', 'Pm', 'Sm', 'Eu', 'Gd', 'Tb', 'Dy', 'Ho', 'Er', 'Tm', 'Yb', 'Lu', 'Y'])
 'S']"
EuTlS3,0.5883702703679718,0.33234896211686565,0.9997448662328271,"Warning: Not all elements found in HHI data for the compound EuTlS3, the elements found are: [list(['La', 'Ce', 'Pr', 'Nd', 'Pm', 'Sm', 'Eu', 'Gd', 'Tb', 'Dy', 'Ho', 'Er', 'Tm', 'Yb', 'Lu', 'Y'])
 'S']"
EuHfS3,0.7779607814905077,0.41837939457519097,0.9997433116413593,
EuZrS3,0.7779607814905077,0.41837939457519097,0.9996261749819233,
TbEuS3,1.075820153965853,0.609332209484492,0.9997446131597975,
TbEuSe3,1.2814131260699257,0.7226424739058064,0.9999976500361533,
EuUS3,0.5883702703679718,0.33234896211686565,0.9997454808387563,"Warning: Not all elements found in HHI data for the compound EuUS3, the elements found are: [list(['La', 'Ce', 'Pr', 'Nd', 'Pm', 'Sm', 'Eu', 'Gd', 'Tb', 'Dy', 'Ho', 'Er', 'Tm', 'Yb', 'Lu', 'Y'])
 'S']"
EuUSe3,0.7939632424720449,0.4456592265381801,0.999998517715112,"Warning: Not all elements found in HHI data for the compound EuUSe3, the elements found are: [list(['La', 'Ce', 'Pr', 'Nd', 'Pm', 'Sm', 'Eu', 'Gd', 'Tb', 'Dy', 'Ho', 'Er', 'Tm', 'Yb', 'Lu', 'Y'])
 'Se']"
EuInS3,1.0825497970749989,0.6087307852109838,0.9997453000723066,
EuInSe3,1.288142769179072,0.7220410496322982,0.9999983369486624,
SnPbS3,0.48437804133288054,0.2736431139869498,0.9997297180043384,
