Unnamed: 0,A,B,X,nA,nB,nX,chi_A,chi_B,chi_X,chi_diff,rX,rA,rB,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,chi_AX_ratio,chi_BX_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,t_sisso,t,tau,t_jess
BaSnS3,Ba,Sn,S,2.0,4.0,-2.0,0.89,1.96,2.58,0.9780000000000002,184.4,173.0,86.0,-1.69,-0.6200000000000001,-2.55,-1.48,2.011627906976744,0.4663774403470715,0.938177874186551,0.6627450980392157,0.4189189189189189,-3.22934977,-3.6934392700000016,-7.00838179000003,-2.0224315294266337,-3.693439396789498,0.8145175879610062,0.1815487042226235,-1.0130803347838755,-2.847077729734469,5.363406047114364,6.875250052003975,11.769320157021456,219.67,106.59,74.72999999999999,266.14000000000004,135.54,84.92999999999999,131.01,46.940000000000005,273.21,0.4510525926125606,0.9346176042668186,3.900375522639835,1.4785993369969428
BaPrS3,Ba,Pr,S,2.0,4.0,-2.0,0.89,1.13,2.58,1.144,184.4,173.0,84.98,-1.69,-1.4500000000000002,-2.55,-2.31,2.035773123087785,0.4608459869848156,0.938177874186551,0.6627450980392157,0.6277056277056278,-3.22934977,-2.320982129999998,-7.00838179000003,-2.0224315294266337,-2.320982209675374,0.8145175879610062,0.1815487042226235,0.1152585549847216,-2.847077729734469,5.363406047114364,5.700078313684422,11.769320157021456,219.67,201.97,74.72999999999999,266.14000000000004,271.35,84.92999999999999,131.01,117.98,273.21,0.4649109482276926,0.9381565082550588,3.897430640771342,0.9905258127320956
BaCeS3,Ba,Ce,S,2.0,4.0,-2.0,0.89,1.12,2.58,1.146,184.4,173.0,86.8,-1.69,-1.46,-2.55,-2.32,1.9930875576036864,0.4707158351409978,0.938177874186551,0.6627450980392157,0.6293103448275862,-3.22934977,-2.5303330600000007,-7.00838179000003,-2.0224315294266337,-2.5303331468620374,0.8145175879610062,0.1815487042226235,0.0869328039854952,-2.847077729734469,5.363406047114364,5.700526061695872,11.769320157021456,219.67,204.28,74.72999999999999,266.14000000000004,257.54,84.92999999999999,131.01,118.68,273.21,0.4403160172639592,0.9318606201834356,3.904128135666628,0.9813696265418248
BaHfS3,Ba,Hf,S,2.0,4.0,-2.0,0.89,1.3,2.58,1.11,184.4,173.0,85.0,-1.69,-1.28,-2.55,-2.14,2.0352941176470587,0.4609544468546637,0.938177874186551,0.6627450980392157,0.5981308411214954,-3.22934977,-2.693665829999998,-7.00838179000003,-2.0224315294266337,-2.693665922468976,0.8145175879610062,0.1815487042226235,0.1845735353332302,-2.847077729734469,5.363406047114364,6.50368793830198,11.769320157021456,219.67,153.65,74.72999999999999,266.14000000000004,213.77,84.92999999999999,131.01,89.50999999999999,273.21,0.4646373750969095,0.9380868604073784,3.89746858555493,1.0394255328888862
BaZrS3,Ba,Zr,S,2.0,4.0,-2.0,0.89,1.33,2.58,1.104,184.4,173.0,85.0,-1.69,-1.25,-2.55,-2.11,2.0352941176470587,0.4609544468546637,0.938177874186551,0.6627450980392157,0.5924170616113744,-3.22934977,-3.6022224400000007,-7.00838179000003,-2.0224315294266337,-3.602222563658176,0.8145175879610062,0.1815487042226235,-0.2714066713124998,-2.847077729734469,5.363406047114364,7.139550537079975,11.769320157021456,219.67,166.94,74.72999999999999,266.14000000000004,222.0,84.92999999999999,131.01,84.44,273.21,0.4646373750969095,0.9380868604073784,3.89746858555493,1.0494506464397395
BaUS3,Ba,U,S,2.0,4.0,-2.0,0.89,1.38,2.58,1.094,184.4,173.0,99.0,-1.69,-1.2000000000000002,-2.55,-2.06,1.7474747474747474,0.5368763557483731,0.938177874186551,0.6627450980392157,0.5825242718446603,-3.22934977,-1.9952727799999996,-7.00838179000003,-2.0224315294266337,-1.9952728484943232,0.8145175879610062,0.1815487042226235,0.546861732757815,-2.847077729734469,5.363406047114364,5.590257855882314,11.769320157021456,219.67,187.98,74.72999999999999,266.14000000000004,241.76,84.92999999999999,131.01,131.23,273.21,0.2900870264664755,0.8917452370986159,4.124049436127885,1.0145496302075558
BaUSe3,Ba,U,Se,2.0,4.0,-2.0,0.89,1.38,2.55,1.076,198.14,173.0,99.0,-1.6599999999999997,-1.17,-2.55,-2.06,1.7474747474747474,0.4996467144443323,0.8731200161501969,0.6509803921568627,0.5679611650485437,-3.22934977,-1.9952727799999996,-6.510488250000024,-2.0224315294266337,-1.9952728484943232,-0.2111875472497096,0.1815487042226235,0.546861732757815,-2.730814399751447,5.363406047114364,5.590257855882314,10.84576444731508,219.67,187.98,79.97,266.14000000000004,241.76,95.78,131.01,131.23,23.97,0.3972923705503985,0.8832074841516313,4.262837314915764,1.0123064564454225
EuSnS3,Eu,Sn,S,2.0,4.0,-2.0,1.2,1.96,2.58,0.916,184.4,164.0,86.0,-1.38,-0.6200000000000001,-2.24,-1.48,1.9069767441860463,0.4663774403470715,0.8893709327548807,0.6160714285714286,0.4189189189189189,-2.76744646,-3.6934392700000016,-7.00838179000003,-2.7674465550017397,-3.693439396789498,0.8145175879610062,0.4802925635161391,-1.0130803347838755,-2.847077729734469,6.002313428086848,6.875250052003975,11.769320157021456,31.35,106.59,74.72999999999999,267.74,135.54,84.92999999999999,114.02,46.940000000000005,273.21,0.4691968237867223,0.9110821861403458,4.052536863460928,1.339857615908009
PrEuS3,Eu,Pr,S,3.0,3.0,-2.0,1.2,1.13,2.58,1.082,184.4,164.0,99.3,-1.38,-1.4500000000000002,-2.24,-2.31,1.651560926485398,0.5385032537960954,0.8893709327548807,0.6160714285714286,0.6277056277056278,-2.76744646,-2.320982129999998,-7.00838179000003,-2.7674465550017397,-2.320982209675374,0.8145175879610062,0.4802925635161391,0.1152585549847216,-2.847077729734469,6.002313428086848,5.700078313684422,11.769320157021456,31.35,201.97,74.72999999999999,267.74,271.35,84.92999999999999,114.02,117.98,273.21,0.3819226797588524,0.8683701908084227,2.732376331902298,0.8522753984787836
PrEuSe3,Eu,Pr,Se,3.0,3.0,-2.0,1.2,1.13,2.55,1.0639999999999998,198.14,164.0,99.3,-1.35,-1.42,-2.24,-2.31,1.651560926485398,0.5011607953971939,0.8276975875643485,0.6026785714285713,0.6147186147186147,-2.76744646,-2.320982129999998,-6.510488250000024,-2.7674465550017397,-2.320982209675374,-0.2111875472497096,0.4802925635161391,0.1152585549847216,-2.730814399751447,6.002313428086848,5.700078313684422,10.84576444731508,31.35,201.97,79.97,267.74,271.35,95.78,114.02,117.98,23.97,0.4086891024531783,0.8609208404364493,2.8707449119627206,0.8440586144683937
CeEuS3,Eu,Ce,S,3.0,3.0,-2.0,1.2,1.12,2.58,1.084,184.4,164.0,101.03,-1.38,-1.46,-2.24,-2.32,1.623280213797882,0.547885032537961,0.8893709327548807,0.6160714285714286,0.6293103448275862,-2.76744646,-2.5303330600000007,-7.00838179000003,-2.7674465550017397,-2.5303331468620374,0.8145175879610062,0.4802925635161391,0.0869328039854952,-2.847077729734469,6.002313428086848,5.700526061695872,11.769320157021456,31.35,204.28,74.72999999999999,267.74,257.54,84.92999999999999,114.02,118.68,273.21,0.4163832698635672,0.863106972400762,2.877530797332936,0.8449496339402763
CeEuSe3,Eu,Ce,Se,3.0,3.0,-2.0,1.2,1.12,2.55,1.0659999999999998,198.14,164.0,101.03,-1.35,-1.4299999999999995,-2.24,-2.32,1.623280213797882,0.5098919955586959,0.8276975875643485,0.6026785714285713,0.6163793103448275,-2.76744646,-2.5303330600000007,-6.510488250000024,-2.7674465550017397,-2.5303331468620374,-0.2111875472497096,0.4802925635161391,0.0869328039854952,-2.730814399751447,6.002313428086848,5.700526061695872,10.84576444731508,31.35,204.28,79.97,267.74,257.54,95.78,114.02,118.68,23.97,0.4408204537806806,0.8559424233025288,3.0135300054889287,0.8369167300772727
YbEuS3,Eu,Yb,S,3.0,3.0,-2.0,1.2,1.1,2.58,1.088,184.4,164.0,102.0,-1.38,-1.48,-2.24,-2.34,1.607843137254902,0.5531453362255965,0.8893709327548807,0.6160714285714286,0.6324786324786326,-2.76744646,-3.076992080000003,-7.00838179000003,-2.7674465550017397,-1.0944533775707237,0.8145175879610062,0.4802925635161391,0.4767999173605045,-2.847077729734469,6.002313428086848,6.531525574217345,11.769320157021456,31.35,173.83,74.72999999999999,267.74,248.9,84.92999999999999,114.02,112.51,273.21,0.4356426693288764,0.860183739987254,2.964916772447276,0.8378696106318896
YbEuSe3,Eu,Yb,Se,3.0,3.0,-2.0,1.2,1.1,2.55,1.07,198.14,164.0,102.0,-1.35,-1.4499999999999995,-2.24,-2.34,1.607843137254902,0.5147875239729485,0.8276975875643485,0.6026785714285713,0.6196581196581196,-2.76744646,-3.076992080000003,-6.510488250000024,-2.7674465550017397,-1.0944533775707237,-0.2111875472497096,0.4802925635161391,0.4767999173605045,-2.730814399751447,6.002313428086848,6.531525574217345,10.84576444731508,31.35,173.83,79.97,267.74,248.9,95.78,114.02,112.51,23.97,0.4593908616824042,0.8531761670534334,3.0996226548002164,0.8297978792246908
EuGdS3,Eu,Gd,S,3.0,3.0,-2.0,1.2,1.2,2.58,1.068,184.4,164.0,104.0,-1.38,-1.38,-2.24,-2.24,1.5769230769230769,0.5639913232104121,0.8893709327548807,0.6160714285714286,0.6160714285714286,-2.76744646,-2.8746633999999998,-7.00838179000003,-2.7674465550017397,-1.3761398572405408,0.8145175879610062,0.4802925635161391,1.325343534503421,-2.847077729734469,6.002313428086848,6.0569064659121885,11.769320157021456,31.35,30.32,74.72999999999999,267.74,202.1,84.92999999999999,114.02,111.28,273.21,0.4752213359199099,0.8542185268111981,3.159516880564832,0.854218526811198
