composition,num_formula_units_per_cell,space_group
BaPbS3,4,
BaPbSe3,4,
BaSnS3,4,
BaSnSe3,4,
BaPrS3,4,
BaPrSe3,4,
BaCeS3,4,
BaCeSe3,4,
BaTiS3,4,
BaTaS3,4,
BaTaSe3,4,
BaNbS3,4,
BaNbSe3,4,
BaHfS3,4,
BaHfSe3,4,
BaZrS3,4,
BaZrSe3,4,
BaTbS3,4,
BaTbSe3,4,
BaUS3,4,
EuPbS3,4,
EuSnS3,4,
EuCuS3,4,
EuCuSe3,4,
PrEuS3,4,
PrEuSe3,4,
CeEuS3,4,
CeEuSe3,4,
YbEuS3,4,
YbEuSe3,4,
EuGdS3,4,
EuGdSe3,4,
EuYS3,4,
EuYSe3,4,
EuDyS3,4,
EuDySe3,4,
EuHoS3,4,
EuHoSe3,4,
EuErS3,4,
EuErSe3,4,
EuTmS3,4,
EuTmSe3,4,
EuLuS3,4,
EuLuSe3,4,
EuScS3,4,
EuScSe3,4,
EuTlS3,4,
EuTlSe3,4,
EuRhS3,4,
EuRhSe3,4,
EuTiS3,4,
EuMoS3,4,
EuMoSe3,4,
EuTaS3,4,
EuNbS3,4,
EuHfS3,4,
EuZrS3,4,
TbEuS3,4,
TbEuSe3,4,
EuNiS3,4,
EuNiSe3,4,
EuCoS3,4,
EuCoSe3,4,
EuGaS3,4,
EuGaSe3,4,
EuAlS3,4,
EuAlSe3,4,
EuFeS3,4,
EuFeSe3,4,
EuCrS3,4,
EuCrSe3,4,
EuInS3,4,
EuInSe3,4,
EuMnS3,4,
EuMnSe3,4,
SrSnS3,4,
SrSnSe3,4,
SrPrS3,4,
SrPrSe3,4,
SrCeS3,4,
SrCeSe3,4,
SrTiS3,4,
SrTaS3,4,
SrTaSe3,4,
SrNbS3,4,
SrNbSe3,4,
SrHfS3,4,
SrHfSe3,4,
SrZrS3,4,
SrZrSe3,4,
SrTbS3,4,
SrTbSe3,4,
CaTiS3,4,
CaTaS3,4,
CaNbS3,4,
CaTbS3,4,
LaSnS3,4,
LaSnSe3,4,
PrSnS3,4,
PrSnSe3,4,
CeSnS3,4,
CeSnSe3,4,
NdSnS3,4,
NdSnSe3,4,
GdSnS3,4,
GdSnSe3,4,
YSnS3,4,
YSnSe3,4,
DySnS3,4,
DySnSe3,4,
HoSnS3,4,
HoSnSe3,4,
ErSnS3,4,
ErSnSe3,4,
TmSnS3,4,
TmSnSe3,4,
LuSnS3,4,
LuSnSe3,4,
TlSnS3,4,
TlSnSe3,4,
SnBiS3,4,
SnBiSe3,4,
USnS3,4,
USnSe3,4,
InSnS3,4,
InSnSe3,4,
TiCdS3,4,
