,atomic_number,atomic_element_symbol,atomic_method,atomic_basis_set,atomic_homo,atomic_lumo,atomic_homo_lumo_diff,atomic_ea_by_energy_difference,atomic_ip_by_energy_difference,atomic_ea_by_half_charged_homo,atomic_ip_by_half_charged_homo,atomic_rs_max,atomic_rs_max_orbital_index,atomic_rp_max,atomic_rp_max_orbital_index,atomic_rd_max,atomic_rd_max_orbital_index,atomic_rf_max,atomic_rf_max_orbital_index
0,1,H,pbe,NAO/full_tier,-1.04024960036487E-18,-1.04024963607487E-18,-3.57100017683352E-26,-2.8965541003538E-19,0,-2.44290710545567E-19,2.03178163932803E-18,5.433E-11,1,1.3812E-10,3,1.058E-10,7,0,0
1,2,He,pbe,NAO/full_tier,-2.52567803443611E-18,2.5029169992584E-19,2.77596973436195E-18,4.96292926915323E-19,4.32350720607285E-18,4.82176668783033E-19,4.28576919734262E-18,2.964E-11,1,1.0292E-10,3,6.615E-11,10,0,0
2,3,Li,pbe,NAO/full_tier,-4.60488121050977E-19,-1.63543426582087E-19,2.9694469446889E-19,-1.21142799981961E-19,8.48734086823154E-19,-1.0852045651154E-19,8.59038282118036E-19,1.6576E-10,2,2.0134E-10,3,6.7419E-10,14,9.9999E-10,7
3,4,Be,pbe,NAO/full_tier,-8.98767625183087E-19,-3.22642718031675E-19,5.76124907151412E-19,1.03920565618713E-19,1.53067874396124E-18,1.17782360773028E-19,1.52216856751157E-18,1.0805E-10,2,1.204E-10,3,2.8974E-10,7,0,0
4,5,B,pbe,NAO/full_tier,-5.77870866106248E-19,-5.77870885943574E-19,-1.98373253314074E-26,-4.6742828372151E-20,1.31715623851334E-18,-1.71366231770842E-20,1.2959309139545E-18,8.025E-11,2,8.348E-11,3,2.1383E-10,10,0,0
5,6,C,pbe,NAO/full_tier,-8.46817796677241E-19,-8.46817825747058E-19,-2.90698166172633E-26,-1.61587535987741E-19,1.74024621970561E-18,-1.34012860145258E-19,1.7176074148782E-18,6.418E-11,2,6.367E-11,3,1.8186E-10,11,0,0
6,7,N,pbe,NAO/full_tier,-1.13590657004396E-18,-1.1359066090377E-18,-3.89937431383946E-26,-3.17864073254649E-19,2.17763370622164E-18,-2.85675946817968E-19,2.15393217764218E-18,5.361E-11,2,5.154E-11,3,1.7042E-10,10,0,0
7,8,O,pbe,NAO/full_tier,-1.44684326231947E-18,-1.10108498729398E-20,1.43583241244653E-18,-4.93278711184632E-19,2.63259501674929E-18,-4.58652526309572E-19,2.60794793912423E-18,4.608E-11,2,4.333E-11,3,2.3652E-10,11,0,0
8,9,F,pbe,NAO/full_tier,-1.78024514406896E-18,1.82116465186066E-19,1.96236160925503E-18,-6.94752061140591E-19,3.10687606430009E-18,-6.57567225357518E-19,3.08134296249632E-18,4.044E-11,2,3.74E-11,3,1.4319E-10,10,0,0
9,10,Ne,pbe,NAO/full_tier,-2.13631296961822E-18,3.07144786681937E-19,2.44345775630015E-18,4.75435673115137E-19,3.60313196571487E-18,4.64575992771909E-19,3.57599571493005E-18,3.604E-11,2,3.292E-11,3,2.3975E-10,10,0,0
10,11,Na,pbe,NAO/full_tier,-4.39722360259486E-19,-4.39722375354408E-19,-1.50949216956206E-26,-1.21288245094853E-19,8.24742225094629E-19,-1.09123402036768E-19,8.23125395447962E-19,1.7588E-10,6,2.6021E-10,7,8.4568E-10,11,0,0
