reduced_formulas,descriptive_formulas,bandgap
Mo1S2,MoS2,1.69
Zn1S1,ZnS,3.6
Ni1Se2,NiSe2,2.0
Ni3Se2,Ni3Se2,2.0
Cd1S1,CdS,2.5
Cd1S1,CdS,2.5
Mo1S2,MoS2,1.23
Cd1S1,CdS,2.5
Cd1S1,CdS,2.3
Cd1S1,CdS,2.4
Cd1S1,CdS,2.24
Cd1S1,CdS,2.42
Pb1S1,PbS,0.41
Pb1S1,PbS,0.41
S1,S,2.3
Cd1S1,CdS,2.4
Fe1S2,FeS2,0.95
Bi4S6,Bi4S6,1.5
Fe1Se2,FeSe2,1.0
Zn1Se1,ZnSe,2.7
Zn1Se1,ZnSe,2.7
Cu2S1,Cu2S,1.2
Zn1S1,ZnS,3.7
Cd1S1,CdS,2.4
Cd1S1,CdS,2.5
C16H18Cl1N3S1,C16H18ClN3S,2.62
Cu1In1S2,CuInS2,1.95
In2S3,In2S3,1.96
In2S3,In2S3,2.15
In2S3,In2S3,1.96
In2S3,In2S3,1.96
Sn1S2,SnS2,2.2
Sn1S2,SnS2,2.475
Zn1Se1,ZnSe,2.7
Cd1Se1,CdSe,2.0
Cd1S1,CdS,2.42
Cd1S1,CdS,2.42
Cd1S1,CdS,2.4
Cd1S1,CdS,2.42
Cd1S1,CdS,2.25
Cd1S1,CdS,2.4
Zn1S1,ZnS,3.6
Cd1S1,CdS,2.33
Cd1S1N1,CdSN,2.09
Pt1Cd1S1,PtCdS,2.37
Cd1S1,CdS,2.4
Cd1S1,CdS,2.37
Cd1S1,CdS,2.4
Cu3S4,Cu3S4,2.0
Bi2S3,Bi2S3,1.3
Bi2S3,Bi2S3,1.3
Bi2S3,Bi2S3,1.3
Se1,Se,1.85
Zn1S1,ZnS,3.65
Cd0.5Zn0.5S1,Cd0.5Zn0.5S,2.39
Cd0.5Zn0.5S1,Cd0.5Zn0.5S,2.39
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Zn1S1,ZnS,3.7
Sn1S2,SnS2,2.2
Sn1S2,SnS2,2.39
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Cd1S1,CdS,2.26
Bi2S3,Bi2S3,1.45
Bi2S3,Bi2S3,1.45
Bi2S3,Bi2S3,1.76
Cd1S1,CdS,2.38
Cd1S1,CdS,2.4
Mo1S2,MoS2,1.8
Cd1S1,CdS,2.79
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Cu1Ga1S2,CuGaS2,2.49
Bi4S6,Bi4S6,1.3
Bi2S3,Bi2S3,1.3
Mo1S2,MoS2,1.8
Ag2In5S8,Ag2In5S8,1.53
S4Sn1,S4Sn,2.31
Cd1S1,CdS,2.4
Mn0.5Cd0.5S1,Mn0.5Cd0.5S,2.54
Cu1In1S2,CuInS2,1.53
Cd1S1,CdS,2.43
Cd1S1,CdS,2.3
Cu1S1,CuS,1.75
Zn1S1,ZnS,2.43
Mo1S2,MoS2,1.25
Cd1S1,CdS,1.38
Cd1In2S4,CdIn2S4,1.06
Cd1In2S4,CdIn2S4,2.27
Zn1S3Mo1,ZnS3Mo,3.515
Zn1S1,ZnS,3.6
Zn1S1,ZnS,3.6
Zn1S3Mo1,ZnS3Mo,3.56
Cd1S1,CdS,2.4
Cd1S1,CdS,2.4
Cd1S1,CdS,2.21
Zn1Se1,ZnSe,2.7
Zn1In2S4,ZnIn2S4,2.455
Zn1In2S4,ZnIn2S4,2.455
Zn1In2S4,ZnIn2S4,1.36
Zn1In2S4,ZnIn2S4,2.5
Zn1In2S4,ZnIn2S4,2.815
Zn1In2S4,ZnIn2S4,2.455
Pd1Zn1In2S4,PdZnIn2S4,2.2
In4S6,In4S6,2.15
In2S3,In2S3,2.14
Cu1In1S2,CuInS2,1.53
Mo1S2,MoS2,1.2000000000000002
Cu1S1,CuS,2.15
In2Se3,In2Se3,1.55
Zn1In2S4,ZnIn2S4,2.05
Co9S8,Co9S8,2.5149999999999997
Co9S8,Co9S8,3.0
Cd1S1,CdS,2.4
Cu1In1S2,CuInS2,1.53
Zn1S1,ZnS,3.43
Cu1S2Zn1,CuS2Zn,2.6
Cd1S1,CdS,2.4
Cd1S1,CdS,2.26
Cd1S1,CdS,2.26
Mg1In2S4,MgIn2S4,2.0
Mo1S2,MoS2,1.59
Mo1Se2,MoSe2,1.32
Mo1S2,MoS2,2.2
Mn1I1S1,MnIS,1.89
