reduced_formulas,descriptive_formulas,bandgap
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,
CH6I3NPb,MAPbI3,1.500000159946712
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.500000159946712
CH5I3N2Pb,FAPbI3,1.4800001578140891
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.5500001652782691
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
Br9C20H103I51N37Pb20,FA0.85MA0.15PbBr0.45I2.55,1.5500001652782691
Br48C92Cs5H476I252N168Pb100,Cs0.05FA0.76MA0.16PbBr0.48I2.52,
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
Br51C100H517I249N183Pb100,FA0.83MA0.17PbBr0.51I2.49,
Br43C95Cs5H489I257N176Pb100,Cs0.05FA0.81MA0.14PbBr0.43I2.57,
CH6I3NPb,MAPbI3,1.500000159946712
CH6I3NPb,MAPbI3,1.5800001684772036
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.5800001684772036
Br680C1900Cs100H9823I5320N3477Pb2000,Cs0.05FA0.7885MA0.1615PbBr0.34I2.66,
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
Br51C92Cs8H475I249N169Pb100,Cs0.08FA0.77MA0.15PbBr0.51I2.49,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
Br36C20H120I24N20Pb15Sn5,MAPb0.75Sn0.25Br1.8I1.2,1.7300001844718749
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH5I3N2Sn,FASnI3,
Br51C95Cs5H491I249N174Pb100,Cs0.05FA0.79MA0.16PbBr0.51I2.49,
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
Br51C95Cs5H491I249N174Pb100,Cs0.05FA0.79MA0.16PbBr0.51I2.49,
CH6I3NPb,MAPbI3,1.6000001706098266
Br180C380Cs20H1957I1020N703Pb400,Cs0.05FA0.8075MA0.1425PbBr0.45I2.55,1.6000001706098266
CH6I3NPb,MAPbI3,1.6100001716761378
CH6I3NPb,MAPbI3,1.6000001706098266
BiC4H12KNO6Te,KBABiTeO6,1.9400002068644142
CH6I3NPb,MAPbI3,1.500000159946712
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
C4CsH20I15N8Pb5,Cs0.2FA0.8PbI3,
Br50C95Cs5H491I250N174Pb100,Cs0.05FA0.79MA0.16PbBr0.5I2.5,1.5580001661313185
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.500000159946712
CH6I3NPb,MAPbI3,1.6000001706098266
Br51C95Cs5H491I249N174Pb100,Cs0.05FA0.79MA0.16PbBr0.51I2.49,
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.5100001610130236
C10H60I30N10Pb9Sb,MAPb0.9Sb0.1I3,
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.500000159946712
Bi2C3H18I9N3,MA3Bi2I9,
CH6I3NPb,MAPbI3,1.5500001652782691
CH6I3NPb,MAPbI3,1.500000159946712
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
Br51C92Cs8H475I249N169Pb100,Cs0.08FA0.77MA0.15PbBr0.51I2.49,1.6000001706098266
CH6I3NPb,MAPbI3,1.5500001652782691
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
C2H8I3NPb,(DMA)PbI3,
Ag2Bi3I11,Ag2Bi3I11,1.9200002047317914
CsI3Pb,CsPbI3,
BrCsI2Pb,CsPbBrI2,1.9100002036654802
CH6I3NPb,MAPbI3,1.6000001706098266
BrCsI2Pb,CsPbBrI2,1.9200002047317914
CH6I3NPb,MAPbI3,1.5600001663445808
CH6I3NPb,MAPbI3,
CH6I3NPb,MAPbI3,1.5900001695435149
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
C11H42I13N5Pb4,BA2MA3Pb4I13,
Br9C20H103I51N37Pb20,FA0.85MA0.15PbBr0.45I2.55,1.6200001727424493
CH6I3NPb,MAPbI3,1.6000001706098266
CsI3Sn,CsSnI3,
Br969C1900Cs100H9823I5031N3477Pb2000,Cs0.05FA0.7885MA0.1615PbBr0.4845I2.51555,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.5900001695435149
CH6I3NPb,MAPbI3,1.6000001706098266
BrC10H51I29N19Pb10,FA0.9MA0.1PbBr0.1I2.9,1.6800001791403176
C6H18I6S2Sn,((CH3)3S)2SnI6,
Br300Cs100Pb99Zn,CsPb0.99Zn0.01Br3,
BrCsI2Pb,CsPbBrI2,
CH6I3NPb,MAPbI3,1.5300001631456466
CH6I3NPb,MAPbI3,1.570000167410892
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
Br9C20H103I51N37Pb20,FA0.85MA0.15PbBr0.45I2.55,
CH6I3NPb,MAPbI3,1.6000001706098266
C10H60I30N10Pb9Sr,MAPb0.9Sr0.1I3,
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.5900001695435149
Br66C175Cs25H900I534N325Pb200,Cs0.125FA0.75MA0.125PbBr0.33I2.67,
CH6I3NPb,MAPbI3,1.5500001652782691
Br45C95Cs5H489I255N176Pb100,Cs0.05FA0.81MA0.14PbBr0.45I2.55,1.6300001738087604
Br30C95Cs5H491I270N174Pb100,Cs0.05FA0.79MA0.16PbBr0.3I2.7,
Br51C95Cs5H491I249N174Pb100,Cs0.05FA0.79MA0.16PbBr0.51I2.49,
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.500000159946712
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,
Br9C20H103I51N37Pb20,FA0.85MA0.15PbBr0.45I2.55,
CH6I3NPb,MAPbI3,1.5900001695435149
Ag20Bi20CsI60,Cs0.15Ag3Bi3I9,1.8600001983339234
CH6I3NPb,MAPbI3,1.6000001706098266
Br51C100H517I249N183Pb100,FA0.83MA0.17PbBr0.51I2.49,
Br9C20H103I51N37Pb20,FA0.85MA0.15PbBr0.45I2.55,
Br3CH5IN2Pb,FAPbBr3I,1.6000001706098266
C10H60I30MnN10Pb9,MAMn0.1Pb0.9I3,
Br5C20CsH105I15N35Pb20Rb,Cs0.05FA0.75MA0.25Rb0.05PbBr0.25I0.75,1.6800001791403176
CH6I3NPb,MAPbI3,1.6000001706098266
Br9C20H103I51N37Pb20,FA0.85MA0.15PbBr0.45I2.55,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
CH6I3NPb,MAPbI3,1.6000001706098266
