,material,exp_label,elements,A,B,X,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO
0,TbMnO3,1.0,"['Tb', 'Mn', 'O']",Tb,Mn,O,1.095,0.645,1.4,3,3,-2,1.1,1.55,3.44,1.697674418604651,0.46071428571428574,0.7821428571428571,-2.34,-1.89,-2.34,-1.89
1,PbZrS3,0.0,"['Pb', 'Zr', 'S']",Pb,Zr,S,1.49,0.72,1.84,2,4,-2,2.33,1.33,2.58,2.0694444444444446,0.3913043478260869,0.8097826086956521,-0.25,-1.25,-1.1099999999999999,-2.11
2,CsCdBr3,1.0,"['Cs', 'Cd', 'Br']",Cs,Cd,Br,1.88,0.95,1.96,1,2,-1,0.79,1.69,2.96,1.9789473684210526,0.4846938775510204,0.9591836734693877,-2.17,-1.27,-2.65,-1.75
3,RbMnF3,1.0,"['Rb', 'Mn', 'F']",Rb,Mn,F,1.72,0.83,1.33,1,2,-1,0.82,1.55,3.98,2.072289156626506,0.6240601503759398,1.2932330827067668,-3.16,-2.4299999999999997,-2.62,-1.89
4,LaYO3,1.0,"['La', 'Y', 'O']",La,Y,O,1.36,0.9,1.4,3,3,-2,1.1,1.22,3.44,1.511111111111111,0.6428571428571429,0.9714285714285715,-2.34,-2.2199999999999998,-2.34,-2.2199999999999998
5,BaVSe3,0.0,"['Ba', 'V', 'Se']",Ba,V,Se,1.61,0.58,1.98,2,4,-2,0.89,1.63,2.55,2.775862068965518,0.29292929292929293,0.8131313131313131,-1.6599999999999997,-0.9199999999999999,-2.55,-1.81
6,PbLiCl3,0.0,"['Pb', 'Li', 'Cl']",Pb,Li,Cl,1.49,0.76,1.81,2,1,-1,2.33,0.98,3.16,1.9605263157894737,0.4198895027624309,0.8232044198895028,-0.8300000000000001,-2.18,-1.1099999999999999,-2.46
7,CeFeO3,1.0,"['Ce', 'Fe', 'O']",Ce,Fe,O,1.14,0.78,1.4,4,2,-2,1.12,1.83,3.44,1.4615384615384615,0.5571428571428572,0.8142857142857143,-2.32,-1.6099999999999999,-2.32,-1.6099999999999999
8,SrCeO3,1.0,"['Sr', 'Ce', 'O']",Sr,Ce,O,1.44,0.87,1.4,2,4,-2,0.95,1.12,3.44,1.6551724137931034,0.6214285714285714,1.0285714285714287,-2.49,-2.32,-2.49,-2.32
9,NaClO3,0.0,"['Na', 'Cl', 'O']",Na,Cl,O,1.39,0.12,1.4,1,5,-2,0.93,3.16,3.44,11.583333333333332,0.08571428571428572,0.9928571428571429,-2.51,-0.2799999999999998,-2.51,-0.2799999999999998
10,LaCrO3,1.0,"['La', 'Cr', 'O']",La,Cr,O,1.36,0.615,1.4,3,3,-2,1.1,1.66,3.44,2.2113821138211383,0.43928571428571433,0.9714285714285715,-2.34,-1.78,-2.34,-1.78
11,NdYbSe3,0.0,"['Nd', 'Yb', 'Se']",Nd,Yb,Se,1.27,0.868,1.98,3,3,-2,1.14,1.1,2.55,1.4631336405529953,0.4383838383838384,0.6414141414141414,-1.41,-1.4499999999999997,-2.3,-2.34
12,PrCrO3,1.0,"['Pr', 'Cr', 'O']",Pr,Cr,O,1.179,0.615,1.4,3,3,-2,1.13,1.66,3.44,1.9170731707317075,0.43928571428571433,0.8421428571428572,-2.31,-1.78,-2.31,-1.78
13,CuGeO3,0.0,"['Cu', 'Ge', 'O']",Cu,Ge,O,0.73,0.53,1.4,2,4,-2,1.9,2.01,3.44,1.3773584905660377,0.3785714285714286,0.5214285714285715,-1.54,-1.4300000000000002,-1.54,-1.4300000000000002
14,SrVO3,1.0,"['Sr', 'V', 'O']",Sr,V,O,1.44,0.58,1.4,2,4,-2,0.95,1.63,3.44,2.4827586206896552,0.41428571428571426,1.0285714285714287,-2.49,-1.81,-2.49,-1.81
15,CsTiBr3,0.0,"['Cs', 'Ti', 'Br']",Cs,Ti,Br,1.88,0.86,1.96,1,2,-1,0.79,1.54,2.96,2.186046511627907,0.4387755102040816,0.9591836734693877,-2.17,-1.42,-2.65,-1.9
16,RbVF3,1.0,"['Rb', 'V', 'F']",Rb,V,F,1.72,0.79,1.33,1,2,-1,0.82,1.63,3.98,2.1772151898734178,0.5939849624060151,1.2932330827067668,-3.16,-2.35,-2.62,-1.81
17,GdAlO3,1.0,"['Gd', 'Al', 'O']",Gd,Al,O,1.107,0.535,1.4,3,3,-2,1.2,1.61,3.44,2.069158878504673,0.3821428571428572,0.7907142857142857,-2.24,-1.8299999999999998,-2.24,-1.8299999999999998
18,EuScO3,1.0,"['Eu', 'Sc', 'O']",Eu,Sc,O,1.12,0.745,1.4,3,3,-2,1.2,1.36,3.44,1.5033557046979866,0.5321428571428571,0.8000000000000002,-2.24,-2.08,-2.24,-2.08
19,AgCuF3,1.0,"['Ag', 'Cu', 'F']",Ag,Cu,F,1.28,0.73,1.33,1,2,-1,1.93,1.9,3.98,1.7534246575342467,0.5488721804511277,0.9624060150375939,-2.05,-2.08,-1.51,-1.54
20,CsFeCl3,0.0,"['Cs', 'Fe', 'Cl']",Cs,Fe,Cl,1.88,0.78,1.81,1,2,-1,0.79,1.83,3.16,2.41025641025641,0.430939226519337,1.0386740331491713,-2.37,-1.33,-2.65,-1.6099999999999999
21,MgVO3,0.0,"['Mg', 'V', 'O']",Mg,V,O,0.89,0.58,1.4,2,4,-2,1.31,1.63,3.44,1.5344827586206897,0.41428571428571426,0.6357142857142858,-2.13,-1.81,-2.13,-1.81
22,NaMgBr3,0.0,"['Na', 'Mg', 'Br']",Na,Mg,Br,1.39,0.72,1.96,1,2,-1,0.93,1.31,2.96,1.9305555555555556,0.3673469387755102,0.7091836734693877,-2.03,-1.65,-2.51,-2.13
23,BaCeO3,1.0,"['Ba', 'Ce', 'O']",Ba,Ce,O,1.61,0.87,1.4,2,4,-2,0.89,1.12,3.44,1.8505747126436782,0.6214285714285714,1.1500000000000001,-2.55,-2.32,-2.55,-2.32
24,AgNO3,0.0,"['Ag', 'N', 'O']",Ag,N,O,1.28,0.13,1.4,1,5,-2,1.93,3.04,3.44,9.846153846153847,0.09285714285714286,0.9142857142857144,-1.51,-0.3999999999999999,-1.51,-0.3999999999999999
25,RbCdF3,1.0,"['Rb', 'Cd', 'F']",Rb,Cd,F,1.72,0.95,1.33,1,2,-1,0.82,1.69,3.98,1.8105263157894738,0.7142857142857142,1.2932330827067668,-3.16,-2.29,-2.62,-1.75
26,CaRuO3,1.0,"['Ca', 'Ru', 'O']",Ca,Ru,O,1.34,0.62,1.4,2,4,-2,1.0,2.2,3.44,2.1612903225806455,0.4428571428571429,0.9571428571428573,-2.44,-1.2399999999999998,-2.44,-1.2399999999999998
27,GdTiO3,1.0,"['Gd', 'Ti', 'O']",Gd,Ti,O,1.107,0.67,1.4,3,3,-2,1.2,1.54,3.44,1.6522388059701492,0.47857142857142865,0.7907142857142857,-2.24,-1.9,-2.24,-1.9
28,TiMnO3,0.0,"['Ti', 'Mn', 'O']",Ti,Mn,O,0.67,0.645,1.4,3,3,-2,1.54,1.55,3.44,1.0387596899224807,0.46071428571428574,0.47857142857142865,-1.9,-1.89,-1.9,-1.89
29,CsIO3,1.0,"['Cs', 'I', 'O']",Cs,I,O,1.88,0.95,1.4,1,5,-2,0.79,2.66,3.44,1.9789473684210526,0.6785714285714286,1.342857142857143,-2.65,-0.7799999999999998,-2.65,-0.7799999999999998
30,KBaBr3,0.0,"['K', 'Ba', 'Br']",K,Ba,Br,1.64,1.35,1.96,1,2,-1,0.82,0.89,2.96,1.2148148148148146,0.6887755102040817,0.836734693877551,-2.14,-2.07,-2.62,-2.55
31,BaPuO3,1.0,"['Ba', 'Pu', 'O']",Ba,Pu,O,1.61,0.86,1.4,2,4,-2,0.89,1.28,3.44,1.8720930232558142,0.6142857142857143,1.1500000000000001,-2.55,-2.16,-2.55,-2.16
32,NdYbS3,0.0,"['Nd', 'Yb', 'S']",Nd,Yb,S,1.27,0.868,1.84,3,3,-2,1.14,1.1,2.58,1.4631336405529953,0.4717391304347826,0.6902173913043478,-1.4400000000000002,-1.48,-2.3,-2.34
33,NaBeCl3,0.0,"['Na', 'Be', 'Cl']",Na,Be,Cl,1.39,0.45,1.81,1,2,-1,0.93,1.57,3.16,3.0888888888888886,0.24861878453038674,0.7679558011049723,-2.23,-1.59,-2.51,-1.8699999999999999
34,NaCdI3,0.0,"['Na', 'Cd', 'I']",Na,Cd,I,1.39,0.95,2.2,1,2,-1,0.93,1.69,2.66,1.463157894736842,0.43181818181818177,0.6318181818181817,-1.73,-0.9700000000000002,-2.51,-1.75
35,BaMnO3,0.0,"['Ba', 'Mn', 'O']",Ba,Mn,O,1.61,0.53,1.4,2,4,-2,0.89,1.55,3.44,3.0377358490566038,0.3785714285714286,1.1500000000000001,-2.55,-1.89,-2.55,-1.89
36,KMgF3,1.0,"['K', 'Mg', 'F']",K,Mg,F,1.64,0.72,1.33,1,2,-1,0.82,1.31,3.98,2.2777777777777777,0.5413533834586466,1.2330827067669172,-3.16,-2.67,-2.62,-2.13
37,GdScS3,1.0,"['Gd', 'Sc', 'S']",Gd,Sc,S,1.107,0.745,1.84,3,3,-2,1.2,1.36,2.58,1.4859060402684563,0.40489130434782605,0.6016304347826087,-1.3800000000000001,-1.22,-2.24,-2.08
38,NdCoO3,1.0,"['Nd', 'Co', 'O']",Nd,Co,O,1.27,0.61,1.4,3,3,-2,1.14,1.88,3.44,2.081967213114754,0.4357142857142857,0.9071428571428573,-2.3,-1.56,-2.3,-1.56
39,SrZrSe3,0.0,"['Sr', 'Zr', 'Se']",Sr,Zr,Se,1.44,0.72,1.98,2,4,-2,0.95,1.33,2.55,2.0,0.36363636363636365,0.7272727272727273,-1.5999999999999999,-1.2199999999999998,-2.49,-2.11
40,NaNbO3,1.0,"['Na', 'Nb', 'O']",Na,Nb,O,1.39,0.64,1.4,1,5,-2,0.93,1.6,3.44,2.171875,0.4571428571428572,0.9928571428571429,-2.51,-1.8399999999999999,-2.51,-1.8399999999999999
41,NaMnCl3,0.0,"['Na', 'Mn', 'Cl']",Na,Mn,Cl,1.39,0.83,1.81,1,2,-1,0.93,1.55,3.16,1.6746987951807228,0.45856353591160215,0.7679558011049723,-2.23,-1.61,-2.51,-1.89
42,RbCuF3,1.0,"['Rb', 'Cu', 'F']",Rb,Cu,F,1.72,0.73,1.33,1,2,-1,0.82,1.9,3.98,2.356164383561644,0.5488721804511277,1.2932330827067668,-3.16,-2.08,-2.62,-1.54
43,NaCrCl3,0.0,"['Na', 'Cr', 'Cl']",Na,Cr,Cl,1.39,0.8,1.81,1,2,-1,0.93,1.66,3.16,1.7374999999999998,0.44198895027624313,0.7679558011049723,-2.23,-1.5000000000000002,-2.51,-1.78
44,YAlO3,1.0,"['Y', 'Al', 'O']",Y,Al,O,1.075,0.535,1.4,3,3,-2,1.22,1.61,3.44,2.009345794392523,0.3821428571428572,0.7678571428571429,-2.2199999999999998,-1.8299999999999998,-2.2199999999999998,-1.8299999999999998
45,LaRhO3,1.0,"['La', 'Rh', 'O']",La,Rh,O,1.36,0.665,1.4,3,3,-2,1.1,2.28,3.44,2.045112781954887,0.47500000000000003,0.9714285714285715,-2.34,-1.1600000000000001,-2.34,-1.1600000000000001
46,KHgI3,0.0,"['K', 'Hg', 'I']",K,Hg,I,1.64,1.02,2.2,1,2,-1,0.82,2.0,2.66,1.6078431372549018,0.4636363636363636,0.7454545454545454,-1.8400000000000003,-0.6600000000000001,-2.62,-1.44
