,Unnamed: 0,material,exp_label,elements,A,B,X,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA_S,rB_S
1,1,PbZrS3,0.0,"['Pb', 'Zr', 'S']",Pb,Zr,S,1.49,0.72,1.84,2,4,-2,2.33,1.33,2.58,2.0694444444444446,0.3913043478260869,0.8097826086956521,-0.25,-1.25,-1.11,-2.11,1.717,0.85
2,2,CsCdBr3,1.0,"['Cs', 'Cd', 'Br']",Cs,Cd,Br,1.88,0.95,1.96,1,2,-1,0.79,1.69,2.96,1.9789473684210528,0.4846938775510204,0.9591836734693876,-2.17,-1.27,-2.65,-1.75,2.135,1.56
3,3,RbMnF3,1.0,"['Rb', 'Mn', 'F']",Rb,Mn,F,1.72,0.83,1.33,1,2,-1,0.82,1.55,3.98,2.072289156626506,0.6240601503759398,1.2932330827067668,-3.16,-2.43,-2.62,-1.89,1.72,0.83
5,5,BaVSe3,0.0,"['Ba', 'V', 'Se']",Ba,V,Se,1.61,0.58,1.98,2,4,-2,0.89,1.63,2.55,2.775862068965518,0.2929292929292929,0.8131313131313131,-1.6599999999999997,-0.92,-2.55,-1.81,1.73,0.66
6,6,PbLiCl3,0.0,"['Pb', 'Li', 'Cl']",Pb,Li,Cl,1.49,0.76,1.81,2,1,-1,2.33,0.98,3.16,1.9605263157894737,0.4198895027624309,0.8232044198895028,-0.8300000000000001,-2.18,-1.11,-2.46,1.49,0.76
11,11,NdYbSe3,0.0,"['Nd', 'Yb', 'Se']",Nd,Yb,Se,1.27,0.868,1.98,3,3,-2,1.14,1.1,2.55,1.463133640552995,0.4383838383838384,0.6414141414141414,-1.41,-1.4499999999999995,-2.3,-2.34,1.587,1.02
15,15,CsTiBr3,0.0,"['Cs', 'Ti', 'Br']",Cs,Ti,Br,1.88,0.86,1.96,1,2,-1,0.79,1.54,2.96,2.186046511627907,0.4387755102040816,0.9591836734693876,-2.17,-1.42,-2.65,-1.9,2.135,0.73
16,16,RbVF3,1.0,"['Rb', 'V', 'F']",Rb,V,F,1.72,0.79,1.33,1,2,-1,0.82,1.63,3.98,2.1772151898734178,0.5939849624060151,1.2932330827067668,-3.16,-2.35,-2.62,-1.81,1.72,0.79
19,19,AgCuF3,1.0,"['Ag', 'Cu', 'F']",Ag,Cu,F,1.28,0.73,1.33,1,2,-1,1.93,1.9,3.98,1.7534246575342467,0.5488721804511277,0.962406015037594,-2.05,-2.08,-1.51,-1.54,1.28,0.73
20,20,CsFeCl3,0.0,"['Cs', 'Fe', 'Cl']",Cs,Fe,Cl,1.88,0.78,1.81,1,2,-1,0.79,1.83,3.16,2.41025641025641,0.430939226519337,1.0386740331491713,-2.37,-1.33,-2.65,-1.61,1.88,0.78
22,22,NaMgBr3,0.0,"['Na', 'Mg', 'Br']",Na,Mg,Br,1.39,0.72,1.96,1,2,-1,0.93,1.31,2.96,1.930555555555556,0.3673469387755102,0.7091836734693877,-2.03,-1.65,-2.51,-2.13,1.51,1.44
25,25,RbCdF3,1.0,"['Rb', 'Cd', 'F']",Rb,Cd,F,1.72,0.95,1.33,1,2,-1,0.82,1.69,3.98,1.8105263157894735,0.7142857142857142,1.2932330827067668,-3.16,-2.29,-2.62,-1.75,1.72,0.95
30,30,KBaBr3,0.0,"['K', 'Ba', 'Br']",K,Ba,Br,1.64,1.35,1.96,1,2,-1,0.82,0.89,2.96,1.2148148148148146,0.6887755102040817,0.836734693877551,-2.14,-2.07,-2.62,-2.55,1.85,1.73
32,32,NdYbS3,0.0,"['Nd', 'Yb', 'S']",Nd,Yb,S,1.27,0.868,1.84,3,3,-2,1.14,1.1,2.58,1.463133640552995,0.4717391304347826,0.6902173913043478,-1.4400000000000002,-1.48,-2.3,-2.34,1.587,1.02
33,33,NaBeCl3,0.0,"['Na', 'Be', 'Cl']",Na,Be,Cl,1.39,0.45,1.81,1,2,-1,0.93,1.57,3.16,3.088888888888889,0.2486187845303867,0.7679558011049723,-2.23,-1.59,-2.51,-1.87,1.39,0.45
34,34,NaCdI3,0.0,"['Na', 'Cd', 'I']",Na,Cd,I,1.39,0.95,2.2,1,2,-1,0.93,1.69,2.66,1.463157894736842,0.4318181818181817,0.6318181818181817,-1.73,-0.9700000000000002,-2.51,-1.75,1.51,1.56
36,36,KMgF3,1.0,"['K', 'Mg', 'F']",K,Mg,F,1.64,0.72,1.33,1,2,-1,0.82,1.31,3.98,2.2777777777777777,0.5413533834586466,1.2330827067669172,-3.16,-2.67,-2.62,-2.13,1.64,0.72
37,37,GdScS3,1.0,"['Gd', 'Sc', 'S']",Gd,Sc,S,1.107,0.745,1.84,3,3,-2,1.2,1.36,2.58,1.4859060402684563,0.404891304347826,0.6016304347826087,-1.38,-1.22,-2.24,-2.08,1.52,0.87
39,39,SrZrSe3,0.0,"['Sr', 'Zr', 'Se']",Sr,Zr,Se,1.44,0.72,1.98,2,4,-2,0.95,1.33,2.55,2.0,0.3636363636363636,0.7272727272727273,-1.6,-1.2199999999999998,-2.49,-2.11,1.68,0.85
41,41,NaMnCl3,0.0,"['Na', 'Mn', 'Cl']",Na,Mn,Cl,1.39,0.83,1.81,1,2,-1,0.93,1.55,3.16,1.6746987951807228,0.4585635359116021,0.7679558011049723,-2.23,-1.61,-2.51,-1.89,1.39,0.83
42,42,RbCuF3,1.0,"['Rb', 'Cu', 'F']",Rb,Cu,F,1.72,0.73,1.33,1,2,-1,0.82,1.9,3.98,2.356164383561644,0.5488721804511277,1.2932330827067668,-3.16,-2.08,-2.62,-1.54,1.72,0.73
43,43,NaCrCl3,0.0,"['Na', 'Cr', 'Cl']",Na,Cr,Cl,1.39,0.8,1.81,1,2,-1,0.93,1.66,3.16,1.7374999999999998,0.4419889502762431,0.7679558011049723,-2.23,-1.5000000000000002,-2.51,-1.78,1.39,0.8
46,46,KHgI3,0.0,"['K', 'Hg', 'I']",K,Hg,I,1.64,1.02,2.2,1,2,-1,0.82,2.0,2.66,1.6078431372549018,0.4636363636363636,0.7454545454545454,-1.8400000000000003,-0.6600000000000001,-2.62,-1.44,1.85,1.435
52,52,DyScS3,1.0,"['Dy', 'Sc', 'S']",Dy,Sc,S,1.083,0.745,1.84,3,3,-2,1.22,1.36,2.58,1.4536912751677853,0.404891304347826,0.5885869565217391,-1.36,-1.22,-2.22,-2.08,1.45,0.87
55,55,BaNbSe3,0.0,"['Ba', 'Nb', 'Se']",Ba,Nb,Se,1.61,0.68,1.98,2,4,-2,0.89,1.6,2.55,2.367647058823529,0.3434343434343435,0.8131313131313131,-1.6599999999999997,-0.9499999999999996,-2.55,-1.84,1.73,0.77
57,57,NaCaBr3,0.0,"['Na', 'Ca', 'Br']",Na,Ca,Br,1.39,1.0,1.96,1,2,-1,0.93,1.0,2.96,1.39,0.5102040816326531,0.7091836734693877,-2.03,-1.96,-2.51,-2.44,1.51,1.56
58,58,AgZnF3,1.0,"['Ag', 'Zn', 'F']",Ag,Zn,F,1.28,0.74,1.33,1,2,-1,1.93,1.65,3.98,1.7297297297297298,0.556390977443609,0.962406015037594,-2.05,-2.33,-1.51,-1.79,1.28,0.74
62,62,NaCuF3,1.0,"['Na', 'Cu', 'F']",Na,Cu,F,1.39,0.73,1.33,1,2,-1,0.93,1.9,3.98,1.904109589041096,0.5488721804511277,1.045112781954887,-3.05,-2.08,-2.51,-1.54,1.39,0.73
63,63,NaCoF3,1.0,"['Na', 'Co', 'F']",Na,Co,F,1.39,0.745,1.33,1,2,-1,0.93,1.88,3.98,1.8657718120805369,0.5601503759398496,1.045112781954887,-3.05,-2.1,-2.51,-1.56,1.39,0.745
65,65,PbAgBr3,0.0,"['Pb', 'Ag', 'Br']",Pb,Ag,Br,1.49,1.15,1.96,2,1,-1,2.33,1.93,2.96,1.2956521739130435,0.586734693877551,0.7602040816326531,-0.6299999999999999,-1.03,-1.11,-1.51,1.717,1.28
69,69,LaYS3,0.0,"['La', 'Y', 'S']",La,Y,S,1.36,0.9,1.84,3,3,-2,1.1,1.22,2.58,1.511111111111111,0.4891304347826087,0.7391304347826088,-1.48,-1.36,-2.34,-2.22,1.5,1.01
70,70,SmScS3,1.0,"['Sm', 'Sc', 'S']",Sm,Sc,S,1.24,0.745,1.84,3,3,-2,1.17,1.36,2.58,1.6644295302013423,0.404891304347826,0.6739130434782609,-1.41,-1.22,-2.27,-2.08,1.64,0.87
75,75,CsGeCl3,0.0,"['Cs', 'Ge', 'Cl']",Cs,Ge,Cl,1.88,0.73,1.81,1,2,-1,0.79,2.01,3.16,2.5753424657534247,0.4033149171270718,1.0386740331491713,-2.37,-1.1500000000000004,-2.65,-1.4300000000000002,1.88,0.73
77,77,PbNaF3,0.0,"['Pb', 'Na', 'F']",Pb,Na,F,1.49,1.02,1.33,2,1,-1,2.33,0.93,3.98,1.46078431372549,0.7669172932330827,1.1203007518796992,-1.65,-3.05,-1.11,-2.51,1.49,1.02
