Time,Time Code,Country Name,Country Code,"Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]",Control of Corruption: Estimate [CC.EST],Electricity production from coal sources (% of total) [EG.ELC.COAL.ZS],"Energy imports, net (% of energy use) [EG.IMP.CONS.ZS]",Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],Fossil fuel energy consumption (% of total) [EG.USE.COMM.FO.ZS],Government Effectiveness: Estimate [GE.EST],Individuals using the Internet (% of population) [IT.NET.USER.ZS],"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate) [SL.TLF.ACTI.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Political Stability and Absence of Violence/Terrorism: Estimate [PV.EST],Proportion of seats held by women in national parliaments (%) [SG.GEN.PARL.ZS],Regulatory Quality: Estimate [RQ.EST],Rule of Law: Estimate [RL.EST],"School enrollment, primary (% gross) [SE.PRM.ENRR]",Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],"Unemployment, total (% of total labor force) (modeled ILO estimate) [SL.UEM.TOTL.ZS]",Voice and Accountability: Estimate [VA.EST]
2023,YR2023,Afghanistan,AFG,34.74324714,-1.154931784,..,..,..,..,-1.987013698,17.7,38.634,66.035,-2.484080553,..,-1.266425252,-1.649640918,..,3.6,13.991,-1.85290134
2023,YR2023,Albania,ALB,16.22256713,-0.332218528,..,..,..,..,0.250855356,83.1,71.301,79.602,0.183348969,35.71428571,0.171953663,-0.164097369,93.71381378,14.2,10.108,0.168997228
2023,YR2023,Algeria,DZA,13.08678415,-0.589308321,..,..,..,..,-0.67013514,76.9,44.941,76.261,-0.57788527,7.862407862,-0.948087156,-0.678364396,108.7616425,4.4,11.701,-0.97988379
2023,YR2023,Andorra,AND,0.478492136,1.251356125,..,..,..,..,1.475438714,95.4,..,84.041,1.583465934,50,1.350545764,1.476898909,97.62286377,26.9,..,0.996939778
2023,YR2023,Angola,AGO,14.89328441,-0.609920204,..,..,..,..,-1.008909583,44.8,76.592,64.617,-0.341505051,33.63636364,-0.761388183,-1.099066019,..,7.7,14.537,-0.737252414
2023,YR2023,Antigua and Barbuda,ATG,1.943267807,0.326792687,..,..,..,..,0.38041082,77.6,..,77.598,0.92339325,5.555555556,0.54603678,0.378593177,..,0.4,..,0.741840482
2023,YR2023,Argentina,ARG,5.929853762,-0.360883951,..,..,..,..,-0.377517343,89.2,70.886,77.395,-0.127517909,43.19066148,-0.482535392,-0.410826534,..,9.6,6.139,0.533921838
2023,YR2023,Armenia,ARM,8.481559899,0.058399647,..,..,..,..,-0.184129968,80,72.792,77.46585366,-0.829278231,35.51401869,0.047635019,-0.12201798,93.80795288,24.7,13.245,0.076707557
2023,YR2023,Australia,AUS,2.573502062,1.781204939,46.50057929,-208.482901,5078.218284,90.19,1.589879632,97.1,80.627,83.05121951,0.917057216,38.41059603,1.942205548,1.523183942,..,32.1,3.668,1.50660193
2023,YR2023,Austria,AUT,1.296970303,1.133653283,2.600099796,63.70944775,3324.726691,62.06,1.326681495,95.3,77.976,81.54146341,0.727989197,40.98360656,1.361369729,1.746565461,..,29.5,5.264,1.411248326
2023,YR2023,Azerbaijan,AZE,5.510588946,-1.195471406,..,..,..,..,-0.032642219,89,70.173,74.429,-0.730753899,18.6440678,-0.108809568,-0.566586077,101.9796982,5.5,5.636,-1.411533952
2023,YR2023,"Bahamas, The",BHS,0.454447231,1.266910076,..,..,..,..,0.270353258,94.8,80.45,74.552,1.008562326,17.94871795,0.007183752,0.179566532,77.93193054,8.6,8.643,0.860349119
2023,YR2023,Bahrain,BHR,0.251492807,0.177784815,..,..,0,..,0.697198749,100,73.154,81.284,-0.373967588,20,1.077985287,0.468770444,93.74128723,20.5,1.154,-1.377833009
