Atomic number,Symbol,Element,Abundance (ppm)
1,H,hydrogen,1.40E+03
2,He,helium,8.00E-03
3,Li,lithium,2.00E+01
4,Be,beryllium,2.80E+00
5,B,boron,1.00E+01
6,C,carbon,2.00E+02
7,N,nitrogen,1.90E+01
8,O,oxygen,4.61E+05
9,F,fluorine,5.85E+02
10,Ne,neon,5.10E-03
11,Na,sodium,2.36E+04
12,Mg,magnesium,2.33E+04
13,Al,aluminium,8.23E+04
14,Si,silicon,2.82E+05
15,P,phosphorus,1.05E+03
16,S,sulfur,3.50E+02
17,Cl,chlorine,1.45E+02
18,Ar,argon,3.50E+00
19,K,potassium,2.09E+04
20,Ca,calcium,4.15E+04
21,Sc,scandium,2.20E+01
22,Ti,titanium,5.65E+03
23,V,vanadium,1.20E+02
24,Cr,chromium,1.02E+02
25,Mn,manganese,9.50E+02
26,Fe,iron,5.63E+04
27,Co,cobalt,2.50E+01
28,Ni,nickel,8.40E+01
29,Cu,copper,6.00E+01
30,Zn,zinc,7.00E+01
31,Ga,gallium,1.90E+01
32,Ge,germanium,1.50E+00
33,As,arsenic,1.80E+00
34,Se,selenium,5.00E-02
35,Br,bromine,2.40E+00
36,Kr,krypton,1.00E-04
37,Rb,rubidium,9.00E+01
38,Sr,strontium,3.70E+02
39,Y,yttrium,3.30E+01
40,Zr,zirconium,1.65E+02
41,Nb,niobium,2.00E+01
42,Mo,molybdenum,1.20E+00
43,Tc,technetium,--
44,Ru,ruthenium,1.00E-03
45,Rh,rhodium,1.00E-03
46,Pd,palladium,1.50E-02
47,Ag,silver,7.50E-02
48,Cd,cadmium,1.50E-01
49,In,indium,2.50E-01
50,Sn,tin,9.80E+00
51,Sb,antimony,2.00E-01
52,Te,tellurium,1.00E-03
53,I,iodine,4.50E-01
54,Xe,xenon,3.00E-05
55,Cs,caesium,3.00E+00
56,Ba,barium,4.25E+02
57,La,lanthanum,3.90E+01
58,Ce,cerium,6.65E+01
59,Pr,praseodymium,9.20E+00
60,Nd,neodymium,4.15E+01
61,Pm,promethium,--
62,Sm,samarium,7.05E+00
63,Eu,europium,2.00E+00
64,Gd,gadolinium,6.20E+00
65,Tb,terbium,1.20E+00
66,Dy,dysprosium,5.20E+00
67,Ho,holmium,1.30E+00
68,Er,erbium,3.50E+00
69,Tm,thulium,5.20E-01
70,Yb,ytterbium,3.20E+00
71,Lu,lutetium,8.00E-01
72,Hf,hafnium,3.00E+00
73,Ta,tantalum,2.00E+00
74,W,tungsten,1.25E+00
75,Re,rhenium,7.00E-04
76,Os,osmium,1.50E-03
77,Ir,iridium,1.00E-03
78,Pt,platinum,5.00E-03
79,Au,gold,4.00E-03
80,Hg,mercury,8.50E-02
81,Tl,thallium,8.50E-01
82,Pb,lead,1.40E+01
83,Bi,bismuth,8.50E-03
84,Po,polonium,0.00E+00
85,At,astatine,0.00E+00
86,Rn,radon,0.00E+00
87,Fr,francium,0.00E+00
88,Ra,radium,0.00E+00
89,Ac,actinium,0.00E+00
90,Th,thorium,0.00E+00
91,Pa,protactinium,0.00E+00
92,U,uranium,0.00E+00
93,Np,neptunium,0.00E+00
94,Pu,plutonium,0.00E+00
