,t_sisso,t,tau,t_jess,t_sisso_78,t_sisso_27,t_sisso_116,t_sisso_91,t_sisso_43,t_sisso_29,t_sisso_61,t_sisso_26,t_sisso_134,t_sisso_59,t_sisso_111,t_sisso_87,t_sisso_48,t_sisso_122,t_sisso_58,t_sisso_123,t_sisso_132,t_sisso_60,t_sisso_30,t_sisso_13,t_sisso_51,t_sisso_114,t_sisso_14,t_sisso_138,t_sisso_75,t_sisso_82,t_sisso_9,t_sisso_5,t_sisso_81,t_sisso_21,t_sisso_98,t_sisso_107,t_sisso_31,t_sisso_79,t_sisso_49,t_sisso_73,t_sisso_10,t_sisso_8,t_sisso_6,t_sisso_72,t_sisso_109,t_sisso_84,t_sisso_100,t_sisso_139,t_sisso_133,t_sisso_53,t_sisso_56,t_sisso_144,t_sisso_135,t_sisso_41,t_sisso_7,t_sisso_115,t_sisso_88,t_sisso_137,t_sisso_25,t_sisso_62,t_sisso_76,t_sisso_11,t_sisso_125,t_sisso_36,t_sisso_66,t_sisso_112,t_sisso_37,t_sisso_38,t_sisso_93,t_sisso_128,t_sisso_34,t_sisso_101,t_sisso_1,t_sisso_40,t_sisso_105,t_sisso_42,t_sisso_121,t_sisso_52,t_sisso_74,t_sisso_102,t_sisso_22,t_sisso_83,t_sisso_97,t_sisso_127,t_sisso_16,t_sisso_92,t_sisso_96,t_sisso_20,t_sisso_89,t_sisso_33,t_sisso_17,t_sisso_50,t_sisso_80,t_sisso_85,t_sisso_35,t_sisso_46,t_sisso_86,t_sisso_23,t_sisso_55,t_sisso_106,t_sisso_136,t_sisso_143,t_sisso_104,t_sisso_54,t_sisso_45,t_sisso_68,t_sisso_0,t_sisso_94,t_sisso_77,t_sisso_47,t_sisso_67,t_sisso_95,t_sisso_110,t_sisso_32,t_sisso_103,t_sisso_3,t_sisso_19,t_sisso_130,t_sisso_126,t_sisso_63,t_sisso_119,t_sisso_39,t_sisso_141,t_sisso_118,t_sisso_124,t_sisso_57,t_sisso_64,t_sisso_117,t_sisso_108,t_sisso_99,t_sisso_142,t_sisso_129,t_sisso_24,t_sisso_69,t_sisso_113,t_sisso_28,t_sisso_44,t_sisso_65,t_sisso_15,t_sisso_90,t_sisso_140,t_sisso_12,t_sisso_71,t_sisso_18,t_sisso_131,t_sisso_70,t_sisso_4
train_data,,0.7477876106194691,0.8053097345132744,0.7433628318584071,0.7964601769911505,0.827433628318584,0.7876106194690266,0.7566371681415929,0.7876106194690266,0.8008849557522124,0.7831858407079646,0.7787610619469026,0.7831858407079646,0.8230088495575221,0.7876106194690266,0.8495575221238938,0.8097345132743363,0.7699115044247787,0.8230088495575221,0.7743362831858407,0.8185840707964602,0.8185840707964602,0.7831858407079646,0.827433628318584,0.8097345132743363,0.7876106194690266,0.8451327433628318,0.7743362831858407,0.831858407079646,0.8539823008849557,0.8097345132743363,0.7876106194690266,0.7566371681415929,0.7876106194690266,0.8495575221238938,0.8495575221238938,0.7876106194690266,0.8230088495575221,0.8185840707964602,0.7787610619469026,0.7920353982300885,0.7743362831858407,0.8097345132743363,0.7964601769911505,0.7920353982300885,0.8362831858407079,0.8185840707964602,0.7831858407079646,0.7831858407079646,0.8185840707964602,0.827433628318584,0.7831858407079646,0.7876106194690266,0.7876106194690266,0.7743362831858407,0.7876106194690266,0.8053097345132744,0.7787610619469026,0.8407079646017699,0.8185840707964602,0.8230088495575221,0.8451327433628318,0.7699115044247787,0.7831858407079646,0.7654867256637168,0.7876106194690266,0.7743362831858407,0.7743362831858407,0.8495575221238938,0.7743362831858407,0.7787610619469026,0.8672566371681416,0.8230088495575221,0.7876106194690266,0.8495575221238938,0.7876106194690266,0.7876106194690266,0.8495575221238938,0.7787610619469026,0.8495575221238938,0.7787610619469026,0.8362831858407079,0.8672566371681416,0.7699115044247787,0.8495575221238938,0.7920353982300885,0.8672566371681416,0.7876106194690266,0.7743362831858407,0.7876106194690266,0.7743362831858407,0.7787610619469026,0.7831858407079646,0.8362831858407079,0.7831858407079646,0.6946902654867256,0.8362831858407079,0.7787610619469026,0.8230088495575221,0.8672566371681416,0.7831858407079646,0.7787610619469026,0.8185840707964602,0.8230088495575221,0.8407079646017699,0.7964601769911505,0.8097345132743363,0.8141592920353983,0.8230088495575221,0.8141592920353983,0.8495575221238938,0.8539823008849557,0.7920353982300885,0.7876106194690266,0.8185840707964602,0.7876106194690266,0.7566371681415929,0.8230088495575221,0.7743362831858407,0.7964601769911505,0.7743362831858407,0.7876106194690266,0.7787610619469026,0.7699115044247787,0.7876106194690266,0.8230088495575221,0.8185840707964602,0.7876106194690266,0.8495575221238938,0.8185840707964602,0.7831858407079646,0.7743362831858407,0.8008849557522124,0.7654867256637168,0.7920353982300885,0.8008849557522124,0.7787610619469026,0.8185840707964602,0.8495575221238938,0.8097345132743363,0.7831858407079646,0.8539823008849557,0.8230088495575221,0.7876106194690266,0.7787610619469026,0.7654867256637168,0.7743362831858407
test_data,,0.5964912280701754,0.7192982456140351,0.7017543859649122,0.8245614035087719,0.7894736842105263,0.7543859649122807,0.8245614035087719,0.7368421052631579,0.7894736842105263,0.7192982456140351,0.7894736842105263,0.7543859649122807,0.8070175438596491,0.7543859649122807,0.8771929824561403,0.7719298245614035,0.7368421052631579,0.8070175438596491,0.7368421052631579,0.8596491228070176,0.8421052631578947,0.7368421052631579,0.8771929824561403,0.8070175438596491,0.7543859649122807,0.8947368421052632,0.7543859649122807,0.8070175438596491,0.912280701754386,0.8245614035087719,0.8070175438596491,0.8245614035087719,0.7368421052631579,0.8771929824561403,0.8771929824561403,0.7368421052631579,0.8070175438596491,0.8070175438596491,0.7719298245614035,0.7894736842105263,0.7543859649122807,0.8245614035087719,0.8245614035087719,0.7719298245614035,0.8245614035087719,0.8596491228070176,0.7543859649122807,0.7368421052631579,0.7719298245614035,0.8245614035087719,0.7543859649122807,0.7543859649122807,0.7543859649122807,0.7543859649122807,0.7543859649122807,0.7543859649122807,0.7368421052631579,0.8771929824561403,0.8421052631578947,0.8596491228070176,0.8947368421052632,0.7368421052631579,0.7543859649122807,0.7543859649122807,0.7368421052631579,0.7543859649122807,0.7543859649122807,0.8771929824561403,0.7543859649122807,0.7719298245614035,0.8771929824561403,0.8070175438596491,0.7543859649122807,0.8771929824561403,0.7368421052631579,0.7543859649122807,0.8771929824561403,0.7719298245614035,0.8771929824561403,0.7719298245614035,0.8245614035087719,0.8771929824561403,0.7368421052631579,0.8771929824561403,0.7894736842105263,0.8771929824561403,0.7368421052631579,0.7719298245614035,0.7368421052631579,0.7894736842105263,0.7543859649122807,0.7368421052631579,0.8245614035087719,0.7543859649122807,0.6491228070175439,0.8245614035087719,0.7894736842105263,0.8070175438596491,0.8771929824561403,0.7543859649122807,0.7368421052631579,0.8245614035087719,0.8070175438596491,0.8596491228070176,0.8245614035087719,0.8421052631578947,0.8070175438596491,0.8596491228070176,0.8245614035087719,0.8771929824561403,0.8771929824561403,0.7719298245614035,0.7543859649122807,0.8245614035087719,0.8070175438596491,0.7543859649122807,0.8596491228070176,0.7368421052631579,0.8070175438596491,0.7543859649122807,0.7543859649122807,0.7368421052631579,0.7368421052631579,0.7543859649122807,0.8070175438596491,0.8421052631578947,0.7543859649122807,0.8771929824561403,0.8245614035087719,0.7543859649122807,0.7543859649122807,0.8245614035087719,0.7543859649122807,0.7719298245614035,0.8070175438596491,0.7719298245614035,0.8421052631578947,0.8596491228070176,0.8070175438596491,0.7543859649122807,0.8947368421052632,0.8596491228070176,0.7543859649122807,0.7543859649122807,0.7543859649122807,0.7368421052631579
all_data,,0.7173144876325088,0.7879858657243817,0.734982332155477,0.8021201413427562,0.8197879858657244,0.7809187279151943,0.7703180212014135,0.7773851590106007,0.7985865724381626,0.7703180212014135,0.7809187279151943,0.7773851590106007,0.8197879858657244,0.7809187279151943,0.8551236749116607,0.8021201413427562,0.7632508833922261,0.8197879858657244,0.7667844522968198,0.8268551236749117,0.823321554770318,0.773851590106007,0.8374558303886925,0.8091872791519434,0.7809187279151943,0.8551236749116607,0.7703180212014135,0.8268551236749117,0.8657243816254417,0.8127208480565371,0.7915194346289752,0.7703180212014135,0.7773851590106007,0.8551236749116607,0.8551236749116607,0.7773851590106007,0.8197879858657244,0.8162544169611308,0.7773851590106007,0.7915194346289752,0.7703180212014135,0.8127208480565371,0.8021201413427562,0.7879858657243817,0.833922261484099,0.8268551236749117,0.7773851590106007,0.773851590106007,0.8091872791519434,0.8268551236749117,0.7773851590106007,0.7809187279151943,0.7809187279151943,0.7703180212014135,0.7809187279151943,0.7950530035335689,0.7703180212014135,0.8480565371024735,0.823321554770318,0.8303886925795053,0.8551236749116607,0.7632508833922261,0.7773851590106007,0.7632508833922261,0.7773851590106007,0.7703180212014135,0.7703180212014135,0.8551236749116607,0.7703180212014135,0.7773851590106007,0.8692579505300353,0.8197879858657244,0.7809187279151943,0.8551236749116607,0.7773851590106007,0.7809187279151943,0.8551236749116607,0.7773851590106007,0.8551236749116607,0.7773851590106007,0.833922261484099,0.8692579505300353,0.7632508833922261,0.8551236749116607,0.7915194346289752,0.8692579505300353,0.7773851590106007,0.773851590106007,0.7773851590106007,0.7773851590106007,0.773851590106007,0.773851590106007,0.833922261484099,0.7773851590106007,0.6855123674911661,0.833922261484099,0.7809187279151943,0.8197879858657244,0.8692579505300353,0.7773851590106007,0.7703180212014135,0.8197879858657244,0.8197879858657244,0.8445229681978799,0.8021201413427562,0.8162544169611308,0.8127208480565371,0.8303886925795053,0.8162544169611308,0.8551236749116607,0.8586572438162544,0.7879858657243817,0.7809187279151943,0.8197879858657244,0.7915194346289752,0.7561837455830389,0.8303886925795053,0.7667844522968198,0.7985865724381626,0.7703180212014135,0.7809187279151943,0.7703180212014135,0.7632508833922261,0.7809187279151943,0.8197879858657244,0.823321554770318,0.7809187279151943,0.8551236749116607,0.8197879858657244,0.7773851590106007,0.7703180212014135,0.8056537102473498,0.7632508833922261,0.7879858657243817,0.8021201413427562,0.7773851590106007,0.823321554770318,0.8515901060070671,0.8091872791519434,0.7773851590106007,0.8621908127208481,0.8303886925795053,0.7809187279151943,0.773851590106007,0.7632508833922261,0.7667844522968198
train_data_S,,0.7872340425531915,0.6595744680851063,0.8297872340425532,0.5531914893617021,0.574468085106383,0.5531914893617021,0.5319148936170213,0.5531914893617021,0.5531914893617021,0.723404255319149,0.6595744680851063,0.5531914893617021,0.574468085106383,0.5531914893617021,0.574468085106383,0.5957446808510638,0.6170212765957447,0.574468085106383,0.6170212765957447,0.574468085106383,0.5531914893617021,0.5531914893617021,0.574468085106383,0.5531914893617021,0.5531914893617021,0.7446808510638298,0.5531914893617021,0.574468085106383,0.574468085106383,0.6595744680851063,0.5531914893617021,0.5319148936170213,0.5531914893617021,0.574468085106383,0.574468085106383,0.5531914893617021,0.574468085106383,0.574468085106383,0.5531914893617021,0.574468085106383,0.5531914893617021,0.5531914893617021,0.5531914893617021,0.5531914893617021,0.574468085106383,0.5531914893617021,0.5531914893617021,0.5531914893617021,0.5531914893617021,0.574468085106383,0.5531914893617021,0.5531914893617021,0.5531914893617021,0.5531914893617021,0.5531914893617021,0.6382978723404256,0.5531914893617021,0.5957446808510638,0.5531914893617021,0.574468085106383,0.5957446808510638,0.6170212765957447,0.5531914893617021,0.6170212765957447,0.5531914893617021,0.574468085106383,0.5531914893617021,0.574468085106383,0.6170212765957447,0.5531914893617021,0.574468085106383,0.574468085106383,0.5531914893617021,0.574468085106383,0.5531914893617021,0.5531914893617021,0.574468085106383,0.5531914893617021,0.574468085106383,0.5531914893617021,0.574468085106383,0.574468085106383,0.6170212765957447,0.574468085106383,0.5106382978723404,0.574468085106383,0.5531914893617021,0.6382978723404256,0.5531914893617021,0.7021276595744681,0.574468085106383,0.5531914893617021,0.574468085106383,0.5531914893617021,0.7659574468085106,0.574468085106383,0.574468085106383,0.574468085106383,0.574468085106383,0.5531914893617021,0.5531914893617021,0.574468085106383,0.574468085106383,0.5957446808510638,0.5531914893617021,0.5531914893617021,0.5957446808510638,0.574468085106383,0.574468085106383,0.574468085106383,0.574468085106383,0.5531914893617021,0.5531914893617021,0.574468085106383,0.5531914893617021,0.574468085106383,0.5531914893617021,0.6170212765957447,0.5531914893617021,0.6170212765957447,0.5531914893617021,0.5531914893617021,0.6170212765957447,0.5531914893617021,0.574468085106383,0.5531914893617021,0.5531914893617021,0.574468085106383,0.574468085106383,0.5531914893617021,0.6170212765957447,0.5531914893617021,0.6170212765957447,0.5531914893617021,0.5531914893617021,0.5531914893617021,0.5531914893617021,0.574468085106383,0.4893617021276595,0.5531914893617021,0.574468085106383,0.574468085106383,0.5531914893617021,0.5531914893617021,0.6170212765957447,0.5531914893617021
test_data_S,,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.5833333333333334,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.75,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.5833333333333334,0.75,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
train_data_I,,0.7941176470588235,0.8529411764705882,0.6764705882352942,0.8529411764705882,0.8823529411764706,0.8529411764705882,0.6470588235294118,0.8529411764705882,0.8529411764705882,0.7647058823529411,0.8235294117647058,0.8529411764705882,0.9411764705882352,0.8529411764705882,0.9411764705882352,0.9411764705882352,0.8529411764705882,0.9411764705882352,0.9705882352941176,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8823529411764706,0.8529411764705882,0.8529411764705882,0.7941176470588235,0.8529411764705882,0.9411764705882352,0.9705882352941176,0.7058823529411765,0.8529411764705882,0.6470588235294118,0.8529411764705882,0.9411764705882352,0.9411764705882352,0.8529411764705882,0.9411764705882352,0.9117647058823528,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.9117647058823528,0.8235294117647058,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.9705882352941176,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.9117647058823528,0.8529411764705882,0.9411764705882352,0.8529411764705882,0.8529411764705882,0.8235294117647058,0.8529411764705882,0.8529411764705882,0.9411764705882352,0.8529411764705882,0.8235294117647058,0.8529411764705882,0.9411764705882352,0.9705882352941176,0.8529411764705882,1.0,0.9411764705882352,0.8529411764705882,0.9411764705882352,0.8529411764705882,0.8529411764705882,0.9411764705882352,0.8529411764705882,0.9411764705882352,0.8529411764705882,0.9117647058823528,1.0,0.8529411764705882,0.9411764705882352,0.8235294117647058,1.0,0.8529411764705882,0.7352941176470589,0.8529411764705882,0.7058823529411765,0.8529411764705882,0.8529411764705882,0.9117647058823528,0.8529411764705882,0.5294117647058824,0.9117647058823528,0.8235294117647058,0.9411764705882352,1.0,0.8529411764705882,0.8529411764705882,0.9705882352941176,0.9411764705882352,0.8823529411764706,0.8529411764705882,0.8529411764705882,0.7941176470588235,0.8529411764705882,0.9117647058823528,0.9705882352941176,0.9411764705882352,0.8529411764705882,0.8529411764705882,0.9705882352941176,0.8529411764705882,0.8235294117647058,0.8529411764705882,0.9705882352941176,0.8529411764705882,0.9705882352941176,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.9411764705882352,0.8529411764705882,0.8529411764705882,0.9411764705882352,0.9705882352941176,0.8529411764705882,0.9705882352941176,0.8529411764705882,0.9411764705882352,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.9117647058823528,0.9411764705882352,0.8529411764705882,0.9705882352941176,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.9411764705882352,0.8529411764705882
test_data_I,,0.5555555555555556,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5555555555555556,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7777777777777778,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,1.0,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7777777777777778,1.0,0.7777777777777778,0.7777777777777778,1.0,0.7777777777777778,1.0,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,1.0,0.6666666666666666,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,1.0,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.7777777777777778,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778
train_data_Cl,,0.8421052631578947,0.9298245614035088,0.7017543859649122,0.8596491228070176,0.9473684210526316,0.7543859649122807,0.8771929824561403,0.7543859649122807,0.8947368421052632,0.7719298245614035,0.8070175438596491,0.7543859649122807,0.8245614035087719,0.7543859649122807,0.9298245614035088,0.8070175438596491,0.7192982456140351,0.8245614035087719,0.6491228070175439,0.912280701754386,0.912280701754386,0.7543859649122807,0.8947368421052632,0.912280701754386,0.7543859649122807,0.912280701754386,0.7543859649122807,0.8771929824561403,0.912280701754386,0.9298245614035088,0.8070175438596491,0.8771929824561403,0.7543859649122807,0.9298245614035088,0.9298245614035088,0.7543859649122807,0.8421052631578947,0.8596491228070176,0.7543859649122807,0.8771929824561403,0.7543859649122807,0.9298245614035088,0.8596491228070176,0.8421052631578947,0.9298245614035088,0.912280701754386,0.7543859649122807,0.7543859649122807,0.9649122807017544,0.8947368421052632,0.7543859649122807,0.8596491228070176,0.7543859649122807,0.7543859649122807,0.7543859649122807,0.7719298245614035,0.7543859649122807,0.912280701754386,0.912280701754386,0.8947368421052632,0.9298245614035088,0.7192982456140351,0.7543859649122807,0.631578947368421,0.7543859649122807,0.7543859649122807,0.7543859649122807,0.9298245614035088,0.6491228070175439,0.8421052631578947,0.9473684210526316,0.8245614035087719,0.7543859649122807,0.9298245614035088,0.7543859649122807,0.7543859649122807,0.9298245614035088,0.7543859649122807,0.9298245614035088,0.8421052631578947,0.9298245614035088,0.9473684210526316,0.7192982456140351,0.9298245614035088,0.8947368421052632,0.9473684210526316,0.7543859649122807,0.8421052631578947,0.7543859649122807,0.8245614035087719,0.7543859649122807,0.7543859649122807,0.9298245614035088,0.7543859649122807,0.6842105263157895,0.9298245614035088,0.8421052631578947,0.8245614035087719,0.9473684210526316,0.7543859649122807,0.7543859649122807,0.8245614035087719,0.8245614035087719,0.9298245614035088,0.8596491228070176,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8421052631578947,0.9473684210526316,0.9473684210526316,0.8771929824561403,0.7543859649122807,0.8245614035087719,0.8596491228070176,0.7543859649122807,0.9298245614035088,0.6491228070175439,0.8596491228070176,0.6491228070175439,0.7543859649122807,0.7543859649122807,0.7192982456140351,0.7543859649122807,0.8245614035087719,0.912280701754386,0.7543859649122807,0.9298245614035088,0.8245614035087719,0.7543859649122807,0.6491228070175439,0.8947368421052632,0.631578947368421,0.8771929824561403,0.8947368421052632,0.8421052631578947,0.912280701754386,0.9298245614035088,0.8947368421052632,0.7543859649122807,0.9473684210526316,0.8947368421052632,0.7543859649122807,0.7543859649122807,0.631578947368421,0.7543859649122807
test_data_Cl,,0.6428571428571429,0.9285714285714286,0.5714285714285714,0.9285714285714286,0.9285714285714286,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.6428571428571429,0.7142857142857143,0.8571428571428571,0.7142857142857143,1.0,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.9285714285714286,0.8571428571428571,0.7142857142857143,0.9285714285714286,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.8571428571428571,1.0,0.9285714285714286,0.7857142857142857,0.8571428571428571,0.7142857142857143,1.0,1.0,0.7142857142857143,0.8571428571428571,0.7857142857142857,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.9285714285714286,0.9285714285714286,0.6428571428571429,0.7857142857142857,0.9285714285714286,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.9285714285714286,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.7142857142857143,1.0,0.8571428571428571,0.9285714285714286,0.9285714285714286,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,0.7142857142857143,0.7857142857142857,0.9285714285714286,0.8571428571428571,0.7142857142857143,1.0,0.7142857142857143,0.7142857142857143,1.0,0.7142857142857143,1.0,0.7857142857142857,0.7857142857142857,0.9285714285714286,0.7142857142857143,1.0,0.7142857142857143,0.9285714285714286,0.7142857142857143,0.6428571428571429,0.7142857142857143,0.6428571428571429,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.9285714285714286,0.7142857142857143,0.9285714285714286,0.8571428571428571,1.0,1.0,0.7857142857142857,0.7142857142857143,0.8571428571428571,0.7857142857142857,0.7142857142857143,0.9285714285714286,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.7142857142857143,1.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7142857142857143,0.7857142857142857,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.8571428571428571,0.6428571428571429,0.7142857142857143,1.0,0.9285714285714286,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
train_data_Br,,0.8095238095238095,0.6666666666666666,0.7619047619047619,0.9523809523809524,1.0,0.8095238095238095,0.9047619047619048,0.8095238095238095,0.8095238095238095,0.7142857142857143,0.6190476190476191,0.8095238095238095,0.9523809523809524,0.8095238095238095,1.0,0.9523809523809524,0.9047619047619048,0.9523809523809524,0.8571428571428571,0.9523809523809524,0.8095238095238095,0.8095238095238095,1.0,0.8095238095238095,0.8095238095238095,1.0,0.8095238095238095,0.9523809523809524,1.0,0.9523809523809524,0.9047619047619048,0.9047619047619048,0.8095238095238095,1.0,1.0,0.8095238095238095,0.9523809523809524,0.9047619047619048,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.9047619047619048,0.9523809523809524,0.8095238095238095,1.0,0.9047619047619048,0.8095238095238095,0.8095238095238095,0.9047619047619048,0.9523809523809524,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8571428571428571,0.8095238095238095,1.0,0.8095238095238095,1.0,0.9523809523809524,0.9047619047619048,0.8095238095238095,0.9047619047619048,0.8095238095238095,0.8095238095238095,0.8095238095238095,1.0,0.9047619047619048,0.8095238095238095,0.9523809523809524,0.9523809523809524,0.8095238095238095,1.0,0.8095238095238095,0.8095238095238095,1.0,0.8095238095238095,1.0,0.8095238095238095,1.0,0.9523809523809524,0.9047619047619048,1.0,0.9523809523809524,0.9523809523809524,0.8095238095238095,0.7619047619047619,0.8095238095238095,0.7142857142857143,0.8095238095238095,0.8095238095238095,1.0,0.8095238095238095,0.6190476190476191,1.0,0.8095238095238095,0.9523809523809524,0.9523809523809524,0.8095238095238095,0.8095238095238095,0.9523809523809524,0.9523809523809524,1.0,0.9523809523809524,0.8095238095238095,0.9047619047619048,1.0,1.0,1.0,1.0,0.8095238095238095,0.8095238095238095,0.9523809523809524,0.8571428571428571,0.8095238095238095,0.9523809523809524,0.8571428571428571,0.8095238095238095,0.9047619047619048,0.8095238095238095,0.8095238095238095,0.9047619047619048,0.8095238095238095,0.9523809523809524,0.8095238095238095,0.8095238095238095,1.0,0.9523809523809524,0.8095238095238095,0.9047619047619048,0.8095238095238095,0.9047619047619048,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,1.0,0.9523809523809524,0.8095238095238095,0.9523809523809524,1.0,0.8095238095238095,0.8095238095238095,0.9047619047619048,0.8095238095238095
