,t_sisso,t,tau,t_jess,t_sisso_78,t_sisso_27,t_sisso_116,t_sisso_43,t_sisso_29,t_sisso_134,t_sisso_48,t_sisso_123,t_sisso_132,t_sisso_51,t_sisso_138,t_sisso_75,t_sisso_82,t_sisso_9,t_sisso_5,t_sisso_21,t_sisso_31,t_sisso_79,t_sisso_49,t_sisso_73,t_sisso_8,t_sisso_6,t_sisso_72,t_sisso_109,t_sisso_84,t_sisso_139,t_sisso_133,t_sisso_144,t_sisso_41,t_sisso_7,t_sisso_115,t_sisso_88,t_sisso_137,t_sisso_76,t_sisso_125,t_sisso_66,t_sisso_37,t_sisso_93,t_sisso_128,t_sisso_34,t_sisso_40,t_sisso_52,t_sisso_74,t_sisso_22,t_sisso_127,t_sisso_33,t_sisso_17,t_sisso_50,t_sisso_80,t_sisso_86,t_sisso_23,t_sisso_143,t_sisso_45,t_sisso_68,t_sisso_0,t_sisso_77,t_sisso_47,t_sisso_67,t_sisso_32,t_sisso_3,t_sisso_130,t_sisso_126,t_sisso_63,t_sisso_119,t_sisso_39,t_sisso_118,t_sisso_117,t_sisso_129,t_sisso_69,t_sisso_44,t_sisso_120,t_sisso_12,t_sisso_71,t_sisso_131,t_sisso_70,t_sisso_4
train_data,,0.6371681415929203,0.8849557522123894,0.7256637168141593,0.8407079646017699,0.827433628318584,0.7787610619469026,0.8584070796460177,0.8053097345132744,0.831858407079646,0.8672566371681416,0.8053097345132744,0.8053097345132744,0.8672566371681416,0.7831858407079646,0.831858407079646,0.8584070796460177,0.8628318584070797,0.8141592920353983,0.7831858407079646,0.7876106194690266,0.8761061946902655,0.8672566371681416,0.8407079646017699,0.8407079646017699,0.7876106194690266,0.8407079646017699,0.8495575221238938,0.8539823008849557,0.7831858407079646,0.8053097345132744,0.8053097345132744,0.827433628318584,0.831858407079646,0.7876106194690266,0.8584070796460177,0.8053097345132744,0.8407079646017699,0.7831858407079646,0.8407079646017699,0.8097345132743363,0.8539823008849557,0.8008849557522124,0.7876106194690266,0.7876106194690266,0.8672566371681416,0.8407079646017699,0.7477876106194691,0.7831858407079646,0.7876106194690266,0.7831858407079646,0.8672566371681416,0.8407079646017699,0.8584070796460177,0.827433628318584,0.8053097345132744,0.8672566371681416,0.7831858407079646,0.8539823008849557,0.8451327433628318,0.8672566371681416,0.8053097345132744,0.7831858407079646,0.7787610619469026,0.8185840707964602,0.8097345132743363,0.8539823008849557,0.8362831858407079,0.7831858407079646,0.7831858407079646,0.7831858407079646,0.8008849557522124,0.8407079646017699,0.7831858407079646,0.7876106194690266,0.8539823008849557,0.8407079646017699,0.8053097345132744,0.8053097345132744,0.8097345132743363
test_data,,0.5964912280701754,0.8245614035087719,0.631578947368421,0.8421052631578947,0.7894736842105263,0.7368421052631579,0.8421052631578947,0.8245614035087719,0.8421052631578947,0.8771929824561403,0.8245614035087719,0.8596491228070176,0.8771929824561403,0.7894736842105263,0.8070175438596491,0.8947368421052632,0.8947368421052632,0.7719298245614035,0.7543859649122807,0.7368421052631579,0.8771929824561403,0.8771929824561403,0.8421052631578947,0.8245614035087719,0.7368421052631579,0.8421052631578947,0.8771929824561403,0.8771929824561403,0.7894736842105263,0.8596491228070176,0.7719298245614035,0.7719298245614035,0.8245614035087719,0.7543859649122807,0.8771929824561403,0.7719298245614035,0.8421052631578947,0.7543859649122807,0.8421052631578947,0.8245614035087719,0.8771929824561403,0.7894736842105263,0.7543859649122807,0.7368421052631579,0.8771929824561403,0.8421052631578947,0.7719298245614035,0.7543859649122807,0.7543859649122807,0.7894736842105263,0.8771929824561403,0.8421052631578947,0.8596491228070176,0.8070175438596491,0.8421052631578947,0.8771929824561403,0.7719298245614035,0.8947368421052632,0.8421052631578947,0.8771929824561403,0.7719298245614035,0.7543859649122807,0.7543859649122807,0.8070175438596491,0.8070175438596491,0.8596491228070176,0.8245614035087719,0.7543859649122807,0.7368421052631579,0.7368421052631579,0.8070175438596491,0.8421052631578947,0.7368421052631579,0.7543859649122807,0.8947368421052632,0.8421052631578947,0.8596491228070176,0.8070175438596491,0.8421052631578947
all_data,,0.6289752650176679,0.872791519434629,0.7067137809187279,0.8409893992932862,0.8197879858657244,0.7703180212014135,0.8551236749116607,0.8091872791519434,0.833922261484099,0.8692579505300353,0.8091872791519434,0.8162544169611308,0.8692579505300353,0.784452296819788,0.8268551236749117,0.8657243816254417,0.8692579505300353,0.8056537102473498,0.7773851590106007,0.7773851590106007,0.8763250883392226,0.8692579505300353,0.8409893992932862,0.8374558303886925,0.7773851590106007,0.8409893992932862,0.8551236749116607,0.8586572438162544,0.784452296819788,0.8162544169611308,0.7985865724381626,0.8162544169611308,0.8303886925795053,0.7809187279151943,0.8621908127208481,0.7985865724381626,0.8409893992932862,0.7773851590106007,0.8409893992932862,0.8127208480565371,0.8586572438162544,0.7985865724381626,0.7809187279151943,0.7773851590106007,0.8692579505300353,0.8409893992932862,0.7526501766784452,0.7773851590106007,0.7809187279151943,0.784452296819788,0.8692579505300353,0.8409893992932862,0.8586572438162544,0.823321554770318,0.8127208480565371,0.8692579505300353,0.7809187279151943,0.8621908127208481,0.8445229681978799,0.8692579505300353,0.7985865724381626,0.7773851590106007,0.773851590106007,0.8162544169611308,0.8091872791519434,0.8551236749116607,0.833922261484099,0.7773851590106007,0.773851590106007,0.773851590106007,0.8021201413427562,0.8409893992932862,0.773851590106007,0.7809187279151943,0.8621908127208481,0.8409893992932862,0.8162544169611308,0.8056537102473498,0.8162544169611308
train_data_S,,0.48936170212765956,0.8297872340425532,0.8085106382978723,0.574468085106383,0.574468085106383,0.5531914893617021,0.574468085106383,0.5531914893617021,0.574468085106383,0.574468085106383,0.5531914893617021,0.574468085106383,0.574468085106383,0.5531914893617021,0.574468085106383,0.574468085106383,0.574468085106383,0.5531914893617021,0.5531914893617021,0.5531914893617021,0.574468085106383,0.574468085106383,0.574468085106383,0.574468085106383,0.5531914893617021,0.574468085106383,0.574468085106383,0.574468085106383,0.5531914893617021,0.574468085106383,0.6170212765957447,0.5957446808510638,0.6382978723404256,0.5531914893617021,0.574468085106383,0.6170212765957447,0.574468085106383,0.5531914893617021,0.574468085106383,0.6808510638297872,0.574468085106383,0.5531914893617021,0.5531914893617021,0.5531914893617021,0.574468085106383,0.574468085106383,0.5531914893617021,0.5531914893617021,0.5531914893617021,0.5531914893617021,0.574468085106383,0.574468085106383,0.574468085106383,0.5531914893617021,0.5531914893617021,0.574468085106383,0.5531914893617021,0.5957446808510638,0.574468085106383,0.574468085106383,0.6170212765957447,0.5531914893617021,0.5531914893617021,0.574468085106383,0.5531914893617021,0.5957446808510638,0.574468085106383,0.5531914893617021,0.5531914893617021,0.5531914893617021,0.5531914893617021,0.574468085106383,0.5531914893617021,0.5531914893617021,0.574468085106383,0.574468085106383,0.574468085106383,0.574468085106383,0.5531914893617021
test_data_S,,0.5,0.5,0.5833333333333334,0.5833333333333334,0.5,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.75,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334
train_data_I,,0.5294117647058824,0.9705882352941176,0.6764705882352942,0.9411764705882353,0.8823529411764706,0.8529411764705882,0.9705882352941176,0.8529411764705882,0.9117647058823529,1.0,0.8529411764705882,0.9705882352941176,1.0,0.8529411764705882,0.9411764705882353,0.9705882352941176,0.9411764705882353,0.9705882352941176,0.8529411764705882,0.8529411764705882,0.9705882352941176,1.0,0.8823529411764706,0.9705882352941176,0.8529411764705882,0.8823529411764706,0.9117647058823529,0.9705882352941176,0.8529411764705882,0.9705882352941176,0.9411764705882353,0.9705882352941176,0.8529411764705882,0.8529411764705882,0.9705882352941176,0.9411764705882353,0.9411764705882353,0.8529411764705882,0.8823529411764706,0.7058823529411765,0.9705882352941176,0.8529411764705882,0.8529411764705882,0.8529411764705882,1.0,0.8823529411764706,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,1.0,0.9411764705882353,1.0,0.9117647058823529,0.9117647058823529,1.0,0.8529411764705882,0.8529411764705882,0.9117647058823529,1.0,0.9705882352941176,0.8529411764705882,0.8529411764705882,0.9705882352941176,0.8529411764705882,0.9117647058823529,0.9411764705882353,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.8529411764705882,0.9411764705882353,0.8529411764705882,0.8529411764705882,0.9705882352941176,0.8823529411764706,0.9705882352941176,0.9705882352941176,0.8529411764705882
test_data_I,,0.2222222222222222,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.8888888888888888,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6666666666666666,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778
train_data_Cl,,0.631578947368421,0.8771929824561403,0.7192982456140351,0.9298245614035088,0.9473684210526315,0.7543859649122807,0.9473684210526315,0.8947368421052632,0.9122807017543859,0.9473684210526315,0.9473684210526315,0.8070175438596491,0.9473684210526315,0.7543859649122807,0.8771929824561403,0.9649122807017544,0.9298245614035088,0.7894736842105263,0.7543859649122807,0.7543859649122807,0.9824561403508771,0.9473684210526315,0.9824561403508771,0.8947368421052632,0.7543859649122807,0.9824561403508771,0.9298245614035088,0.9298245614035088,0.7543859649122807,0.8070175438596491,0.7719298245614035,0.7894736842105263,0.9122807017543859,0.7543859649122807,0.9473684210526315,0.7719298245614035,0.9298245614035088,0.7543859649122807,0.9824561403508771,0.9122807017543859,0.9298245614035088,0.9298245614035088,0.7543859649122807,0.7543859649122807,0.9473684210526315,0.9824561403508771,0.7543859649122807,0.7543859649122807,0.7543859649122807,0.7543859649122807,0.9473684210526315,0.9298245614035088,0.9122807017543859,0.8947368421052632,0.9122807017543859,0.9473684210526315,0.7543859649122807,0.9649122807017544,0.9824561403508771,0.9649122807017544,0.7368421052631579,0.7543859649122807,0.7543859649122807,0.8245614035087719,0.9473684210526315,0.9473684210526315,0.8947368421052632,0.7543859649122807,0.7543859649122807,0.7543859649122807,0.9298245614035088,0.9298245614035088,0.7543859649122807,0.7543859649122807,0.9473684210526315,0.9824561403508771,0.8070175438596491,0.8070175438596491,0.9473684210526315
test_data_Cl,,0.6428571428571429,0.9285714285714286,0.5,0.9285714285714286,0.9285714285714286,0.7142857142857143,0.9285714285714286,0.8571428571428571,0.9285714285714286,0.9285714285714286,1.0,1.0,0.9285714285714286,0.7142857142857143,0.8571428571428571,1.0,0.9285714285714286,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,0.9285714285714286,1.0,0.9285714285714286,0.7142857142857143,1.0,0.9285714285714286,0.9285714285714286,0.7142857142857143,1.0,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.7142857142857143,1.0,0.7142857142857143,0.9285714285714286,0.7142857142857143,1.0,0.9285714285714286,1.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.9285714285714286,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.8571428571428571,1.0,0.9285714285714286,0.7142857142857143,0.9285714285714286,0.9285714285714286,1.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.9285714285714286,1.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.9285714285714286,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,0.9285714285714286,0.9285714285714286
train_data_Br,,0.6190476190476191,0.9523809523809523,0.5238095238095238,0.9523809523809523,1.0,0.8095238095238095,0.9523809523809523,0.8095238095238095,0.9523809523809523,0.9523809523809523,0.8095238095238095,0.9047619047619048,0.9523809523809523,0.8095238095238095,0.9523809523809523,0.9523809523809523,1.0,0.9523809523809523,0.8095238095238095,0.8095238095238095,1.0,0.9523809523809523,0.9047619047619048,0.9523809523809523,0.8095238095238095,0.9047619047619048,1.0,1.0,0.8095238095238095,0.9047619047619048,0.9523809523809523,0.9523809523809523,0.9047619047619048,0.8095238095238095,1.0,0.9523809523809523,0.9523809523809523,0.8095238095238095,0.9047619047619048,0.9047619047619048,0.9523809523809523,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.9523809523809523,0.9047619047619048,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9047619047619048,0.9047619047619048,0.9523809523809523,0.8095238095238095,1.0,0.9523809523809523,1.0,0.9523809523809523,0.8095238095238095,0.8095238095238095,0.9523809523809523,0.8571428571428571,1.0,0.9523809523809523,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.9523809523809523,0.8095238095238095,0.8095238095238095,0.9523809523809523,0.9047619047619048,0.9047619047619048,0.9523809523809523,0.8095238095238095
