material,exp_label,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,chi_AX_ratio,chi_BX_ratio,log_rA_rB_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,rA_rB_ratio,t_sisso_291,t,tau,t_jess,t_sisso_5,t_sisso_219,t_sisso_55,t_sisso_14,t_sisso_37,t_sisso_124,t_sisso_58,t_sisso_39,t_sisso_212,t_sisso_223,t_sisso_51,t_sisso_46,t_sisso_181,t_sisso_23,t_sisso_177,t_sisso_33,t_sisso_10,p_t_sisso_5,p_t_sisso_219,p_t_sisso_55,p_t_sisso_14,p_t_sisso_124,p_t_sisso_39,p_t_sisso_23,p_t_sisso_177,p_t_sisso_33,p_t_sisso_10
BaVS3,0.0,161.04,58.44,184.4,2.0,4.0,-2.0,0.89,1.63,2.58,0.3152173913043478,0.875,-1.69,-0.9500000000000002,-2.55,-1.81,0.6627450980392157,0.5248618784530388,1.0209613544380438,-3.22934977,-4.348428499999998,-7.00838179000003,-2.0224315294266337,-4.348428649274164,0.8145175879610062,0.1815487042226235,-0.78074486180114,-2.847077729734469,5.363406047114364,7.169663669121636,11.769320157021456,219.67,148.18,74.72999999999999,266.14000000000004,205.66,84.92999999999999,131.01,47.59,273.21,2.75564681724846,0.24114153250590592,1.0058622211650134,4.592438787739428,1.2701060674186413,1.5179621883141317,0.16079046806761213,1.2260394794380436,-1.089597011968811,0.7270082047201537,0.16079046806761213,1.2260394794380436,0.7270082047201537,0.16079046806761213,0.16079046806761213,1.2260394794380436,1.2260394794380436,-2.2706125207658463,0.8614602031690715,-1.14913857209669,0.6323916201995428,-0.23613770947051807,1.4301362524828017e-05,0.017680521442321614,0.0010463343258447185,6.735729773433359e-05,0.017680521442321614,0.00434320026816119,0.0012919148258408704,0.016486025830279746,7.003900226848106e-05,0.06937420907290995
RbPbI3,0.0,172.2,118.46,219.49,1.0,2.0,-1.0,0.82,2.33,2.66,0.5409090909090909,0.7818181818181817,-1.8400000000000003,-0.33,-2.62,-1.11,0.7022900763358779,0.2972972972972972,0.3683709837019236,-2.23129531,-3.496077730000001,-7.083940510000032,-0.6626547127478113,-3.4960778500144083,0.2908709899851069,-0.5654554674099543,-0.8830451593257576,-3.4344351648747526,4.153592876586776,6.576348032711487,11.131355946143175,231.42,103.96,90.24,324.0,140.49,107.49,240.1,56.76,41.190000000000005,1.4536552422758737,0.17087981475459768,0.8195512732583964,4.738796336437963,1.935983715594436,1.0173870929321862,0.20647797626659642,1.0173870929321862,-0.8461309874778865,0.9416422455933817,0.20647797626659642,1.0173870929321862,0.9416422455933817,0.20647797626659642,0.20647797626659642,1.0173870929321862,1.0173870929321862,-0.9882754730136161,0.7552013445611743,-1.0238455638084063,0.5992871200958785,0.22233282402062238,0.04381950228550641,0.10215064175399739,0.036617319104810565,0.5565587753448921,0.10215064175399739,0.215277070508572,0.14562330085044028,0.08656413036421641,0.05851480955338187,0.8989387543633055
SnVS3,0.0,115.87,58.44,184.4,2.0,4.0,-2.0,1.96,1.63,2.58,0.3152173913043478,0.6249999999999999,-0.6200000000000001,-0.9500000000000002,-1.48,-1.81,0.4189189189189189,0.5248618784530388,0.6844891178168307,-3.6934392700000016,-4.348428499999998,-7.00838179000003,-3.693439396789498,-4.348428649274164,0.8145175879610062,-1.0130803347838755,-0.78074486180114,-2.847077729734469,6.875250052003975,7.169663669121636,11.769320157021456,106.59,148.18,74.72999999999999,135.54,205.66,84.92999999999999,46.940000000000005,47.59,273.21,1.9827173169062287,0.16166993406407393,0.874334903743685,4.948825722656777,0.6978510874688216,1.1843267284504924,0.10034736399161572,1.0653484928168306,-0.8587610368054749,0.6501630810112898,0.10034736399161572,1.0653484928168306,0.6501630810112898,0.10034736399161572,0.10034736399161572,1.0653484928168306,1.0653484928168306,-1.6574483954385264,0.6854583280492981,-0.9139006719291228,0.5841621999582796,0.11088521981050872,0.003075078260337255,0.0016009089470229504,0.01633081553526301,0.4277982793894048,0.0016009089470229504,0.0009883966371369544,0.8146643958435155,0.339463101488459,0.5852945142822258,0.7438074373471526
NaNiCl3,0.0,139.25,69.57,180.61,1.0,2.0,-1.0,0.93,1.91,3.16,0.3812154696132596,0.7679558011049723,-2.23,-1.2500000000000002,-2.51,-1.53,0.8884462151394423,0.8169934640522877,0.7003674285334324,-2.7445312200000007,-4.439555410000002,-8.594666479999974,-2.7445313142150973,-4.4395555624023935,0.0197235606770763,-0.7570217149871556,-1.3513871613897686,-3.935229981089612,5.147636303709317,7.898771670150475,13.876021229339663,175.88,125.17,67.85000000000001,260.21000000000004,156.73999999999998,75.67,845.6800000000001,33.809999999999995,224.95,2.001581141296536,0.20979207829870483,0.9040520615640473,4.480472965526123,0.9831187980399594,1.015416601844712,0.17951946966532026,1.015416601844712,-0.914017633712268,0.7767870402407648,0.17951946966532026,1.015416601844712,0.7767870402407648,0.17951946966532026,0.17951946966532026,1.015416601844712,1.015416601844712,-1.5094931195016201,0.6891562939384555,-0.8964696869111787,0.5892894126085005,-0.011462838327903693,0.045174863752553564,0.03688207944689209,0.037838076005359815,0.07262533214694962,0.03688207944689209,0.011276515534315919,0.7867553671901355,0.4088637858630233,0.3277295868811502,0.4345124838564997
CsHgBr3,1.0,188.28,103.04,195.56,1.0,2.0,-1.0,0.79,2.0,2.96,0.5204081632653061,0.9591836734693876,-2.17,-0.96,-2.65,-1.44,0.8188679245283019,0.6666666666666666,0.6114691495456782,-2.0859241200000014,-6.807995810000004,-7.858438990000018,-0.4792429764515966,-0.952083492683411,0.0551102718918419,-0.5452966317296846,1.3885838835805904,-3.6781509272527466,3.8635765556284616,10.679763451594113,12.554312316976,253.57,116.75,75.14,319.04,173.51,88.34,202.25,61.58,22.81,1.827251552795031,0.2702742531734047,0.9089636657167147,3.9291118985530615,1.1164817856256253,0.6881718839505608,0.313037447506959,0.6881718839505607,-0.8097176007541992,1.1868311672857397,0.313037447506959,0.6881718839505607,1.1868311672857397,0.313037447506959,0.313037447506959,0.6881718839505607,0.6881718839505607,-1.3150262709528961,0.6221027590881616,-0.7748686613681093,0.5710929859974323,-0.00026741628112973486,0.9015038768669762,0.8825259293039206,0.9161431559553,0.8486435185079123,0.8825259293039206,0.968824185936521,0.9888067531608143,0.855243022118942,0.9558396333680351,0.4652056734437653
CsCdCl3,1.0,188.28,95.14,180.61,1.0,2.0,-1.0,0.79,1.69,3.16,0.5248618784530387,1.0386740331491713,-2.37,-1.4700000000000002,-2.65,-1.75,0.8943396226415095,0.8400000000000001,0.6825650712294085,-2.0859241200000014,-5.657022910000005,-8.594666479999974,-0.4792429764515966,-1.1571185497219154,0.0197235606770763,-0.5452966317296846,0.9482623915387752,-3.935229981089612,3.8635765556284616,9.27193000127873,13.876021229339663,253.57,123.55,67.85000000000001,319.04,179.66,75.67,202.25,51.92,224.95,1.978978347698129,0.30493013670738356,0.9459484227578101,3.797619363835403,1.0071418517232749,0.6006721184006086,0.3391595746302277,0.6006721184006085,-0.7860759750460341,1.1580329731096182,0.3391595746302277,0.6006721184006085,1.1580329731096182,0.3391595746302277,0.3391595746302277,0.6006721184006085,0.6006721184006085,-1.2568583360474892,0.5593120348212635,-0.7412749912432548,0.5613431787776295,0.07855370046915831,0.9737695976684448,0.9541694284398298,0.9797102710243166,0.9367867754772394,0.9541694284398298,0.9468190801770938,0.9994014895389499,0.9115955995462629,0.9939797165633317,0.6733901226437928
CaLiBr3,0.0,133.65,75.66,195.56,2.0,1.0,-1.0,1.0,0.98,2.96,0.3877551020408163,0.6836734693877552,-1.96,-1.98,-2.44,-2.46,0.8032786885245902,0.8048780487804879,0.5671064596645805,-3.766160950000002,-2.8741409099999977,-7.858438990000018,-1.9458476867976409,-1.0207578250408813,0.0551102718918419,0.1499954621481116,-0.7561139179561087,-3.6781509272527466,6.309260154585895,5.297381732850112,12.554312316976,179.84,165.76,75.14,231.02,201.34,88.34,67.61,674.19,22.81,1.766455194290246,0.17352477715010284,0.8582966220054705,4.793977213354276,0.8565911145598559,0.9312245142166804,0.1925084852948301,0.9312245142166804,-0.8878285080508475,0.8076412806261867,0.1925084852948301,0.9312245142166804,0.8076412806261867,0.1925084852948301,0.1925084852948301,0.9312245142166804,0.9312245142166804,-1.5141905822172719,0.6740930624383119,-0.8171224735100533,0.5799136209383935,0.004625385116955989,0.15589529614161854,0.060777898305929744,0.14443839706720363,0.1854564350552068,0.060777898305929744,0.020272127959951567,0.8828548220163471,0.739443084288606,0.7739486961351298,0.4787164346983243
BaUS3,1.0,161.04,88.69,184.4,2.0,4.0,-2.0,0.89,1.38,2.58,0.483695652173913,0.875,-1.69,-1.2000000000000002,-2.55,-2.06,0.6627450980392157,0.5825242718446603,0.5927679952523233,-3.22934977,-1.99527278,-7.00838179000003,-2.0224315294266337,-1.9952728484943232,0.8145175879610062,0.1815487042226235,0.546861732757815,-2.847077729734469,5.363406047114364,5.590257855882314,11.769320157021456,219.67,187.98,74.72999999999999,266.14000000000004,241.76,84.92999999999999,131.01,131.23,273.21,1.8157627691960763,0.23911123177076526,0.8944435233355738,4.167150786152003,1.0176195039674725,0.7978461202523233,0.27794187553786703,0.7978461202523233,-0.81317737577674,1.0911768876635712,0.27794187553786703,0.7978461202523233,1.0911768876635712,0.27794187553786703,0.27794187553786703,0.7978461202523233,0.7978461202523233,-1.3173275223867145,0.6597367791733486,-0.8071090044886221,0.5787503803054521,0.019060138497957513,0.6127093882278839,0.65808069460954,0.6273839318069246,0.8294443051390586,0.65808069460954,0.8302456856651225,0.9370980047777345,0.7720392983196186,0.8136493979310987,0.5186350492232007
AgCoF3,1.0,152.13,74.25,133.15,1.0,2.0,-1.0,1.93,1.88,3.98,0.5601503759398496,0.962406015037594,-2.05,-2.1,-1.51,-1.56,1.357615894039735,1.3461538461538465,0.5412311385341034,-4.402160580000001,-4.433222810000001,-11.111416699999976,-0.2462930884548233,0.1435549649279978,1.136681619020348,-1.4755869046631138,-1.3590473276566433,-4.336301480858267,7.75596378025508,7.672566418386976,19.391595983680425,132.41000000000005,128.78,40.44,190.44,161.4,37.4,54.86,35.82,143.19,2.048888888888889,0.2622790274137522,0.9726322597641105,3.6496658646303652,0.9809138967914299,0.6500707920229694,0.3090560960160607,0.650070792022969,-0.8504014093281516,1.2893376978113007,0.3090560960160607,0.650070792022969,1.2893376978113007,0.3090560960160607,0.3090560960160607,0.650070792022969,0.650070792022969,-0.4419370073614258,0.6416086138383825,-0.7885749050932208,0.5725958818418171,0.34767937798692466,0.9439424552897112,0.8654876656194892,0.9542861660511708,0.5129867862508404,0.8654876656194892,0.9955913637945097,0.9723526414818765,0.8238024642815377,0.9405202274702117,0.9667595308232305
KBaF3,0.0,164.19,134.51,133.15,1.0,2.0,-1.0,0.82,0.89,3.98,1.0150375939849623,1.2330827067669172,-3.16,-3.09,-2.62,-2.55,1.2061068702290076,1.211764705882353,0.1945916493857687,-2.318921259999999,-3.22934977,-11.111416699999976,-0.7664318763103054,-2.0224315294266337,1.136681619020348,-0.6361622968393374,0.1815487042226235,-4.336301480858267,4.31357484707873,5.363406047114364,19.391595983680425,220.49,219.67,40.44,302.81,266.14000000000004,37.4,207.8,131.01,143.19,1.220652739573266,0.19825623692422617,0.7855176714389532,6.111955379155253,0.7818500205606717,1.1936726684839238,0.026016123701990718,1.193672668483924,-1.6120064387087576,0.41586544810639237,0.026016123701990718,1.193672668483924,0.41586544810639237,0.026016123701990718,0.026016123701990718,1.193672668483924,1.193672668483924,-4.481687965449593,0.8515886036056406,-2.773028543796533,0.6383168215045587,-3.5013163249136956,0.002645520333725083,8.530690858647754e-05,0.0018212822772661827,1.0977647830781849e-13,8.530690858647754e-05,1.074889767006414e-05,0.0020274073911559338,1.650345633595759e-11,2.090601946305921e-05,9.172503693070204e-14
