,material,exp_label,rA,rB,rX,nA,nB,nX,chiA,chiB,chiX,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rX_rB_ratio,chi_AX_ratio,chi_BX_ratio,log_rA_rB_ratio,t_sisso,t,tau,t_jess,p_t_sisso,dataset
0,PbZrS3,0.0,1.49,0.72,1.84,2.0,4.0,-2.0,2.33,1.33,2.58,2.0694444444444446,0.3913043478260869,0.8097826086956521,-0.25,-1.25,-1.11,-2.11,2.555555555555556,0.2252252252252252,0.5924170616113744,0.7272801869294039,2.4520942685576266,0.919793559655214,4.246469405915466,0.3496872812382884,0.5833990876652481,train
1,CsCdBr3,1.0,1.88,0.95,1.96,1.0,2.0,-1.0,0.79,1.69,2.96,1.9789473684210528,0.4846938775510204,0.9591836734693876,-2.17,-1.27,-2.65,-1.75,2.0631578947368423,0.8188679245283019,0.7257142857142858,0.6825650712294085,2.327290132955413,0.9330917111786649,3.962438053999392,1.052864588679536,0.77439708339266,train
2,RbMnF3,1.0,1.72,0.83,1.33,1.0,2.0,-1.0,0.82,1.55,3.98,2.072289156626506,0.6240601503759398,1.2932330827067668,-3.16,-2.43,-2.62,-1.89,1.602409638554217,1.2061068702290076,1.2857142857142858,0.7286538690168551,2.020520688839402,0.9984634792831594,3.4464062805024263,0.9366417371392488,0.966911421199383,train
3,BaVSe3,0.0,1.61,0.58,1.98,2.0,4.0,-2.0,0.89,1.63,2.55,2.775862068965518,0.2929292929292929,0.8131313131313131,-1.6599999999999997,-0.92,-2.55,-1.81,3.4137931034482767,0.6509803921568627,0.5082872928176796,1.0209613544380438,3.718556639739203,0.991609273021687,4.851534810123166,1.2699868805289685,0.0002278331250976,train
4,NdYbSe3,0.0,1.27,0.868,1.98,3.0,3.0,-2.0,1.14,1.1,2.55,1.463133640552995,0.4383838383838384,0.6414141414141414,-1.41,-1.4499999999999995,-2.3,-2.34,2.28110599078341,0.6130434782608696,0.6196581196581195,0.3805804647922866,2.860402537916664,0.8069181277131815,4.814543273368671,0.7983045488986124,0.0694615615988063,train
5,RbVF3,1.0,1.72,0.79,1.33,1.0,2.0,-1.0,0.82,1.63,3.98,2.1772151898734178,0.5939849624060151,1.2932330827067668,-3.16,-2.35,-2.62,-1.81,1.6835443037974682,1.2061068702290076,1.298342541436464,0.7780466243464316,2.068892345008541,1.0173024128545398,3.481853713214037,0.9450321391201602,0.9544657730162612,train
6,AgCuF3,1.0,1.28,0.73,1.33,1.0,2.0,-1.0,1.93,1.9,3.98,1.7534246575342467,0.5488721804511277,0.962406015037594,-2.05,-2.08,-1.51,-1.54,1.8219178082191785,1.357615894039735,1.3506493506493509,0.561570822771226,2.298898140719753,0.8958996834007227,3.944274929412707,0.9005206636831636,0.8077259448974435,train
7,CsFeCl3,0.0,1.88,0.78,1.81,1.0,2.0,-1.0,0.79,1.83,3.16,2.41025641025641,0.430939226519337,1.0386740331491713,-2.37,-1.33,-2.65,-1.61,2.3205128205128203,0.8943396226415095,0.8260869565217391,0.8797331361403574,2.647463432176089,1.0074249402213424,4.060271403247239,1.0906600494829273,0.2540370872461946,train
8,NaMgBr3,0.0,1.39,0.72,1.96,1.0,2.0,-1.0,0.93,1.31,2.96,1.930555555555556,0.3673469387755102,0.7091836734693877,-2.03,-1.65,-2.51,-2.13,2.722222222222222,0.8087649402390438,0.7746478873239436,0.6578078141146367,2.735350904811815,0.8838857029719773,4.657054424168544,0.9228138092673024,0.1534264526567974,train
9,RbCdF3,1.0,1.72,0.95,1.33,1.0,2.0,-1.0,0.82,1.69,3.98,1.810526315789473,0.7142857142857142,1.2932330827067668,-3.16,-2.29,-2.62,-1.75,1.4,1.2061068702290076,1.3085714285714285,0.5936175852129121,2.056954701332557,0.9459127698472036,3.449987670328356,0.8718453310535412,0.957906043176602,train
