,t_sisso,t,tau,t_jess
train_data,0.9070796460176991,0.6194690265486725,0.8495575221238938,0.7345132743362832
test_data,0.9298245614035088,0.5087719298245614,0.8596491228070176,0.7368421052631579
all_data,0.911660777385159,0.5971731448763251,0.8515901060070671,0.734982332155477
train_data_S,0.72,0.52,0.62,0.76
test_data_S,1.0,0.3333333333333333,0.8888888888888888,0.8888888888888888
train_data_Br,1.0,0.6363636363636364,0.9545454545454546,0.5
test_data_Br,0.8,0.4,0.8,0.8
train_data_F,0.9433962264150944,0.9245283018867925,0.9433962264150944,0.8113207547169812
test_data_F,0.9230769230769231,0.7692307692307693,0.8461538461538461,0.7692307692307693
train_data_Se,1.0,0.5,0.8333333333333334,0.75
test_data_Se,1.0,0.4,0.8,0.8
train_data_Cl,1.0,0.5686274509803921,0.9019607843137255,0.7450980392156863
test_data_Cl,0.95,0.5,0.9,0.6
train_data_I,0.8947368421052632,0.42105263157894735,0.8947368421052632,0.7105263157894737
test_data_I,0.8,0.4,0.8,0.8
5-fold CV,0.8980676328502415,0.5793236714975846,0.845024154589372,0.6990338164251206
