Unnamed: 0,A,B,X,nA,nB,nX,chi_A,chi_B,chi_X,rA,rB,rX,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,chi_AX_ratio,chi_BX_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,t_sisso,t,tau,t_jess
BaCeS3,Ba,Ce,S,2.0,4.0,-2.0,0.89,1.12,2.58,161.04,86.8,184.4,-1.69,-1.46,-2.55,-2.32,1.855299539170507,0.4707158351409978,0.8733188720173535,0.6627450980392157,0.6293103448275862,-3.22934977,-2.5303330600000007,-7.00838179000003,-2.0224315294266337,-2.5303331468620374,0.8145175879610062,0.1815487042226235,0.0869328039854952,-2.847077729734469,5.363406047114364,5.700526061695872,11.769320157021456,219.67,204.28,74.72999999999999,266.14000000000004,257.54,84.92999999999999,131.01,118.68,273.21,0.8252970835167687,0.9006769239959878,4.128181158795017,0.948529165620056
BaUS3,Ba,U,S,2.0,4.0,-2.0,0.89,1.38,2.58,161.04,88.69,184.4,-1.69,-1.2000000000000002,-2.55,-2.06,1.8157627691960765,0.4809652928416486,0.8733188720173535,0.6627450980392157,0.5825242718446603,-3.22934977,-1.9952727799999996,-7.00838179000003,-2.0224315294266337,-1.9952728484943232,0.8145175879610062,0.1815487042226235,0.546861732757815,-2.847077729734469,5.363406047114364,5.590257855882314,11.769320157021456,219.67,187.98,74.72999999999999,266.14000000000004,241.76,84.92999999999999,131.01,131.23,273.21,0.8037565617947121,0.8944435233355738,4.167150786152003,1.0176195039674725
EuUS3,Eu,U,S,2.0,4.0,-2.0,1.2,1.38,2.58,143.72,88.69,184.4,-1.38,-1.2000000000000002,-2.24,-2.06,1.6204758146352465,0.4809652928416486,0.7793926247288503,0.6160714285714286,0.5825242718446603,-2.76744646,-1.9952727799999996,-7.00838179000003,-2.7674465550017397,-1.9952728484943232,0.8145175879610062,0.4802925635161391,0.546861732757815,-2.847077729734469,6.002313428086848,5.590257855882314,11.769320157021456,31.35,187.98,74.72999999999999,267.74,241.76,84.92999999999999,114.02,131.23,273.21,0.7886681619177286,0.8495970613619397,4.793091540711075,0.8985247492707299
EuUSe3,Eu,U,Se,2.0,4.0,-2.0,1.2,1.38,2.55,143.72,88.69,198.14,-1.35,-1.17,-2.24,-2.06,1.6204758146352465,0.4476127990309882,0.7253457151509034,0.6026785714285713,0.5679611650485437,-2.76744646,-1.9952727799999996,-6.510488250000024,-2.7674465550017397,-1.9952728484943232,-0.2111875472497096,0.4802925635161391,0.546861732757815,-2.730814399751447,6.002313428086848,5.590257855882314,10.84576444731508,31.35,187.98,79.97,267.74,241.76,95.78,114.02,131.23,23.97,0.82644199943421,0.8427714434835971,4.948013177874227,0.8942870056196135
EuInS3,Eu,In,S,3.0,3.0,-2.0,1.2,1.78,2.58,122.38,79.56,184.4,-1.38,-0.8,-2.24,-1.66,1.5382101558572143,0.4314533622559653,0.6636659436008676,0.6160714285714286,0.4819277108433735,-2.76744646,-2.5178859200000034,-7.00838179000003,-2.7674465550017397,-2.517886006434747,0.8145175879610062,0.4802925635161391,-0.1678385307595446,-2.847077729734469,6.002313428086848,5.364511578154709,11.769320157021456,31.35,114.07,74.72999999999999,267.74,151.32,84.92999999999999,114.02,49.29,273.21,0.8036398501973033,0.8218168084792943,4.034007382232251,1.050568049589491
EuInSe3,Eu,In,Se,3.0,3.0,-2.0,1.2,1.78,2.55,122.38,79.56,198.14,-1.35,-0.7699999999999998,-2.24,-1.66,1.5382101558572143,0.4015342686988998,0.6176440900373473,0.6026785714285713,0.4638554216867468,-2.76744646,-2.5178859200000034,-6.510488250000024,-2.7674465550017397,-2.517886006434747,-0.2111875472497096,0.4802925635161391,-0.1678385307595446,-2.730814399751447,6.002313428086848,5.364511578154709,10.84576444731508,31.35,114.07,79.97,267.74,151.32,95.78,114.02,49.29,23.97,0.812642118951077,0.8161412906491269,4.206707231402688,1.0603969343371369
PrPbS3,Pb,Pr,S,2.0,4.0,-2.0,2.33,1.13,2.58,149.22,84.98,184.4,-0.25,-1.4500000000000002,-1.11,-2.31,1.7559425747234645,0.4608459869848156,0.8092190889370933,0.2252252252252252,0.6277056277056278,-3.496077730000001,-2.320982129999998,-7.00838179000003,-3.4960778500144083,-2.320982209675374,0.8145175879610062,-0.8830451593257576,0.1152585549847216,-2.847077729734469,6.576348032711487,5.700078313684422,11.769320157021456,103.96,201.97,74.72999999999999,140.49,271.35,84.92999999999999,56.76,117.98,273.21,0.8423194671474582,0.8757352386235387,4.407664818179315,0.3142200064026677
CePbS3,Pb,Ce,S,2.0,4.0,-2.0,2.33,1.12,2.58,149.22,86.8,184.4,-0.25,-1.46,-1.11,-2.32,1.7191244239631336,0.4707158351409978,0.8092190889370933,0.2252252252252252,0.6293103448275862,-3.496077730000001,-2.5303330600000007,-7.00838179000003,-3.4960778500144083,-2.5303331468620374,0.8145175879610062,-0.8830451593257576,0.0869328039854952,-2.847077729734469,6.576348032711487,5.700526061695872,11.769320157021456,103.96,204.28,74.72999999999999,140.49,257.54,84.92999999999999,56.76,118.68,273.21,0.821128780167819,0.86985825435254,4.470221291049585,0.3113154310283064
UPbS3,Pb,U,S,2.0,4.0,-2.0,2.33,1.38,2.58,149.22,88.69,184.4,-0.25,-1.2000000000000002,-1.11,-2.06,1.682489570413801,0.4809652928416486,0.8092190889370933,0.2252252252252252,0.5825242718446603,-3.496077730000001,-1.9952727799999996,-7.00838179000003,-3.4960778500144083,-1.9952728484943232,0.8145175879610062,-0.8830451593257576,0.546861732757815,-2.847077729734469,6.576348032711487,5.590257855882314,11.769320157021456,103.96,187.98,74.72999999999999,140.49,241.76,84.92999999999999,56.76,131.23,273.21,0.7995882584457626,0.8638381433974471,4.5468505961681895,0.3339914743616256
SrPrS3,Sr,Pr,S,2.0,4.0,-2.0,0.95,1.13,2.58,144.48,84.98,184.4,-1.63,-1.4500000000000002,-2.49,-2.31,1.7001647446457988,0.4608459869848156,0.7835140997830802,0.6546184738955824,0.6277056277056278,-3.5257832000000016,-2.320982129999998,-7.00838179000003,-1.2811882639810177,-2.320982209675374,0.8145175879610062,0.150586057166743,0.1152585549847216,-2.847077729734469,5.884929518021573,5.700078313684422,11.769320157021456,195.84,201.97,74.72999999999999,254.93,271.35,84.92999999999999,111.21,117.98,273.21,0.8332443800261069,0.8632929838694006,4.57687225473787,0.900306625720386
