Unnamed: 0,target,reactants,reaction_energy(eV/atom),inverse_hull_energy(eV/atom),reaction,competing phases
0,SrUSe3,"['SrSe', 'USe2']",-0.0001999999999952,-0.000199999999995,SrSe + USe2 -> SrUSe3,[]
0,CaZrS3,"['CaS', 'ZrS2']",-0.0001999999999867,-0.000199999999987,CaS + ZrS2 -> CaZrS3,[]
0,CaCeS3,"['CeS2', 'CaS']",-0.0001999999999981,-0.0001999999999977,CeS2 + CaS -> CaCeS3,[]
0,EuHfS3,"['HfS', 'EuS2']",-0.3733372305000006,-0.2232840421666395,HfS + EuS2 -> EuHfS3,"[['Eu3S4', 'HfS3']]"
1,EuHfS3,"['HfS2', 'EuS']",-0.004473731499992,-0.0044737314999938,HfS2 + EuS -> EuHfS3,[]
0,SrPrS3,"['PrS2', 'SrS']",-0.0001999999999988,-0.0001999999999986,PrS2 + SrS -> SrPrS3,[]
0,CaHfS3,"['HfS2', 'CaS']",-0.0002000000000009,-0.0002000000000004,HfS2 + CaS -> CaHfS3,[]
0,EuGdS3,"['GdS2', 'EuS']",-0.0073250347058632,-0.0001999999999764,GdS2 + EuS -> EuGdS3,"[['Eu3S4', 'Gd10S19'], ['Eu3S4', 'Eu(GdS2)2']]"
0,SrUS3,"['SrS', 'SrU2S5']",-0.0002000000000023,-0.0002000000000021,0.5 SrS + 0.5 SrU2S5 -> SrUS3,[]
0,UInS3,"['In2S3', 'U2S3']",-0.014956599374976,-0.0065253750832958,0.5 In2S3 + 0.5 U2S3 -> UInS3,"[['US2', 'InS'], ['U3S5', 'InS']]"
1,UInS3,"['US2', 'InS']",-0.0002000000000222,-0.0002000000000208,US2 + InS -> UInS3,[]
0,EuUS3,"['EuS2', 'US']",-0.2986181749999985,-0.0241628084999891,EuS2 + US -> EuUS3,"[['Eu3S4', 'US3'], ['US3', 'EuS'], ['US2', 'EuS'], ['U3S5', 'EuS'], ['U2S3', 'EuS']]"
1,EuUS3,"['U3S5', 'Eu3S4']",-0.0465606919999942,-0.0241628084999891,0.3333 U3S5 + 0.3333 Eu3S4 -> EuUS3,"[['US2', 'EuS'], ['US3', 'EuS']]"
2,EuUS3,"['US2', 'EuS']",-0.000200000000018,-0.0002000000000172,US2 + EuS -> EuUS3,[]
0,PrInS3,"['PrS2', 'InS']",-0.0547392278750009,-0.0416225094000051,PrS2 + InS -> PrInS3,"[['Pr10S19', 'In2S3'], ['Pr2S3', 'In2S3']]"
1,PrInS3,"['In2S3', 'Pr2S3']",-0.000199999999981,-0.0001999999999808,0.5 In2S3 + 0.5 Pr2S3 -> PrInS3,[]
0,CeYS3,"['CeS2', 'YS']",-0.2238827501666633,-0.0585578188333313,CeS2 + YS -> CeYS3,"[['Ce(YS2)3', 'Ce2S3'], ['Ce(YS2)3', 'CeS'], ['Y2S3', 'CeS'], ['Y5S7', 'CeS']]"
1,CeYS3,"['Ce(YS2)3', 'Ce2S3']",-0.0001999999999611,-0.0001999999999595,0.3333 Ce(YS2)3 + 0.3333 Ce2S3 -> CeYS3,[]
0,TbInS3,"['InS', 'TbS2']",-0.0708217151250018,-0.0708217151250014,InS + TbS2 -> TbInS3,"[['Tb2S3', 'In2S3']]"
1,TbInS3,"['In2S3', 'Tb2S3']",-0.0001999999999803,-0.0001999999999808,0.5 In2S3 + 0.5 Tb2S3 -> TbInS3,[]
0,CeScS3,"['ScS', 'CeS2']",-0.1943157570000053,-0.0925764160000026,ScS + CeS2 -> CeScS3,"[['Sc2S3', 'CeS']]"
1,CeScS3,"['Sc2S3', 'Ce2S3']",-0.0050396877500063,-0.0050396877500054,0.5 Sc2S3 + 0.5 Ce2S3 -> CeScS3,[]
0,LaInS3,"['LaS2', 'InS']",-0.0541881074166688,-0.0541881074166683,LaS2 + InS -> LaInS3,"[['La3InS6', 'In2S3']]"
1,LaInS3,"['In2S3', 'La3InS6']",-0.000200000000003,-0.000200000000003,0.3333 In2S3 + 0.3333 La3InS6 -> LaInS3,[]
0,EuUSe3,"['EuSe', 'USe2']",-0.0001999999999966,-0.0001999999999959,EuSe + USe2 -> EuUSe3,[]
0,BaSnS3,"['BaS2', 'SnS']",-0.0834707216111084,-0.0359194276111116,BaS2 + SnS -> BaSnS3,"[['Ba2SnS4', 'BaS3'], ['Ba3Sn2S7', 'BaS3'], ['Ba6Sn7S20', 'Ba3Sn2S7']]"
1,BaSnS3,"['BaSn2S3', 'BaS3']",-0.0812066656111149,-0.035919427611037,0.5 BaSn2S3 + 0.5 BaS3 -> BaSnS3,"[['Ba8Sn4S15', 'SnS'], ['Ba2SnS4', 'SnS'], ['Ba3Sn2S7', 'SnS'], ['Ba6Sn7S20', 'Ba3Sn2S7']]"
2,BaSnS3,"['Ba3Sn2S7', 'Ba6Sn7S20']",-0.0001999999998247,-0.0001999999998245,0.1111 Ba3Sn2S7 + 0.1111 Ba6Sn7S20 -> BaSnS3,[]
0,TbSmSe3,"['Tb2Se3', 'Sm2Se3']",-0.0001999999999981,-0.0001999999999995,0.5 Tb2Se3 + 0.5 Sm2Se3 -> TbSmSe3,[]
0,BaZrS3,"['ZrS', 'BaS2']",-0.382149516999992,-0.1342763188499969,ZrS + BaS2 -> BaZrS3,"[['Zr3S4', 'BaS'], ['Ba3Zr2S7', 'Zr3S4']]"
1,BaZrS3,"['Ba3Zr2S7', 'ZrS2']",-0.0185139450001816,-0.0185139450001816,0.3333 Ba3Zr2S7 + 0.3333 ZrS2 -> BaZrS3,[]
2,BaZrS3,"['BaS', 'ZrS2']",-0.066886415000009,-0.0185139450000315,BaS + ZrS2 -> BaZrS3,['Ba3Zr2S7']
0,TbScS3,"['TbS2', 'ScS']",-0.2100996034999894,-0.0471678522499825,TbS2 + ScS -> TbScS3,"[['Tb2S3', 'Sc2S3'], ['Tb3Sc2S7', 'Sc2S3']]"
1,TbScS3,"['Sc2S3', 'Tb2S3']",-0.0001999999999753,-0.0001999999999764,0.5 Sc2S3 + 0.5 Tb2S3 -> TbScS3,[]
0,BaUS3,"['BaS2', 'US']",-0.3209084235000008,-0.1113418490999995,BaS2 + US -> BaUS3,"[['Ba2US6', 'BaS'], ['U2S3', 'BaS']]"
1,BaUS3,"['BaS', 'BaU2S5']",-0.0209051555000002,-0.0209051555000021,0.5 BaS + 0.5 BaU2S5 -> BaUS3,[]
2,BaUS3,"['US2', 'BaS']",-0.06733892749997,-0.0209051554996717,US2 + BaS -> BaUS3,['BaU2S5']
0,GdScS3,"['GdS2', 'ScS']",-0.2090108758333243,-0.0411812136715763,GdS2 + ScS -> GdScS3,"[['Gd10S19', 'Sc2S3'], ['Gd3ScS6', 'Sc2S3'], ['Gd3Sc2S7', 'Sc2S3']]"
1,GdScS3,"['Sc2S3', 'Gd3ScS6']",-0.0001999999999938,-0.0001999999999942,0.3333 Sc2S3 + 0.3333 Gd3ScS6 -> GdScS3,[]
0,LaTbS3,"['LaS2', 'TbS']",-0.2130744812500366,-0.0367830311429262,LaS2 + TbS -> LaTbS3,"[['La10S19', 'Tb2S3'], ['La2S3', 'Tb2S3'], ['La2S3', 'Tb5S7'], ['Tb5S7', 'LaS']]"
1,LaTbS3,"['TbS2', 'LaS']",-0.2319133867500397,-0.0266911604827573,TbS2 + LaS -> LaTbS3,"[['LaS2', 'Tb2S3'], ['La10S19', 'Tb2S3'], ['La2S3', 'Tb2S3'], ['La2S3', 'Tb5S7']]"
2,LaTbS3,"['Tb2S3', 'La2S3']",-0.0001999999999583,-0.0001999999999577,0.5 Tb2S3 + 0.5 La2S3 -> LaTbS3,[]
0,EuZrS3,"['EuS2', 'ZrS']",-0.3765158570000179,-0.0290006913863791,EuS2 + ZrS -> EuZrS3,"[['Eu3S4', 'ZrS3'], ['Eu5(ZrS4)3', 'ZrS3'], ['Eu5(ZrS4)3', 'ZrS2'], ['Zr3S4', 'EuS']]"
1,EuZrS3,"['EuS', 'ZrS2']",-0.0164040760000176,-0.0164040760000165,EuS + ZrS2 -> EuZrS3,[]
0,ScUS3,"['ScS', 'US2']",-0.1247212890000696,-0.0234779917501599,ScS + US2 -> ScUS3,"[['Sc2S3', 'US'], ['Sc2S3', 'U2S3'], ['U3S5', 'Sc2S3'], 'ScU8S17']"
1,ScUS3,"['ScS', 'ScU8S17']",-0.1011167599999509,-0.0234779917499787,0.875 ScS + 0.125 ScU8S17 -> ScUS3,"[['Sc2S3', 'US'], ['Sc2S3', 'U2S3'], ['U3S5', 'Sc2S3']]"
2,ScUS3,"['Sc2S3', 'U2S3']",-0.0001999999999981,-0.0001999999999977,0.5 Sc2S3 + 0.5 U2S3 -> ScUS3,[]
0,BaCeS3,"['BaS', 'CeS2']",-0.0002000000000101,-0.0002000000000093,BaS + CeS2 -> BaCeS3,[]
0,LaScS3,"['LaS2', 'ScS']",-0.2128124979999834,-0.2128124979999839,LaS2 + ScS -> LaScS3,[]
1,LaScS3,"['Sc2S3', 'La2S3']",-0.0250830542500069,-0.0250830542500057,0.5 Sc2S3 + 0.5 La2S3 -> LaScS3,[]
0,SmYSe3,"['YSe2', 'SmSe']",-0.2337611982499886,-0.0850841125833756,YSe2 + SmSe -> SmYSe3,"[['Sm10Se19', 'Y2Se3'], ['Sm2Se3', 'Y2Se3']]"
1,SmYSe3,"['Y2Se3', 'Sm2Se3']",-0.000199999999981,-0.0001999999999817,0.5 Y2Se3 + 0.5 Sm2Se3 -> SmYSe3,[]
0,CeInS3,"['CeS2', 'InS']",-0.0501981808749988,-0.0501981808749976,CeS2 + InS -> CeInS3,"[['Ce2S3', 'In2S3']]"
1,CeInS3,"['In2S3', 'Ce2S3']",-0.0001999999999796,-0.0001999999999791,0.5 In2S3 + 0.5 Ce2S3 -> CeInS3,[]
0,SmLuS3,"['LuS', 'SmS2']",-0.266036186250001,-0.0936162647499916,LuS + SmS2 -> SmLuS3,"[['Lu3S4', 'SmS'], ['Lu2S3', 'SmS'], ['Sm2S3', 'Lu2S3'], ['Sm10S19', 'Lu2S3']]"
1,SmLuS3,"['Lu2S3', 'Sm2S3']",-0.0001999999999739,-0.0001999999999737,0.5 Lu2S3 + 0.5 Sm2S3 -> SmLuS3,[]
0,UCdS3,"['CdS2', 'US']",-0.3317431179999942,-0.024162808500014,CdS2 + US -> UCdS3,"[['US3', 'CdS'], ['US2', 'CdS'], ['U3S5', 'CdS'], ['U2S3', 'CdS'], ['U2S3', 'Cd']]"
1,UCdS3,"['CdS', 'US2']",-0.0002000000000045,-0.0002000000000048,CdS + US2 -> UCdS3,[]
0,SrZrS3,"['ZrS2', 'SrS']",-0.0115567859999984,-0.011556785999998,ZrS2 + SrS -> SrZrS3,[]
0,EuErS3,"['Eu(ErS2)2', 'EuS2']",-0.0001999999999924,-0.0001999999999933,0.5 Eu(ErS2)2 + 0.5 EuS2 -> EuErS3,[]
0,SmScS3,"['ScS', 'SmS2']",-0.2075815115000361,-0.1640594002500126,ScS + SmS2 -> SmScS3,"[['Sm10S19', 'Sc2S3']]"
1,SmScS3,"['Sc2S3', 'Sm2S3']",-0.0074254105000051,-0.0074254105000051,0.5 Sc2S3 + 0.5 Sm2S3 -> SmScS3,[]
0,EuHoS3,"['Eu(HoS2)2', 'EuS2']",-0.0001999999999895,-0.0001999999999897,0.5 Eu(HoS2)2 + 0.5 EuS2 -> EuHoS3,[]
0,DyScS3,"['ScS', 'DyS2']",-0.2473285287499976,-0.0538980923750056,ScS + DyS2 -> DyScS3,"[['Dy3Sc2S7', 'Sc2S3'], ['Dy2S3', 'Sc2S3']]"
1,DyScS3,"['Sc2S3', 'Dy2S3']",-0.0001999999999753,-0.0001999999999773,0.5 Sc2S3 + 0.5 Dy2S3 -> DyScS3,[]
0,BaUSe3,"['BaSe2', 'USe']",-0.3018491423571403,-0.0507881858571499,BaSe2 + USe -> BaUSe3,"[['USe3', 'Ba4USe6'], ['BaU2Se5', 'Ba4USe6'], ['Ba4USe6', 'U2Se3'], ['U2Se3', 'BaSe']]"
